millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
4359,-27.388014,-3.75998,-40.74916,-162.51306,-16.953327,-21.94154,-4.18979,2.0513487,11.365563,-170.58315,12.489279,-18.747923,100.44095,1.7718078,1.3185906,-18.87115,1.4839587,-3.85008,-4.494621,-12.592618,8.033673
4372,-27.378555,-3.7617276,-40.74909,-162.49007,-16.957556,-21.939728,-4.1967278,2.052037,11.36541,-170.57057,12.484673,-18.746864,100.431984,1.7719353,1.3184488,-18.87768,1.483712,-3.850131,-4.4737477,-12.60159,8.0246935
4383,-27.365644,-3.7602923,-40.754078,-162.47453,-16.954432,-21.941496,-4.196033,2.0450816,11.365684,-170.56288,12.485998,-18.752798,100.4222,1.7764018,1.3236852,-18.887587,1.4835159,-3.8504286,-4.444426,-12.617587,8.022097
4396,-27.356188,-3.76204,-40.75401,-162.45927,-16.960222,-21.9388,-4.2029705,2.0457702,11.36553,-170.54958,12.488043,-18.744204,100.41315,1.7819034,1.3190646,-18.887587,1.4835159,-3.8504286,-4.422666,-12.626124,8.02004
4408,-27.34243,-3.7629056,-40.75171,-162.43498,-16.963755,-21.935526,-4.209908,2.0464585,11.365377,-170.53487,12.490491,-18.749249,100.40418,1.7820307,1.3189218,-18.894114,1.483269,-3.8504798,-4.40179,-12.635086,8.011046
4422,-27.33882,-3.7669387,-40.750633,-162.42073,-16.96133,-21.938759,-4.2168455,2.0471468,11.365226,-170.52931,12.484762,-18.749079,100.39431,1.787396,1.3143076,-18.900642,1.4830222,-3.8505304,-4.3795614,-12.650543,8.009189
4435,-27.32282,-3.761487,-40.750416,-162.39642,-16.96486,-21.935488,-4.2168455,2.0471468,11.365226,-170.51575,12.487814,-18.748363,100.39513,1.7875314,1.3142995,-18.907173,1.4827754,-3.850581,-4.357798,-12.659079,8.007121
4444,-27.313356,-3.7632337,-40.750343,-162.38116,-16.970652,-21.932795,-4.2237835,2.047835,11.365072,-170.50876,12.488936,-18.747477,100.38606,1.7930312,1.3096763,-18.913702,1.4825288,-3.8506322,-4.3293524,-12.675492,7.997563
4458,-27.299604,-3.7641022,-40.748047,-162.36427,-16.969166,-21.92783,-4.23072,2.048523,11.36492,-170.49617,12.484328,-18.746424,100.37628,1.7930225,1.3095412,-18.92361,1.4823322,-3.8509293,-4.307586,-12.684025,7.995486
4470,-27.293243,-3.7698622,-40.753178,-162.34131,-16.971066,-21.931293,-4.2376575,2.0492115,11.364767,-170.48218,12.486575,-18.744646,100.36722,1.7985212,1.3049167,-18.930397,1.4832453,-3.844085,-4.2867055,-12.692973,7.986475
4482,-27.277246,-3.76441,-40.752956,-162.3257,-16.970274,-21.92779,-4.2376575,2.0492115,11.364767,-170.47516,12.487696,-18.743757,100.35825,1.7986474,1.3047723,-18.936924,1.482999,-3.8441362,-4.2644706,-12.708425,7.9845915
4494,-27.26778,-3.766157,-40.75289,-162.43767,-17.190088,-21.998371,-4.1813936,2.0422275,11.323579,-170.6595,12.190468,-18.45659,100.35816,1.8040191,1.3002917,-18.943306,1.4976977,-3.8395898,-4.22909,-12.757677,8.018088
4507,-27.376925,-3.9328437,-40.984848,-163.07909,-19.761015,-22.282995,-3.9015546,1.5895972,11.413309,-171.20705,10.839839,-17.911034,100.34911,1.8005617,1.2849288,-18.91534,1.3882914,-3.863298,-4.247915,-12.633058,8.092742
4519,-26.928831,-2.6147234,-39.192764,-163.72137,-22.048738,-23.116827,-3.454868,-0.51959294,11.525604,-172.24292,9.271587,-16.488281,100.394554,1.7759136,1.223874,-18.939598,1.2600747,-3.820923,-4.0471964,-11.764392,8.112462
4531,-25.092922,0.31711367,-38.454094,-164.2248,-25.084694,-22.3789,-2.7534213,-3.7873316,11.566119,-173.17165,7.1966534,-15.658302,100.384514,1.7875444,1.2049354,-18.913742,1.262203,-3.8138776,-3.719084,-10.451765,8.112496
