millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
3455,2.1345274,0.73414063,-57.50479,128.06767,-22.287886,-0.8389544,-123.118126,3.7678456,11.89623,-87.93266,14.74905,-22.517649,81.71209,3.5424016,3.6216044,-41.750744,1.9350121,-6.399562
3465,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93266,14.74905,-22.517649,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
3474,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93266,14.74905,-22.517649,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
3486,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.92096,14.744541,-22.521261,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
3496,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93173,14.7442,-22.522907,81.721924,3.5477004,3.6264696,-41.749264,1.9365067,-6.4150968
3507,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93173,14.7442,-22.522907,81.721924,3.5477004,3.6264696,-41.749264,1.9365067,-6.4150968
3518,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11875,3.7611027,11.908483,-87.93173,14.7442,-22.522907,81.72192,3.5529802,3.6310253,-41.749264,1.9365067,-6.4150968
3528,2.134822,0.73401135,-57.49866,128.06927,-22.284523,-0.8480771,-123.11875,3.7611027,11.908483,-87.92096,14.744541,-22.521261,81.72192,3.5529802,3.6310253,-41.74865,1.9339962,-6.4216204
3538,2.134822,0.73401135,-57.49866,128.06927,-22.284523,-0.8480771,-123.1194,3.7550228,11.905195,-87.92096,14.744541,-22.521261,81.72192,3.5529802,3.6310253,-41.74865,1.9339962,-6.4216204
3549,2.1311636,0.7280107,-57.505043,128.06927,-22.284523,-0.8480771,-123.1194,3.7550228,11.905195,-87.92096,14.744541,-22.521261,81.72192,3.5582607,3.6355813,-41.74865,1.9339962,-6.4216204
3559,2.134822,0.73401135,-57.49866,128.06927,-22.284523,-0.8480771,-123.119705,3.7516513,11.911322,-87.93173,14.7442,-22.522907,81.72192,3.5582607,3.6355813,-41.74865,1.9339962,-6.4216204
3570,2.134822,0.73401135,-57.49866,128.06927,-22.284523,-0.8480771,-123.119705,3.7516513,11.911322,-87.93079,14.739347,-22.528168,81.72192,3.5582607,3.6355813,-41.74865,1.9339962,-6.4216204
