millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3975,42.560535,43.90576,-12.641527,62.179535,37.75494,-8.312084,-74.08594,3.7286863,-19.845303,-143.81918,5.899439,-2.7341437,-147.3629,-4.1794252,-17.218122,-78.15201,-5.65124,-3.8813758,92.01618,-11.2237215,-16.299911,-104.9049,-12.596664,-1.8435657,149.27713,-46.020824,-18.320463,-55.814095,-26.27589,-8.213014,150.47415,9.297594,-6.866069,179.32983,-12.901375,-1.1720126
3995,42.55412,43.89901,-12.646648,62.1808,37.746143,-8.30999,-74.08777,3.7221558,-19.840673,-143.81776,5.8945417,-2.7429073,-147.3629,-4.1794252,-17.218122,-78.15201,-5.65124,-3.8813758,92.00589,-11.223976,-16.298714,-104.89639,-12.596646,-1.8446627,149.2787,-46.03509,-18.31414,-55.811325,-26.282259,-8.211381,150.4664,9.297039,-6.8665166,179.32983,-12.901375,-1.1720126
4015,42.54661,43.89526,-12.640869,62.173958,37.741028,-8.305148,-74.08777,3.7221558,-19.840673,-143.81752,5.8966837,-2.749542,-147.36223,-4.1749353,-17.209545,-78.15201,-5.65124,-3.8813758,92.00628,-11.224283,-16.288975,-104.89764,-12.595362,-1.8349265,149.29108,-46.031654,-18.30479,-55.81736,-26.276365,-8.197843,150.46698,9.29519,-6.87326,179.33063,-12.90136,-1.1650634
4037,42.5584,43.917027,-12.633602,62.17829,37.76733,-8.307303,-74.089485,3.731818,-19.839237,-143.81639,5.9099755,-2.7451916,-147.3536,-4.16937,-17.20092,-78.15242,-5.6424932,-3.870993,92.00627,-11.219568,-16.284235,-104.89087,-12.583778,-1.827087,149.29662,-46.03232,-18.292755,-55.819958,-26.270672,-8.185947,150.48209,9.303013,-6.874081,179.32912,-12.89444,-1.1790098
4057,42.562046,43.926716,-12.639783,62.18589,37.778404,-8.308647,-74.08788,3.7329113,-19.839766,-143.81734,5.9191585,-2.7496982,-147.3536,-4.16937,-17.20092,-78.15242,-5.6424932,-3.870993,92.00626,-11.214852,-16.279495,-104.88235,-12.583763,-1.828183,149.2944,-46.04352,-18.292103,-55.819958,-26.270672,-8.185947,150.48827,9.303134,-6.8730874,179.33545,-12.894382,-1.1867453
4079,42.558193,43.93265,-12.64019,62.187164,37.769608,-8.306553,-74.08788,3.7329113,-19.839766,-143.8171,5.921301,-2.7563334,-147.34537,-4.1769757,-17.196188,-78.151665,-5.6468835,-3.876393,92.00626,-11.214852,-16.279495,-104.87384,-12.583746,-1.8292785,149.3,-46.048767,-18.287273,-55.811573,-26.26901,-8.186268,150.48827,9.303134,-6.8730874,179.34267,-12.887363,-1.1875781
4098,42.55133,43.92691,-12.651285,62.18514,37.772457,-8.312142,-74.08972,3.7263818,-19.835138,-143.8171,5.921301,-2.7563334,-147.34537,-4.1769757,-17.196188,-78.14272,-5.6420774,-3.8710284,92.00665,-11.215159,-16.269756,-104.86565,-12.577679,-1.8256292,149.29097,-46.064068,-18.283941,-55.820625,-26.276838,-8.182671,150.49503,9.312244,-6.86761,179.34969,-12.89424,-1.1883171
4121,42.553055,43.932243,-12.642953,62.19065,37.775066,-8.300847,-74.08972,3.7263818,-19.835138,-143.81686,5.9234433,-2.7629683,-147.34573,-4.1901464,-17.20008,-78.141014,-5.6573586,-3.8679945,92.00705,-11.220181,-16.264757,-104.86373,-12.593475,-1.8290238,149.30159,-46.063034,-18.280954,-55.819996,-26.28585,-8.185341,150.50235,9.31951,-6.868876,179.35692,-12.887221,-1.1891491
4142,42.5539,43.93959,-12.64657,62.197495,37.78019,-8.305686,-74.08777,3.7221558,-19.840673,-143.81631,5.9300895,-2.7607925,-147.3449,-4.179071,-17.189556,-78.14237,-5.637721,-3.8660445,92.00705,-11.220181,-16.264757,-104.85855,-12.572147,-1.8225307,149.3061,-46.060966,-18.268576,-55.824688,-26.267622,-8.178356,150.50075,9.32991,-6.8571005,179.3561,-12.887234,-1.1960987
4164,42.563126,43.948677,-12.644019,62.194984,37.801373,-8.302999,-74.07981,3.7376947,-19.833126,-143.80759,5.938926,-2.7648547,-147.33656,-4.164827,-17.185616,-78.14305,-5.6279016,-3.8650684,92.006454,-11.204544,-16.26009,-104.85144,-12.566619,-1.8194313,149.32076,-46.050922,-18.267082,-55.824688,-26.267622,-8.178356,150.50809,9.337175,-6.8583646,179.36154,-12.894135,-1.2107371
4184,42.564407,43.955017,-12.641661,62.2046,37.80961,-8.298753,-74.08175,3.741919,-19.82759,-143.80678,5.9477153,-2.7693136,-147.33618,-4.151655,-17.181723,-78.14373,-5.6180816,-3.8640935,92.00606,-11.199523,-16.265087,-104.84184,-12.566064,-1.8199743,149.3354,-46.040874,-18.26559,-55.816265,-26.250786,-8.179284,150.50706,9.34573,-6.8533335,179.36072,-12.894149,-1.2176867
4205,42.573196,43.96511,-12.645081,62.2013,37.821236,-8.306435,-74.083466,3.7515802,-19.82615,-143.8131,5.9652405,-2.7786286,-147.32999,-4.1505094,-17.182749,-78.13402,-5.617667,-3.8641279,92.00605,-11.190092,-16.255608,-104.843094,-12.562367,-1.8260679,149.33925,-46.048523,-18.267128,-55.816265,-26.250786,-8.179284,150.50662,9.352438,-6.855046,179.36705,-12.894085,-1.2254219
4229,42.56012,43.961956,-12.648041,62.20257,37.812447,-8.304341,-74.083466,3.7515802,-19.82615,-143.8131,5.9652405,-2.7786286,-147.33018,-4.1570945,-17.184696,-78.13402,-5.617667,-3.8641279,92.00606,-11.194807,-16.26035,-104.833496,-12.561814,-1.8266107,149.33699,-46.05514,-18.259272,-55.824017,-26.26146,-8.181633,150.50662,9.352438,-6.855046,179.36705,-12.894085,-1.2254219
4247,42.560555,43.960953,-12.64207,62.2046,37.80961,-8.298753,-74.08175,3.741919,-19.82759,-143.8131,5.9652405,-2.7786286,-147.32796,-4.1592636,-17.176989,-78.13478,-5.6132784,-3.8587277,92.00606,-11.194807,-16.26035,-104.82622,-12.560521,-1.817967,149.33473,-46.06176,-18.251413,-55.828754,-26.258406,-8.174043,150.51338,9.36155,-6.8495636,179.37418,-12.894012,-1.2262079
4269,42.575348,43.969433,-12.630777,62.205353,37.815556,-8.295257,-74.08565,3.7503693,-19.81652,-143.81229,5.974028,-2.7830875,-147.32777,-4.1526785,-17.175043,-78.13478,-5.6132784,-3.8587277,92.00605,-11.190092,-16.255608,-104.826385,-12.556284,-1.823509,149.34938,-46.051712,-18.249918,-55.828087,-26.252245,-8.1773205,150.51295,9.368258,-6.851277,179.37337,-12.894024,-1.2331573
4290,42.576637,43.97577,-12.628421,62.204826,37.83029,-8.293855,-74.089294,3.7642562,-19.809546,-143.8109,5.9894614,-2.78537,-147.31943,-4.1384344,-17.171095,-78.13434,-5.603491,-3.8581655,92.00564,-11.180354,-16.255861,-104.81786,-12.55627,-1.8246021,149.35724,-46.05035,-18.252949,-55.828087,-26.252245,-8.1773205,150.51193,9.376812,-6.8462443,179.37878,-12.900921,-1.2477965
4311,42.57235,43.98272,-12.634802,62.2061,37.821507,-8.29176,-74.08905,3.769693,-19.813644,-143.81033,5.996107,-2.7831945,-147.32138,-4.1449466,-17.174118,-78.13442,-5.6089215,-3.8537407,92.00564,-11.180354,-16.255861,-104.80809,-12.559949,-1.8196032,149.35606,-46.064285,-18.252653,-55.828754,-26.258406,-8.174043,150.51163,9.367085,-6.829331,179.38591,-12.900846,-1.248583
