millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
3428,-65.25714,-3.2285538,-60.578358,-77.1518,-23.433485,-4.112815,-88.84182,3.8130856,10.752393,-39.371613,15.585632,-20.805212,95.07621,2.1905425,0.9530796,-27.997187,1.5733927,-3.7965956,-83.87589,-84.05858,-5.768455
3440,-65.26703,-3.2188644,-60.567158,-77.14325,-23.434122,-4.1051493,-88.84311,3.8082294,10.747471,-39.364502,15.578236,-20.809149,95.06677,2.190633,0.95289433,-28.003004,1.5799237,-3.7983224,-83.871445,-84.05555,-5.771938
3451,-65.27689,-3.2091782,-60.555958,-77.12185,-23.43288,-4.109078,-88.84311,3.8082294,10.747471,-39.346577,15.580968,-20.80656,95.05733,2.1907237,0.9527089,-28.009,1.5796754,-3.7983599,-83.86698,-84.052505,-5.77542
3464,-65.286766,-3.1994903,-60.544758,-77.10996,-23.432922,-4.1123033,-88.85318,3.8091605,10.74714,-39.341095,15.58252,-20.806019,95.05746,2.185565,0.9574328,-28.014994,1.5794271,-3.798398,-83.87056,-84.05315,-5.7761
3476,-65.28529,-3.1934795,-60.53795,-77.098305,-23.43839,-4.1111975,-88.85317,3.8041766,10.752059,-39.320797,15.58255,-20.809929,95.047874,2.190814,0.95252365,-28.02587,1.579216,-3.798684,-83.86608,-84.05012,-5.7795844
3488,-65.29514,-3.183791,-60.52673,-77.08,-23.43232,-4.1085668,-88.86327,3.8100915,10.74681,-39.316055,15.577853,-20.807364,95.03842,2.1956263,0.95749325,-28.031862,1.5789676,-3.7987206,-83.86114,-84.04385,-5.787072
3501,-65.29583,-3.1744318,-60.510517,-77.068344,-23.437792,-4.1074615,-88.863266,3.8051076,10.75173,-39.298126,15.580577,-20.804775,95.02856,2.1955788,0.95735496,-28.037857,1.5787193,-3.7987587,-83.856995,-84.04487,-5.7872906
3514,-65.30564,-3.164742,-60.499302,-77.048836,-23.432383,-4.10609,-88.86327,3.8100915,10.74681,-39.290264,15.579435,-20.810732,95.01911,2.1956697,0.95716923,-28.04385,1.578471,-3.7987962,-83.852486,-84.041824,-5.790783
3525,-65.30416,-3.1587331,-60.492485,-77.038124,-23.431759,-4.1080537,-88.87334,3.8060386,10.7514,-39.277832,15.580608,-20.808687,95.01965,2.1906507,0.9618474,-28.054728,1.5782595,-3.7990813,-83.84797,-84.03877,-5.7942715
3538,-65.31396,-3.1490452,-60.48126,-77.02647,-23.437231,-4.1069508,-88.87334,3.8060386,10.7514,-39.267593,15.577463,-20.805582,95.01019,2.190742,0.9616622,-28.054728,1.5782595,-3.7990813,-83.843445,-84.03572,-5.797762
3552,-65.323746,-3.1393552,-60.470028,-77.00505,-23.435982,-4.1108785,-88.88342,3.8069701,10.751071,-39.25278,15.57594,-20.810038,95.000336,2.1906953,0.9615238,-28.060719,1.578011,-3.7991183,-83.83845,-84.02943,-5.8052616
3563,-65.33352,-3.129665,-60.458797,-76.99527,-23.437296,-4.104477,-88.88342,3.8069701,10.751071,-39.23486,15.5786705,-20.807446,94.99088,2.1907864,0.9613386,-28.06671,1.5777627,-3.799156,-83.8339,-84.02637,-5.8087544
3574,-65.342575,-3.1211991,-60.458515,-76.98457,-23.436672,-4.10644,-88.89349,3.8079016,10.75074,-39.229362,15.580224,-20.806906,94.99129,2.1909246,0.9612915,-28.077913,1.5792574,-3.7926607,-83.83744,-84.02695,-5.8094544
3587,-65.33957,-3.1091838,-60.44486,-76.96314,-23.435425,-4.110367,-88.89349,3.8079016,10.75074,-39.221504,15.579085,-20.812862,94.98143,2.1908774,0.96115315,-28.083906,1.5790093,-3.7926977,-83.832886,-84.02389,-5.8129497
3599,-65.34931,-3.0994928,-60.433613,-76.953354,-23.436737,-4.103966,-88.89359,3.8082078,10.750112,-39.20358,15.58181,-20.810268,94.97198,2.1909685,0.9609679,-28.089714,1.585539,-3.7944298,-83.82831,-84.02082,-5.8164473
3613,-65.36058,-3.0958087,-60.429203,-76.93194,-23.43549,-4.107893,-88.90357,3.8088326,10.750411,-39.191147,15.582982,-20.808222,94.96252,2.1910596,0.9607824,-28.095703,1.5852909,-3.7944674,-83.82408,-84.02179,-5.8166857
3626,-65.370316,-3.086117,-60.41796,-76.92025,-23.44096,-4.106796,-88.90367,3.8091383,10.749783,-39.17852,15.577144,-20.811623,94.96252,2.1910596,0.9607824,-28.095703,1.5852909,-3.7944674,-83.81903,-84.01546,-5.8241987
3639,-65.38004,-3.076425,-60.40671,-76.90953,-23.440334,-4.1087594,-88.91365,3.8097634,10.75008,-39.16609,15.578316,-20.809574,94.953064,2.1911507,0.96059704,-28.106586,1.58508,-3.7947533,-83.81444,-84.012375,-5.827698
3649,-65.3785,-3.0704184,-60.399868,-76.8881,-23.439083,-4.112685,-88.91365,3.8097634,10.75008,-39.15509,15.581423,-20.808485,94.94361,2.1912417,0.96041167,-28.112577,1.5848318,-3.794791,-83.81595,-84.012245,-5.8273993
3662,-65.388214,-3.0607257,-60.388607,-76.8783,-23.440403,-4.1062856,-88.92372,3.8106947,10.74975,-39.142662,15.582595,-20.806438,94.93375,2.1911945,0.96027344,-28.118563,1.5845835,-3.7948291,-83.81135,-84.00916,-5.8309007
