millis,A0,A1,A2,B0,B1,B2
2978,-164.20233,4.0001645,5.873687,41.07687,43.773155,-33.178185
2990,-164.2022,3.9932554,5.8727384,35.704987,39.54243,-37.05895
2997,-164.2097,3.9926486,5.879462,30.880684,36.371532,-39.910713
3006,-164.2165,3.9760418,5.8977346,26.367476,34.32353,-41.661026
3015,-164.21619,3.9622242,5.895841,21.78934,33.07007,-41.82696
3026,-164.21605,3.955315,5.8948936,16.887762,32.436592,-39.903435
3037,-164.21617,3.9474103,5.9008636,11.913955,32.292786,-35.582394
3049,-164.21661,3.953323,5.908726,7.3632884,32.040253,-28.761923
3057,-164.21645,3.946414,5.9077797,3.7187376,30.81628,-19.53201
3066,-164.2094,3.9529312,5.9089165,1.3563315,28.992855,-8.081423
3076,-164.20897,3.9470193,5.901054,0.9454605,28.083677,4.7470984
3087,-164.2094,3.9529312,5.9089165,2.5183525,27.668016,17.623838
3096,-164.2105,3.9600282,5.910254,5.576754,25.585346,28.962385
3106,-164.2105,3.9600282,5.910254,9.235883,21.564491,37.164673
3118,-164.2033,3.974452,5.905424,13.84914,16.680376,42.245155
3126,-164.20331,3.9892666,5.9004025,18.967709,12.663514,44.451393
3136,-164.19614,4.0036907,5.8955755,24.581287,10.255058,43.67948
3146,-164.19598,3.9967818,5.894628,29.850828,9.653512,40.39121
3159,-164.20346,3.9961753,5.90135,34.033356,10.634507,35.054768
3167,-164.20317,3.9823575,5.899455,36.8782,13.212073,27.991213
3177,-164.20331,3.9892666,5.9004025,38.419083,17.323475,20.032566
3191,-164.20346,3.9961753,5.90135,38.668877,22.419283,12.012319
3197,-164.20346,3.9961753,5.90135,37.835552,27.693434,4.3988204
3209,-164.20303,3.9902637,5.893487,35.99132,32.308277,-2.5190034
3217,-164.20317,3.9823575,5.899455,33.361877,35.567112,-8.374708
3227,-164.21039,3.982749,5.8992634,30.257032,37.43317,-13.16485
3239,-164.21051,3.9748433,5.9052324,27.181044,38.4384,-16.95553
3246,-164.21039,3.982749,5.8992634,24.530066,39.153988,-19.658907
3257,-164.20929,3.9756505,5.8979263,22.524254,39.874584,-21.197601
3267,-164.20929,3.9756505,5.8979263,21.221556,40.342197,-21.769266
3278,-164.2165,3.9760418,5.8977346,20.526314,40.145058,-21.39699
3287,-164.21011,3.9837463,5.892347,20.54627,39.311314,-20.035336
3297,-164.20247,3.9922583,5.8796544,21.530771,38.41301,-17.721914
3311,-164.18779,4.0072927,5.8681064,23.838669,38.060505,-14.488202
3317,-164.20232,3.9853492,5.8787074,27.111593,37.89277,-10.661155
3327,-164.2022,3.9932554,5.8727384,30.440937,37.120613,-6.5699787
3337,-164.2083,3.971732,5.876232,33.29505,35.53642,-2.463399
3351,-164.19398,3.9889493,5.851236,35.27891,33.83726,1.4700063
3356,-164.18694,3.9954705,5.8523774,36.294724,33.308823,5.098569
3366,-164.18018,4.0306244,5.8503995,36.35326,34.923637,8.129059
3376,-164.17253,4.0391417,5.8377113,35.2515,39.025463,10.3134165
3386,-164.15782,4.068999,5.8211575,33.183807,44.88348,12.232796
3397,-164.14957,3.9758024,5.829745,29.011726,50.73167,13.783007
3407,-164.14087,3.853966,5.841422,21.02424,54.750374,14.883158
3417,-164.15956,3.7651238,5.8281207,9.486561,56.594852,15.857098
3426,-164.16682,3.7427852,5.838921,-1.4223397,57.316006,16.860937
3437,-164.18042,3.7354746,5.8441463,-8.540829,57.606415,18.287863
3447,-164.18054,3.7275686,5.8501115,-10.866214,56.87212,20.291208
3456,-164.19548,3.7263496,5.86359,-8.064026,53.80899,22.71888
3469,-164.18785,3.7200496,5.8559012,-1.8708534,47.697018,25.295364
3483,-164.19518,3.7125301,5.8616915,4.7707815,39.920013,27.24495
3487,-164.19456,3.699706,5.852876,11.971946,32.989506,28.49668
3497,-164.19368,3.710597,5.8261604,19.9752,28.513294,29.302202
3506,-164.1983,3.7019613,5.7891216,28.251833,25.76759,29.180918
3517,-164.22345,3.502877,5.8099074,35.299725,23.243996,27.767973
3527,-164.20717,3.426095,5.7997866,40.43222,20.534983,25.435303
3536,-164.19038,3.351299,5.7758083,44.69428,18.950457,22.394632
3547,-164.17406,3.3051434,5.748699,49.247677,19.8357,18.695753
3557,-164.1501,3.2220736,5.7307878,53.812927,22.556236,14.514378
3567,-164.14758,3.159727,5.7218223,56.453896,24.92266,10.164546
3578,-164.15422,3.1472695,5.712852,57.049644,25.757309,5.7761917
3587,-164.16055,3.1437068,5.691004,56.876705,26.135054,1.4461719
3597,-164.16031,3.1446989,5.6840863,56.429897,27.272617,-2.406191
3634,-164.15985,3.1466832,5.670252,55.485195,29.012968,-5.5811977
3634,-164.16635,3.1459208,5.6766567,53.5708,30.571796,-8.823379
3634,-164.18889,3.1430693,5.703896,50.74462,31.768652,-12.416221
3637,-164.19135,3.152081,5.7407603,47.372128,32.88653,-15.990556
3647,-164.16306,3.171319,5.7441936,43.641815,34.024715,-19.14022
3658,-164.16386,3.183157,5.759935,39.665977,34.940887,-21.304893
3668,-164.16405,3.1900682,5.76089,35.33892,35.318233,-22.223656
3680,-164.17969,3.1779575,5.801148,30.379257,35.018852,-21.8718
3687,-164.19571,3.171776,5.849278,24.526484,34.492977,-20.090979
3698,-164.17558,3.191508,5.8529468,18.020569,34.9407,-16.541126
3709,-164.17517,3.1855896,5.845077,11.386443,37.332115,-11.233286
3730,-164.18332,3.1820016,5.8726,4.7057204,40.693336,-4.541947
3733,-164.19867,3.1788013,5.8999805,-1.5727382,42.80331,3.0184205
3738,-164.21326,3.1864808,5.900645,-5.9738793,42.580414,10.89729
3747,-164.21455,3.2348607,5.9072995,-7.0837245,40.55622,18.570671
3758,-164.22267,3.2698019,5.911902,-4.7953844,37.372498,25.375658
3768,-164.22311,3.2757223,5.9197683,0.30415502,33.18384,30.605434
3779,-164.23077,3.2741275,5.9334536,7.2785397,28.13402,33.61056
3788,-164.23824,3.2735245,5.9402213,15.263792,22.746487,34.054855
3798,-164.24551,3.2660105,5.9460416,23.580303,17.833855,32.240543
3808,-164.25313,3.2723207,5.953758,31.662477,14.203482,28.752102
3818,-164.24611,3.278844,5.954855,38.965405,12.143197,24.322922
3828,-164.24605,3.2867448,5.9488864,45.110424,11.467374,19.605501
3841,-164.24605,3.2867448,5.9488864,49.970028,12.099328,15.152797
3850,-164.23878,3.294258,5.9430676,53.707516,14.069502,11.20487
3858,-164.23152,3.3017719,5.93725,56.181892,17.010267,7.693379
3867,-164.22379,3.3112683,5.9176006,57.065735,19.995813,4.6528554
3877,-164.20923,3.3263009,5.9059696,56.42185,22.455639,1.904496
3887,-164.2018,3.3269076,5.8992057,54.438854,24.527391,-0.634427
3898,-164.19444,3.342329,5.887427,51.486668,26.720404,-2.730772
3908,-164.18042,3.3516023,5.8683205,47.860077,29.400532,-4.3273997
3918,-164.17986,3.3614938,5.848522,43.683838,32.410507,-5.3884134
3935,-164.17972,3.377303,5.8365927,38.858025,35.097446,-5.8447657
3938,-164.17252,3.376921,5.836748,33.126896,36.863888,-5.5707107
3948,-164.17244,3.3848257,5.8307843,26.487516,37.76404,-4.536703
3961,-164.16483,3.378528,5.8230705,19.618044,38.506958,-2.6878939
3967,-164.16475,3.3864331,5.817107,12.94314,39.35396,-0.19615242
3977,-164.16498,3.385439,5.8240237,6.9423304,39.797043,2.721475
3987,-164.16524,3.3844442,5.8309402,2.391052,39.50867,5.8153887
3998,-164.17226,3.3779151,5.8298316,0.07906623,38.565987,8.818632
4008,-164.17226,3.3779151,5.8298316,0.37358758,37.135094,11.373048
4018,-164.17235,3.3700101,5.8357954,3.0850773,34.985363,13.213076
4028,-164.17955,3.370392,5.8356404,7.6179795,31.705635,14.206148
4037,-164.18605,3.3696272,5.842021,13.301329,27.395412,14.204476
4048,-164.18588,3.362717,5.8410687,19.63944,22.867193,13.523271
4058,-164.18588,3.362717,5.8410687,26.243635,18.952991,12.298745
4068,-164.18605,3.3696272,5.842021,32.598858,15.981655,10.565842
