millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
8079,-56.68582,-26.43024,14.807942,-25.88717,-5.3086066,-43.496353,-171.81892,-19.505001,57.067802,-11.2060175,-18.264795,31.10511,50.87769,-51.419678,18.994171,-116.34067,60.46068,-28.040997,-80.944275,-81.6521,0.8214929,154.69661,22.759995,49.67154,0.0,0.0,0.0,82.904076,30.851147,58.907784,1.3805614,-18.635715,52.25993,-27.909613,-27.746923,-61.96152
8116,-18.623446,23.122444,54.94806,-21.20436,-1.0597028,-62.32762,-107.810425,-1.4669595,-0.5758937,-11.2060175,-18.264795,31.10511,143.994,-33.91729,-54.09923,-129.57573,49.56642,-40.342247,-6.378408,-18.916521,-70.439735,134.11554,51.41132,36.269676,0.0,0.0,0.0,74.62005,-26.790707,-46.322784,-37.426872,16.807098,50.32622,-42.315475,-42.2282,-47.71899
8217,-50.34169,-0.1992453,29.462551,5.9273753,19.93828,-65.35236,-99.66915,83.276024,-0.93137145,-11.2060175,-18.264795,31.10511,-124.19483,40.27205,-41.857903,-148.95404,28.74748,-60.077957,12.188352,34.245342,-47.193214,-95.085175,-46.1577,-4.7048745,0.0,0.0,0.0,26.309092,-0.25209427,73.84431,-81.382614,54.07663,20.02769,-58.871517,-57.57398,-27.00236
8258,-47.34195,-6.076246,4.8759184,14.346124,29.198885,-57.44946,-113.92998,66.72286,-0.7710284,-11.2060175,-18.264795,31.10511,-112.19864,45.03279,-35.837456,-153.66824,22.931965,-63.586292,26.50403,40.733753,-42.453064,-87.17419,17.890265,-17.47419,0.0,0.0,0.0,64.203964,-10.732366,46.121155,-87.48505,53.267544,10.252242,-60.213177,-57.162815,-22.238892
8295,-45.529625,-7.4947815,-12.064326,20.99014,35.948315,-51.68775,-116.80014,54.657356,2.2419255,-11.2060175,-18.264795,31.10511,-101.36411,46.469803,-29.051453,-158.64558,17.066212,-66.59789,23.851381,39.888584,-35.273098,-87.92191,34.42624,-20.374153,0.0,0.0,0.0,76.761475,42.72707,46.458652,-92.10579,52.496567,-1.4227303,-58.493557,-52.35265,-19.227484
8397,-29.87366,4.245763,-58.879757,25.979103,40.57425,-48.653168,-140.67216,37.221996,-25.968527,-11.2060175,-18.264795,31.10511,-96.068115,27.69056,-26.117558,-166.60722,5.8737025,-71.588264,7.1160197,22.369284,-31.320078,-110.10623,60.318142,-24.808968,0.0,0.0,0.0,88.94637,-34.503853,-51.09396,-95.49444,47.566753,-9.388376,-50.932156,-37.10113,-16.146269
8437,-18.80946,16.221151,-57.06048,35.60065,41.659695,-48.25235,-145.8844,30.561121,-35.189392,-11.2060175,-18.264795,31.10511,-95.99447,19.215567,-35.197235,-176.04733,-1.9918519,-77.14235,5.4066477,15.217531,-40.636105,-124.84734,51.859394,-37.607674,0.0,0.0,0.0,165.46622,8.291136,70.258354,-95.40275,44.89153,-11.11533,-47.082287,-33.65015,-14.449027
8475,-10.464751,26.406929,-49.760742,52.853024,43.559544,-46.309265,-147.05775,30.661043,-44.32964,-11.2060175,-18.264795,31.10511,-96.47701,13.290244,-42.593105,-179.22888,-4.7544956,-77.12197,3.0571125,9.020731,-45.67021,-135.01218,43.995476,-45.966564,0.0,0.0,0.0,137.62172,14.480499,62.87629,-95.15889,41.82272,-14.14794,-42.520256,-31.612146,-11.971577
8578,-6.049729,41.475803,-39.443977,145.45651,37.982014,-30.504501,-158.3697,20.763166,-62.79347,-11.2060175,-18.264795,31.10511,-107.17431,2.5579228,-51.160004,173.73679,-14.143763,-68.895645,-5.806196,0.97941625,-55.584846,-152.58342,25.053326,-64.18095,0.0,0.0,0.0,-83.02992,-21.692165,66.38506,-93.54902,31.613396,-23.696795,-37.11011,-27.12008,2.4996
8759,-155.23317,58.57992,-31.294579,154.4494,38.003086,-19.573719,-179.31776,1.9316587,-81.02702,-11.2060175,-18.264795,31.10511,-108.88705,-17.658272,-37.55697,163.12688,-33.075214,-44.27155,-20.634918,-18.145218,-35.19347,177.68524,-3.7239187,-85.42858,0.0,0.0,0.0,157.17592,-20.400513,38.65734,-91.63951,19.728907,-35.02578,-32.469204,-15.492366,16.344488
8937,-147.04579,47.30184,-33.497448,140.8581,39.766964,-38.078583,166.57657,-15.922251,-72.33543,-11.2060175,-18.264795,31.10511,-109.06176,-35.076096,-41.404396,147.88283,-35.08263,-54.483337,-35.498005,-34.51911,-38.216858,159.72205,-20.770187,-69.20715,0.0,0.0,0.0,101.68717,-25.741055,-56.084023,-91.87513,7.783097,-37.897377,-38.14508,-6.4013367,20.262938
