millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
1952,-76.61972,12.268756,18.37228,109.04381,74.81507,10.722658,104.1295,-30.140457,9.404439,-58.109833,77.06862,4.159411,-24.808126,-47.217934,13.554192,-68.14402,62.920815,26.03506,-34.11334,-4.321056,16.073187,94.28857,46.755177,10.099582,94.051186,-20.01241,-7.9411135,110.12157,76.22802,12.035751,-149.0144,30.395489,-59.553673,-122.86224,3.6939642,1.4344226
2036,-26.867062,-7.887697,-4.7693996,76.92778,76.59589,-13.256109,154.37907,0.11956235,14.665713,-90.405174,61.612717,-9.089558,28.129953,-45.466858,5.92487,-67.58182,63.251556,-26.132938,-2.758935,-7.258843,12.452941,65.57919,68.809494,-3.993724,145.19043,5.641213,-14.527942,93.18352,59.08746,-1.5432893,-145.67514,39.19326,-50.789223,-68.30525,5.358619,8.398728
2062,-26.600065,-8.137896,-2.963917,78.63882,78.1343,-11.604771,154.23048,-1.0915067,13.060236,-91.26242,63.10667,-9.587927,27.373974,-44.789818,6.249253,-137.4071,-11.874194,24.922403,-2.8242166,-7.0835752,11.612073,66.633545,68.60318,-2.2606401,144.79776,3.7219121,-15.475798,92.60456,60.902588,-1.9485089,-149.09756,38.431362,-51.518116,-68.9991,5.8273935,6.9118004
2081,-26.552805,-8.317466,-1.1102477,80.39011,79.69042,-9.905943,154.35399,-2.4033103,11.5316515,-91.92105,64.61122,-9.929282,26.634575,-43.888397,6.595313,5.283004,8.415099,56.554237,-2.7764173,-6.884351,10.566273,67.68004,68.155655,-0.51071644,143.87009,1.6186069,-16.329416,92.11935,62.826122,-2.325633,-151.96602,37.663834,-52.236164,-69.71642,6.3030295,5.474489
2096,-26.6382,-8.265897,0.77418065,82.1467,81.261665,-8.1782055,154.44295,-3.777372,10.023612,-92.426125,66.176704,-10.117003,25.87389,-42.77391,6.9887247,-27.218195,-16.505161,-33.546627,-2.7858107,-6.655379,9.34854,68.73633,67.484955,1.1942394,142.90231,-0.3928113,-16.975754,92.178406,64.6898,-2.3994386,-154.28369,36.88067,-52.95574,-70.560196,6.7218804,4.1182575
2111,-26.683813,-8.149072,2.6006362,83.87973,82.86192,-6.4552293,-5.6624017,12.025017,-26.181913,-92.75539,67.76598,-10.1532,25.170656,-41.447506,7.3819175,-55.3164,9.286626,-21.00517,-2.8020523,-6.4014654,7.942428,69.781555,66.578964,2.8200889,142.16531,-2.1463797,-17.38512,92.30576,66.560974,-2.3332703,-156.1726,36.0339,-53.727524,-71.50137,7.1970267,2.8625216
2158,-27.383837,-6.5688205,7.8036547,89.06202,87.11973,-1.1994356,146.69954,-17.99292,9.137675,-93.06787,72.42022,-9.412785,23.790712,-36.433434,8.524816,-32.57825,-83.51263,-4.226095,-1.950134,-5.4149776,3.026493,72.314354,62.925655,6.997581,138.54149,-7.074812,-17.217525,92.90894,72.036354,-1.2937803,-152.90457,29.825163,-60.12843,-74.34993,8.48712,-0.33307895
2169,-28.306078,-5.6877584,9.506361,90.66666,87.64631,0.46891463,147.24754,-16.397179,10.2042465,-92.88643,73.86403,-8.907802,23.578808,-34.515125,8.882127,-42.40969,-69.53503,1.2841748,-1.2168089,-5.0093427,1.2502323,73.01517,61.588116,8.136849,137.05736,-8.638293,-16.824348,93.40074,73.670746,-0.6786375,-151.91316,30.299105,-59.673943,-75.29716,8.799911,-1.2371112
2181,-29.359257,-4.745139,11.086995,92.20394,87.24981,2.0725472,148.007,-14.759948,11.318188,-92.542145,75.23185,-8.287136,23.586706,-32.550377,9.207107,-52.066086,7.9786572,-5.566785,-0.33783773,-4.569759,-0.5465309,73.65225,60.204266,9.133917,135.69621,-10.087304,-16.384565,93.97977,75.29341,0.0730226,-150.83745,30.771107,-59.216618,-76.16245,9.049188,-2.056874
2201,-30.24251,-3.8071504,12.488578,93.62038,86.24516,3.55488,148.8071,-13.086216,12.482297,-92.22393,76.49817,-7.648279,23.658821,-30.563848,9.564939,14.359827,30.645,-55.39082,0.88367003,-4.1490107,-2.3136828,74.24059,58.80375,9.961774,134.2676,-11.498971,-15.812116,94.598785,76.70864,0.8745675,-149.6776,31.24732,-58.74927,-76.948586,9.18026,-2.7976005
2214,-30.97291,-2.7491283,13.705464,94.95751,85.02888,4.933846,149.82864,-11.487896,13.684413,-91.88181,77.66149,-7.0052137,23.771551,-28.628181,9.94526,-144.47603,-14.973778,7.605829,2.3027878,-3.5715134,-4.0270143,74.75838,57.284504,10.713532,132.86362,-12.979967,-15.259945,95.22399,78.072716,1.7405391,-148.33492,31.738194,-58.261787,-77.64786,9.255483,-3.4599843
2224,-31.668179,-1.6772672,14.824822,96.20002,83.79906,6.200902,150.79979,-9.960927,14.923388,-91.65571,78.71977,-6.4279423,24.037622,-26.62515,10.391469,-31.222506,2.5661857,31.027414,3.6613936,-3.024309,-5.7277837,75.083046,56.130238,11.339193,132.56804,-14.124375,-15.016567,95.77195,79.0726,2.5056343,-146.7796,32.230453,-57.766823,-78.17425,9.187391,-4.0413904
2241,-32.46405,-0.6033991,15.879426,97.32483,82.630714,7.3407907,151.81206,-8.486029,16.1543,-91.52012,79.60256,-5.9465127,24.562334,-24.561829,10.889199,5.7524047,-24.279408,64.53191,5.0844,-2.4838567,-7.3716445,75.09913,55.000496,11.828933,132.33902,-15.079506,-14.793675,96.150986,79.8322,3.1516407,-144.97446,32.701324,-57.286594,-78.75212,9.012825,-4.53881
2262,-33.25904,0.48181766,16.820925,98.32765,81.55512,8.341457,153.10202,-7.1337376,17.371944,-91.35271,80.34507,-5.4877377,25.35674,-22.569565,11.472921,50.908157,-22.060896,-5.5487533,6.845009,-1.7100112,-8.900837,75.01651,54.095932,12.305821,132.07243,-15.874709,-14.516947,96.42633,80.50628,3.7174156,-142.8203,33.186443,-56.784954,-79.11115,8.890689,-4.9387927
2283,-33.822716,1.4203821,17.641214,99.15285,80.6445,9.156081,154.33449,-5.842393,18.563606,-91.22509,80.924194,-5.129446,26.0899,-20.671572,12.16051,179.78906,3.3493028,83.83495,8.516833,-1.0229642,-10.339856,74.90366,53.27815,12.71155,131.7964,-16.74265,-14.213179,96.689804,81.02031,4.2429986,-140.28299,33.69456,-56.25381,-79.18078,8.789176,-5.2164254
2305,-33.916904,2.1644206,18.315624,99.84476,79.86738,9.845485,155.55156,-4.5875106,19.73036,-91.07912,81.368965,-4.8149533,26.940754,-18.847198,12.95121,-123.398415,-14.680535,28.474943,10.116161,-0.37801126,-11.705514,74.75383,52.62796,12.953134,131.54721,-17.406807,-13.918829,96.90757,81.28574,4.645702,-137.23642,34.25157,-55.667767,-79.3284,8.545714,-5.3612704
2329,-33.64155,2.7192886,18.823814,100.44266,79.19095,10.4519825,156.72025,-3.3579686,20.894827,-90.92146,81.60474,-4.5715537,27.856068,-17.185183,13.815774,128.19066,16.31546,71.11731,11.831079,0.27741176,-12.9460335,74.55284,52.187782,13.109515,131.56134,-17.721188,-13.73775,97.1466,81.39593,5.004132,-133.57562,34.851566,-55.032227,-79.52178,8.198274,-5.39083
2350,-33.279617,3.0302331,19.209854,100.85086,78.67963,10.8862505,157.57039,-2.1649735,21.996208,-90.739746,81.6588,-4.389693,28.856829,-15.557879,14.779472,-74.33733,49.65121,-12.538764,13.304516,0.8495199,-14.119065,74.2944,51.92705,13.138757,131.81656,-17.778584,-13.64373,97.32266,81.41861,5.273987,-129.412,35.44298,-54.40015,-79.558876,7.9178934,-5.293406
2369,-32.95169,3.2538247,19.44866,101.09382,78.33782,11.159691,158.33136,-1.0764959,23.022602,-90.48048,81.5592,-4.221661,30.087334,-14.012176,15.821718,-43.3443,-66.8164,6.396666,14.4704485,1.2569355,-15.219213,73.99407,51.83284,13.001239,131.86417,-17.713621,-13.4538355,97.47158,81.31009,5.4525623,-124.80595,36.108032,-53.693027,-79.48857,7.664332,-5.0626645
