millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3141,96.21966,32.680397,27.744371,139.49629,22.492102,11.400155,-69.092224,-58.403305,-19.784472,-89.40827,-62.875614,1.1562843,-69.758194,-74.33984,-14.952456,-15.612637,-77.08108,-7.5210986,-133.83876,-62.559727,-4.5667233,-79.41332,-79.70039,-8.333358,-70.96524,-35.937164,-12.220681,101.91478,-65.556496,3.1172833,-30.557358,7.5721436,-32.49914,46.17097,51.400036,-6.3385415
3162,94.29471,32.943848,26.373379,137.75551,24.347462,8.254239,-65.96204,-57.18565,-23.484194,-88.86207,-62.8216,0.6502659,-69.58368,-74.58904,-14.460927,-24.546339,-77.78083,-8.116778,-136.20253,-58.72977,-5.490522,-78.631065,-78.8146,-8.430551,-70.98987,-35.769222,-12.248854,103.462776,-64.07797,3.2102547,-28.59398,10.509203,-33.184742,-3.3367999,-2.2370493,-86.66997
3184,92.13839,33.003494,25.177643,135.50446,26.077414,4.553809,-62.403248,-55.63283,-27.58616,-88.5135,-62.817844,0.48086882,-69.59745,-74.57794,-14.374763,-36.309074,-78.49924,-8.65249,-138.16313,-54.328815,-6.32854,-77.79294,-77.81047,-8.398555,-71.175255,-35.512234,-12.510171,105.03376,-62.600647,3.4438026,-26.70534,13.669634,-33.77433,-51.438976,7.942677,-7.773309
3214,91.23696,32.9109,24.645418,133.25565,27.287437,0.42408636,-58.28589,-53.405334,-32.09933,-88.191635,-62.712837,0.4482891,-69.70911,-74.50538,-14.4507,-46.059856,-78.91464,-9.177638,-139.83711,-49.48746,-7.1238184,-76.93421,-76.73004,-8.426289,-71.333565,-35.00342,-12.753082,106.24059,-61.336876,3.6026769,-24.73886,17.269733,-33.750767,145.85638,-0.6131811,-41.188126
3233,92.276024,32.92898,24.698812,130.92442,28.528442,-4.004128,-53.721653,-50.420345,-36.916946,-87.64873,-62.428646,0.29210857,-70.038956,-74.767494,-14.185087,-50.83901,-78.93881,-9.643398,-141.17973,-44.374004,-7.80446,-76.28804,-75.98179,-8.714334,-71.40961,-34.25589,-13.023672,106.8486,-60.633774,3.5283754,-22.682894,21.03874,-33.38586,49.91248,58.754776,24.81378
3247,94.116,32.724205,24.932121,128.41544,29.70359,-8.69183,-49.04347,-46.988888,-41.71145,-86.76469,-61.86816,-0.1971646,-70.425,-75.335144,-13.505928,-51.232433,-78.696976,-10.016285,-141.99661,-39.110832,-8.281355,-75.89335,-75.71521,-9.227974,-71.27744,-33.177536,-13.389559,106.98025,-60.571213,3.225358,-20.71773,24.391804,-33.194736,72.66266,-7.3552623,-8.406559
3258,95.19975,32.232548,24.860392,125.62642,30.354921,-13.469037,-44.4548,-43.483276,-46.14822,-85.504036,-60.986412,-1.2466214,-70.310326,-75.721115,-12.826766,-50.059372,-78.44774,-10.253943,-142.21786,-33.951206,-8.478056,-75.67514,-75.642456,-9.668838,-70.74642,-31.592295,-13.973996,106.882996,-60.742413,2.899876,-18.828533,27.327545,-33.284317,-52.355457,-80.07029,8.491124
3274,95.14356,31.681658,24.332827,123.183716,29.788801,-18.074945,-40.00589,-39.972034,-50.027264,-83.834885,-59.677166,-2.9131982,-69.59891,-75.8387,-12.097625,-49.54136,-78.244965,-10.500702,-142.01036,-28.984972,-8.562544,-75.33474,-75.25175,-9.95421,-69.79421,-29.501163,-14.793045,107.13996,-60.569412,2.413056,-16.948843,30.09937,-33.27562,154.72485,26.60905,31.753664
3298,93.88032,31.662527,23.167515,121.51977,27.964224,-22.475098,-35.79781,-36.392193,-53.336254,-81.71033,-57.817753,-5.226194,-68.66995,-75.85876,-11.150999,-49.42879,-77.87049,-10.99794,-141.57431,-24.256708,-8.625053,-74.696815,-74.46787,-10.337141,-68.51528,-26.904793,-16.032759,107.7833,-59.987423,1.7372198,-15.282012,32.823322,-32.829933,82.74484,27.066744,-24.342245
3316,91.265526,31.600876,21.481428,120.60918,25.477133,-26.837967,-31.747849,-32.74435,-56.260544,-79.19055,-55.50633,-8.270034,-67.69007,-75.737236,-10.147065,-49.23815,-77.15055,-11.884045,-140.88449,-19.785074,-8.621993,-73.55373,-73.23187,-11.14691,-66.961235,-23.695042,-17.583067,109.018,-59.08225,0.6614771,-13.740978,35.264523,-32.27166,20.03698,14.326185,-26.55348
3336,87.79364,31.147575,19.681797,120.15308,23.075811,-31.222889,-27.92549,-29.205835,-58.798153,-76.29395,-52.75922,-12.132479,-66.74449,-75.35463,-9.5284395,-49.50235,-75.97647,-13.253211,-140.00511,-15.625492,-8.472313,-71.7818,-71.49099,-12.432585,-65.12485,-19.993969,-19.102474,110.91847,-57.84083,-0.8169155,-12.609316,37.243927,-31.911652,17.931067,12.931042,53.777992
3359,84.69964,30.808094,18.19451,119.81134,21.263834,-35.92418,-24.546722,-26.019884,-60.77892,-72.96118,-49.657227,-16.7157,-66.113235,-74.94025,-9.356084,-50.657295,-74.24058,-15.216031,-138.99207,-11.929596,-8.246089,-69.36377,-69.07102,-14.155891,-63.112137,-15.859744,-20.389978,113.28843,-56.253155,-2.7859435,-11.510312,38.74255,-32.018364,-39.46644,-57.936054,-22.679976
3380,82.62537,30.57564,17.205027,119.67689,19.663343,-40.41863,-21.889153,-23.482553,-61.873543,-69.2717,-45.99738,-21.634516,-65.74957,-74.63585,-9.435422,-51.850075,-71.85767,-17.798498,-137.92273,-8.744254,-7.8238535,-66.3352,-66.014015,-16.303297,-61.104324,-11.4677305,-21.580238,116.06408,-54.22504,-5.274874,-10.361319,39.742775,-32.60001,-30.843798,-33.501358,-35.925446
3401,81.68907,30.508566,16.754696,119.27445,18.29192,-44.48321,-19.85565,-21.59257,-62.18139,-65.418274,-41.802982,-26.674864,-65.53127,-74.45723,-9.529568,-53.850685,-68.869995,-20.955202,-136.86531,-6.0384135,-7.136925,-62.711906,-62.469757,-18.98306,-59.06802,-6.8593016,-22.62427,119.31127,-51.769054,-8.208082,-9.1139765,40.435837,-33.386032,21.596422,-71.36891,-1.9768043
3422,81.38132,30.55517,16.587082,119.313515,16.636297,-47.978943,-18.341927,-20.301352,-61.734955,-61.610134,-37.51119,-31.768827,-65.0414,-74.143974,-9.61452,-57.17314,-65.38666,-24.563652,-135.86293,-3.800539,-6.220139,-58.630634,-58.456966,-21.821392,-56.9004,-2.0820372,-23.396338,122.90662,-48.84616,-11.258969,-7.9947677,40.92453,-34.208176,-10.743109,45.23004,44.4114
