millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3476,-108.878,70.78759,-19.124958,40.042446,66.43731,11.106062,-2.1814573,-0.63086855,-45.617558,-101.015465,2.1383772,-39.777863,-50.97591,-6.7192965,-32.802906,-110.34212,-2.497601,-39.760677,150.26256,-14.385278,-33.509514,-62.933807,-11.519697,-36.488792,154.78697,28.196833,61.272583,-66.69397,55.532967,20.04069,-162.77965,4.7491274,-5.380851,-36.733185,23.745808,-16.356596
3570,156.61269,44.889378,-25.89078,-31.248455,26.48574,-20.692158,-13.434153,-14.376473,-35.271465,-107.62529,-18.26244,-9.716341,57.341576,-16.278519,-39.19535,-94.51098,-14.475129,-17.219461,-152.75581,-24.158047,-36.585308,-45.188374,-25.154217,-20.22282,154.39426,32.01923,36.008026,-135.9721,24.003113,-48.094044,-179.17819,-8.740681,-24.761822,-45.813725,-7.505624,12.587755
3591,157.2338,45.16487,-25.642004,-30.907274,26.743458,-20.482111,-13.233691,-14.261927,-35.078667,-107.6405,-18.165524,-9.684853,57.762733,-16.36214,-38.94913,-94.51054,-14.378806,-17.223745,-152.39139,-24.220432,-36.29166,-45.116684,-25.042858,-20.250973,154.53058,31.963083,35.71734,-136.01541,24.417961,-45.242294,-179.13498,-8.950351,-24.599358,-45.85704,-7.549257,12.463711
3614,157.84245,45.389286,-25.45073,-30.527761,26.993153,-20.243773,-12.993223,-14.109814,-34.84392,-107.66519,-18.095125,-9.651039,58.093674,-16.444218,-38.7699,-94.525406,-14.244255,-17.136871,-151.98885,-24.302097,-36.01194,-45.05935,-24.91954,-20.200014,154.62845,31.978867,35.344322,-140.73004,24.000769,-20.239582,-179.10263,-9.1264305,-24.492191,-45.850677,-7.5633245,12.329459
3628,158.31226,45.534447,-25.328667,-30.12616,27.224941,-20.034216,-12.734142,-13.992911,-34.565052,-107.72947,-18.048601,-9.6082535,58.34718,-16.508724,-38.65281,-94.54798,-14.10435,-17.026197,-151.54308,-24.41853,-35.7329,-45.050407,-24.83287,-20.115343,154.68814,32.05446,34.93179,164.08249,-2.9756844,70.589424,-179.08435,-9.264706,-24.411018,-45.773087,-7.523163,12.141379
3641,158.67192,45.61957,-25.244968,-29.771849,27.401611,-19.894873,-12.464788,-13.915983,-34.29683,-107.83697,-17.982384,-9.543508,58.583668,-16.567167,-38.55632,-94.58133,-14.019472,-16.9563,-151.10765,-24.541368,-35.46001,-45.085426,-24.759626,-20.066805,154.78398,32.115215,34.55983,-151.88857,13.792631,31.398932,-179.08493,-9.376,-24.314226,-45.659813,-7.4007263,11.868822
3651,158.96927,45.671864,-25.20108,-29.502956,27.508205,-19.809008,-12.174199,-13.846145,-34.045353,-107.954285,-17.857883,-9.465083,58.793625,-16.60495,-38.478714,-94.66915,-13.92214,-16.88421,-150.73634,-24.649748,-35.24217,-45.104927,-24.653408,-19.983034,154.98064,32.117794,34.170673,-139.47925,23.611086,-16.743368,-179.09946,-9.464622,-24.20763,-45.500477,-7.2029495,11.5837555
3678,159.22762,45.726265,-25.184166,-29.28312,27.558798,-19.747211,-11.903496,-13.802429,-33.802265,-108.045815,-17.705761,-9.3654175,58.892418,-16.607231,-38.462234,-94.75279,-13.790259,-16.744648,-150.47429,-24.74811,-35.087074,-45.115093,-24.534452,-19.857214,155.20924,32.09044,33.6348,-146.1292,17.058426,16.434965,-179.13284,-9.535618,-24.126654,-45.30686,-7.025194,11.3430605
3689,159.38031,45.700268,-25.279823,-29.099928,27.595638,-19.715315,-11.687879,-13.783677,-33.56289,-108.104294,-17.54508,-9.208893,58.895477,-16.55064,-38.49952,-94.830864,-13.604568,-16.57372,-150.25922,-24.814537,-34.987614,-45.125637,-24.41054,-19.68238,155.3799,31.967144,33.00258,-125.35838,22.898365,-66.35162,-179.18608,-9.58902,-24.07955,-45.108265,-6.9028482,11.079635
3705,159.36957,45.611946,-25.442787,-28.944582,27.611572,-19.748846,-11.525501,-13.795005,-33.322983,-108.13104,-17.315151,-8.972426,58.877842,-16.465418,-38.55311,-94.86867,-13.420398,-16.35727,-150.06133,-24.874949,-34.906136,-45.101967,-24.27408,-19.447855,155.46384,31.707703,32.337883,-118.35912,17.483273,-61.22301,-179.25027,-9.631782,-24.03133,-44.969997,-6.8288565,10.620122
