millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
2329,-171.4616,7.701192,-79.84525,-170.14864,10.455182,-79.38056,-48.98972,-1.8916845,34.34546,122.46625,1.8924291,27.031744,116.629036,-15.624967,3.560255,55.072067,-39.631126,12.474452
2340,-171.49321,7.6628942,-79.8371,-170.17859,10.443579,-79.38131,-48.973797,-1.8496147,34.344505,122.52729,1.8944292,27.031822,116.67754,-15.565945,3.5194595,55.08217,-39.602165,12.468542
2350,-171.53218,7.612075,-79.82086,-170.2158,10.428878,-79.381744,-48.960564,-1.7957062,34.337616,122.59946,1.8690232,27.019184,116.73013,-15.433839,3.5171862,55.06394,-39.499073,12.465855
2361,-171.56677,7.5762725,-79.80874,-170.2483,10.419956,-79.37637,-48.956474,-1.7996601,34.32973,122.6989,1.7957788,27.029104,116.74678,-15.346703,3.537775,55.04489,-39.35128,12.432318
2371,-171.59657,7.5735703,-79.78657,-170.2934,10.397332,-79.388084,-48.969166,-1.8238949,34.311733,122.75982,1.6001769,27.049536,116.724884,-15.366693,3.5605628,55.049503,-39.24202,12.401542
2382,-171.63765,7.5902123,-79.757355,-170.34244,10.373498,-79.403984,-48.974064,-1.8281265,34.28891,122.79465,1.4247679,27.067125,116.67523,-15.479035,3.5670218,55.071335,-39.214825,12.376188
2392,-171.6824,7.6672907,-79.71357,-170.40742,10.342946,-79.42811,-48.98367,-1.8234255,34.27914,122.86872,1.3775702,27.070557,116.64759,-15.574352,3.560869,55.093746,-39.25156,12.391071
2404,-171.75471,7.7903953,-79.652885,-170.52078,10.284015,-79.48166,-48.994595,-1.8128047,34.2664,122.930725,1.3913574,27.063492,116.65456,-15.584567,3.5577326,55.108936,-39.292603,12.419751
2415,-171.8627,7.951888,-79.586044,-170.681,10.205636,-79.552376,-48.990757,-1.8097051,34.272385,122.98591,1.4141603,27.068623,116.675095,-15.521466,3.5506315,55.105312,-39.26325,12.422517
2425,-172.00995,8.191836,-79.507416,-170.91841,10.078186,-79.67723,-49.023335,-1.868035,34.276546,123.052345,1.4717863,27.082987,116.734146,-15.418409,3.5160947,55.106457,-39.15393,12.394298
2438,-172.14662,8.509556,-79.40485,-171.2028,9.939312,-79.819244,-49.052135,-1.9573021,34.253716,123.10441,1.5204614,27.11586,116.77775,-15.248184,3.5095716,55.10956,-39.022503,12.334482
2446,-172.26616,8.872964,-79.246124,-171.48486,9.85857,-79.89657,-49.08241,-2.0538635,34.19197,123.14966,1.5781084,27.16092,116.80241,-15.084134,3.5503612,55.125755,-38.94847,12.292941
2457,-172.36742,9.281712,-79.011,-171.83661,9.794478,-79.94315,-49.11298,-2.2121093,34.13067,123.17693,1.6562157,27.193815,116.78404,-15.000886,3.594635,55.126472,-38.910717,12.290844
2466,-172.44597,9.719189,-78.67625,-172.20586,9.837462,-79.8596,-49.162857,-2.4512026,34.09184,123.19239,1.6289147,27.208069,116.73495,-15.021787,3.6295526,55.13484,-38.850048,12.282191
2477,-172.5962,10.116134,-78.30502,-172.69072,9.921489,-79.69913,-49.19969,-2.6501725,34.06275,123.23607,1.5268635,27.215582,116.70123,-15.060806,3.648777,55.17922,-38.781837,12.203743
2489,-172.88918,10.459189,-77.90874,-173.26556,10.029233,-79.477486,-49.22989,-2.7870584,34.067696,123.29996,1.5599204,27.228647,116.70301,-15.039709,3.6684365,55.22144,-38.734913,12.140334
2499,-173.07558,10.988343,-77.39766,-173.81633,10.170461,-79.205894,-49.221798,-2.8087082,34.06859,123.3828,1.6180863,27.209873,116.76014,-14.918074,3.7042458,55.25165,-38.758205,12.12244
2510,-173.17055,11.497541,-76.93532,-174.33244,10.327366,-78.973595,-49.22729,-2.7988672,34.073574,123.46097,1.7383846,27.186243,116.81636,-14.797157,3.7240222,55.250214,-38.77567,12.143932
2520,-173.40955,11.474021,-76.690384,-174.59212,10.582967,-78.65114,-49.219986,-2.7855225,34.099503,123.53994,1.8948435,27.171064,116.83647,-14.737041,3.7271934,55.262337,-38.763905,12.15726
2531,-173.08711,12.153785,-76.06026,-174.32057,11.128708,-78.09294,-49.214245,-2.7933223,34.103188,123.63894,2.0487566,27.144033,116.80505,-14.726131,3.7335622,55.273968,-38.683422,12.121525
2541,-172.94089,12.786959,-75.45802,-174.41878,11.622259,-77.57921,-49.1918,-2.840333,34.12596,123.72267,2.1583393,27.13298,116.80428,-14.623982,3.8210945,55.290382,-38.65813,12.104468
2551,-173.3563,13.069147,-75.10083,-174.94759,11.876477,-77.24514,-49.167347,-2.9206626,34.08767,123.76434,2.1166883,27.146294,116.81512,-14.478964,3.9628286,55.322834,-38.699608,12.122203
2563,-173.84607,13.27036,-74.82739,-175.61209,12.0046215,-77.038055,-49.218765,-3.1401408,34.02816,123.817406,2.1589139,27.130861,116.80465,-14.457533,4.0653343,55.348248,-38.754955,12.127412
2573,-174.16827,13.4457655,-74.596275,-175.9976,12.174763,-76.82243,-49.285976,-3.3401518,33.969112,123.87228,2.2229605,27.126217,116.78832,-14.53963,4.066127,55.364098,-38.787136,12.137089
2585,-174.3481,13.528343,-74.47349,-176.19087,12.328459,-76.6406,-49.28521,-3.3585107,33.927635,123.91109,2.284966,27.110655,116.74901,-14.605621,4.052291,55.376415,-38.77103,12.141474
2595,-174.48463,13.504404,-74.470024,-176.28699,12.425547,-76.524445,-49.270206,-3.3312972,33.926777,123.96084,2.393561,27.097637,116.76685,-14.561617,4.057215,55.365353,-38.696953,12.133901
2605,-174.56549,13.414009,-74.550186,-176.29959,12.473862,-76.47322,-49.287556,-3.319647,33.941265,124.00755,2.4625533,27.084175,116.82104,-14.461899,4.057439,55.369843,-38.62085,12.112068
2618,-174.54817,13.328593,-74.64999,-176.23439,12.518345,-76.437645,-49.256195,-3.2558038,33.987247,124.05947,2.4903016,27.085064,116.816055,-14.442146,4.062955,55.381405,-38.579243,12.110462
2628,-174.5007,13.255685,-74.69795,-176.05911,12.612667,-76.350845,-49.245533,-3.2189095,34.069344,124.11881,2.4595284,27.08288,116.7801,-14.494212,4.073629,55.390648,-38.558388,12.107254
2636,-174.49861,13.148053,-74.747215,-175.89232,12.705093,-76.24593,-49.232548,-3.1658785,34.16846,124.17592,2.4192214,27.09203,116.75958,-14.549271,4.0918875,55.40842,-38.554527,12.102791
2647,-174.49855,13.040417,-74.78012,-175.82143,12.759472,-76.16045,-49.235043,-3.0932791,34.268204,124.241104,2.3885207,27.093916,116.74346,-14.587375,4.0834346,55.42856,-38.578312,12.107614
2658,-174.4935,12.877659,-74.81592,-175.65314,12.859404,-76.02429,-49.27393,-3.1987638,34.237984,124.29903,2.3660564,27.092745,116.76512,-14.567515,4.060744,55.45622,-38.612946,12.114397
2669,-174.41415,12.651285,-74.88382,-175.3786,12.935215,-75.90771,-49.340748,-3.3216336,34.223824,124.340904,2.362429,27.090057,116.8067,-14.494102,4.0454383,55.478184,-38.634514,12.113507
2679,-174.19856,12.24249,-75.11375,-174.92598,12.99828,-75.80692,-49.30618,-3.2900426,34.225494,124.39388,2.4113157,27.086657,116.84564,-14.433846,4.02175,55.514347,-38.686142,12.118974
2693,-173.86833,11.580282,-75.54642,-174.17325,12.991384,-75.78558,-49.26944,-3.2215009,34.24146,124.45792,2.4564905,27.079699,116.85801,-14.413291,3.9997222,55.543312,-38.742268,12.138193
2701,-173.51869,10.572107,-76.256805,-173.21863,12.852387,-75.89737,-49.218994,-3.085758,34.28694,124.50878,2.4750051,27.078213,116.8593,-14.411017,3.9902248,55.585503,-38.817112,12.141469
2712,-173.18553,9.229358,-77.31773,-172.2013,12.563989,-76.17327,-49.147655,-2.9169688,34.318382,124.56752,2.4677403,27.07613,116.85971,-14.407383,3.9961953,55.623837,-38.930237,12.1644535
2722,-172.97157,7.664757,-78.76,-171.26593,12.095452,-76.68404,-49.069393,-2.7619305,34.356377,124.6268,2.4342883,27.08308,116.83943,-14.425001,4.0093565,55.66444,-39.022614,12.189015
