A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.7133789,0.43121338,0.5510864,-0.037719727,-0.30169678,-0.19488525,0.49346924,-0.7921753,-0.26843262,0.039916992,-0.7056885,0.654541,0.78448486,-0.32019043,0.3583374,-0.39196777,-0.24957275,0.9614258,-0.02142334,-0.11364746,-0.4290161,0.23596191,-0.64801025,0.583374,-0.048034668,0.8540039,0.4960327,-0.14904785,0.10058594,0.15063477,0.79833984,-0.5742798,-0.16442871,-0.9794922,0.022460938,-0.11431885,0.14202881,0.0,-2.4414062E-4,1.2207031E-4,0.8574829,-0.24053955,-0.27111816,-0.36523438,0.67974854,-0.07006836,0.20404053,0.70092773
-0.71398926,0.43206787,0.5496826,-0.036376953,-0.3027954,-0.1940918,0.4934082,-0.7919922,-0.2678833,0.039123535,-0.7050171,0.6555176,0.7840576,-0.32055664,0.35888672,-0.39196777,-0.24938965,0.9614868,-0.022644043,-0.112976074,-0.4277954,0.23529053,-0.649353,0.5831299,-0.047912598,0.8543701,0.49536133,-0.14935303,0.099731445,0.1519165,0.7988281,-0.5734253,-0.16320801,-0.9797363,0.02368164,-0.11376953,0.14239502,0.0,-2.4414062E-4,1.2207031E-4,0.8569946,-0.2411499,-0.27111816,-0.36590576,0.6800537,-0.070129395,0.20507812,0.7003174
-0.71520996,0.43328857,0.5472412,-0.03503418,-0.3040161,-0.1928711,0.493042,-0.7920532,-0.2672119,0.038085938,-0.70477295,0.6560669,0.7841797,-0.32104492,0.35894775,-0.3912964,-0.24884033,0.9616699,-0.023986816,-0.11230469,-0.42669678,0.2345581,-0.65045166,0.5829468,-0.047607422,0.85479736,0.4946289,-0.14953613,0.09875488,0.15325928,0.7994385,-0.5723877,-0.16210938,-0.97998047,0.024780273,-0.11328125,0.14282227,0.0,-3.0517578E-4,1.2207031E-4,0.8564453,-0.24188232,-0.2713623,-0.3665161,0.6801758,-0.070129395,0.20617676,0.69989014
-0.71624756,0.4345703,0.5449219,-0.034240723,-0.30517578,-0.190979,0.4923706,-0.79248047,-0.2664795,0.036865234,-0.70513916,0.6560669,0.78497314,-0.3215332,0.35839844,-0.38989258,-0.2479248,0.9619751,-0.025390625,-0.111694336,-0.42596436,0.23400879,-0.6513672,0.5827637,-0.04736328,0.85528564,0.4937744,-0.14953613,0.097839355,0.15454102,0.79992676,-0.5715332,-0.16082764,-0.9802246,0.0256958,-0.112854004,0.14331055,1.2207031E-4,-4.272461E-4,6.1035156E-5,0.855896,-0.24279785,-0.27166748,-0.3670044,0.68011475,-0.07019043,0.20697021,0.69970703
-0.7167969,0.43566895,0.54333496,-0.033935547,-0.30596924,-0.18896484,0.49206543,-0.7928467,-0.26568604,0.035705566,-0.7057495,0.6557617,0.7861328,-0.32165527,0.35742188,-0.3883667,-0.24713135,0.9621582,-0.026733398,-0.11126709,-0.42559814,0.23352051,-0.6520386,0.58239746,-0.046936035,0.85595703,0.49279785,-0.14923096,0.097229004,0.15563965,0.80041504,-0.5706177,-0.1595459,-0.9804077,0.026367188,-0.11260986,0.14404297,6.1035156E-5,-4.272461E-4,6.1035156E-5,0.8553467,-0.24383545,-0.2720337,-0.36730957,0.6798096,-0.070129395,0.20721436,0.6999512
-0.71691895,0.43670654,0.5423584,-0.034057617,-0.30645752,-0.18743896,0.49212646,-0.79296875,-0.26489258,0.03491211,-0.70648193,0.6553345,0.7874756,-0.32141113,0.3562622,-0.3867798,-0.24639893,0.9623413,-0.028015137,-0.11102295,-0.42578125,0.2331543,-0.6524658,0.5819702,-0.046203613,0.8567505,0.49163818,-0.14855957,0.09686279,0.15667725,0.8010254,-0.56951904,-0.15856934,-0.9805908,0.026733398,-0.11260986,0.14459229,6.1035156E-5,-4.272461E-4,0.0,0.85498047,-0.24456787,-0.27233887,-0.36743164,0.67926025,-0.070129395,0.20690918,0.7005615
-0.71698,0.4376831,0.5414429,-0.034301758,-0.3067627,-0.18603516,0.4925537,-0.7929077,-0.2642212,0.034484863,-0.7074585,0.65460205,0.7889404,-0.321167,0.35516357,-0.38500977,-0.2456665,0.9625244,-0.029052734,-0.11114502,-0.42663574,0.23278809,-0.6522827,0.581604,-0.045410156,0.857666,0.49035645,-0.14776611,0.09674072,0.15740967,0.8015137,-0.5687256,-0.15814209,-0.9805908,0.026550293,-0.112854004,0.1449585,1.2207031E-4,-3.6621094E-4,0.0,0.8547363,-0.2453003,-0.272583,-0.36730957,0.6784668,-0.07019043,0.2064209,0.70147705
-0.71728516,0.4383545,0.54052734,-0.034729004,-0.30688477,-0.18469238,0.4928589,-0.79296875,-0.2637329,0.034851074,-0.7089844,0.6531372,0.7904663,-0.32092285,0.35412598,-0.38305664,-0.24487305,0.96258545,-0.029907227,-0.11175537,-0.42791748,0.23248291,-0.6516113,0.581604,-0.04473877,0.8585205,0.48913574,-0.14691162,0.09692383,0.15765381,0.8016968,-0.5683594,-0.15838623,-0.9805298,0.026000977,-0.113342285,0.14508057,1.8310547E-4,-3.6621094E-4,-6.1035156E-5,0.85461426,-0.24597168,-0.27282715,-0.3670044,0.67749023,-0.070251465,0.20562744,0.7026367
-0.7177124,0.4387207,0.5396118,-0.035217285,-0.30682373,-0.18334961,0.49298096,-0.7932739,-0.26342773,0.036010742,-0.7108154,0.6512451,0.7920532,-0.3206787,0.35321045,-0.38079834,-0.24450684,0.96258545,-0.030273438,-0.11273193,-0.42956543,0.23254395,-0.65057373,0.58154297,-0.043945312,0.859375,0.48797607,-0.14611816,0.097473145,0.15734863,0.80163574,-0.5684204,-0.15887451,-0.9804077,0.025024414,-0.11407471,0.14501953,1.8310547E-4,-2.4414062E-4,-6.1035156E-5,0.8546753,-0.24621582,-0.27313232,-0.3665161,0.6762085,-0.0703125,0.20477295,0.70410156
-0.7180176,0.43865967,0.5391846,-0.0357666,-0.30651855,-0.18225098,0.49267578,-0.79382324,-0.26330566,0.037353516,-0.71209717,0.6497803,0.7937012,-0.3203125,0.35247803,-0.37835693,-0.24475098,0.96240234,-0.030151367,-0.1138916,-0.43145752,0.23297119,-0.649353,0.5812988,-0.04296875,0.8601074,0.48706055,-0.14538574,0.09844971,0.15655518,0.8013916,-0.56884766,-0.1593628,-0.98028564,0.023620605,-0.1149292,0.14465332,1.2207031E-4,-6.1035156E-5,-1.2207031E-4,0.8548584,-0.24609375,-0.2734375,-0.36584473,0.6748047,-0.07019043,0.20379639,0.7057495
-0.7180176,0.43811035,0.5396118,-0.03643799,-0.3060913,-0.18188477,0.49230957,-0.7943115,-0.26361084,0.03881836,-0.71276855,0.6488037,0.7953491,-0.32006836,0.35168457,-0.3758545,-0.24536133,0.96209717,-0.02960205,-0.115112305,-0.4335327,0.23358154,-0.64819336,0.5808716,-0.042053223,0.8605957,0.48638916,-0.14477539,0.09979248,0.15545654,0.8012085,-0.56915283,-0.15997314,-0.98010254,0.021850586,-0.11590576,0.14398193,6.1035156E-5,1.2207031E-4,-1.2207031E-4,0.8552246,-0.24572754,-0.2738037,-0.3651123,0.6732178,-0.070007324,0.2029419,0.70758057
