A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.86608887,0.37854004,0.23370361,0.22802734,0.027954102,-0.20880127,0.28186035,-0.93603516,-0.6244507,0.7095337,-0.09716797,-0.31176758,0.06829834,-0.22827148,-0.43688965,0.8673706,-0.3864746,0.5883179,-0.70758057,0.06201172,0.22241211,-0.6039429,-0.42565918,0.6361084,-0.3400879,0.55792236,-0.75653076,0.02758789,0.099609375,-0.52960205,-0.60443115,0.586792,-0.18511963,-0.07757568,-0.97613525,-0.08343506,0.072753906,0.52783203,0.7084961,-0.46264648,-0.70880127,0.1427002,0.33044434,-0.6067505,0.93273926,0.3034668,0.14855957,0.12554932
-0.68273926,0.6768799,-0.1428833,0.23516846,-0.10247803,0.05859375,0.64227295,-0.7573242,-0.38964844,0.88397217,-0.24945068,0.06744385,0.38427734,-0.27947998,-0.6659546,0.5751343,0.13763428,0.44110107,-0.8778076,0.12640381,-0.38812256,-0.3067627,-1.2122803,1.4161987,0.11987305,0.38134766,-0.9156494,0.04260254,0.2822876,-0.6887207,-0.664978,0.061706543,0.050476074,-0.35913086,-0.8395386,-0.4046631,-0.3143921,0.609375,0.7112427,-0.15460205,-0.85266113,0.11395264,0.4975586,-0.111450195,0.78674316,0.30889893,0.44256592,-0.29956055
-0.6812134,0.6782837,-0.14465332,0.23449707,-0.10211182,0.059265137,0.64416504,-0.7557373,-0.38885498,0.8843994,-0.2487793,0.06933594,0.38659668,-0.27911377,-0.6672363,0.5722656,0.13781738,0.43945312,-0.8786011,0.1262207,-0.3867798,-0.3067627,-1.2122803,-1.1728516,0.12145996,0.3812256,-0.9154053,0.043701172,0.2833252,-0.68969727,-0.6636963,0.0602417,0.052246094,-0.36138916,-0.8378906,-0.4058838,-0.31750488,0.6095581,0.710083,-0.1529541,-0.8529053,0.114746094,0.49743652,-0.109558105,0.7852783,0.309021,0.44329834,-0.30218506
-0.67944336,0.6798096,-0.14648438,0.23400879,-0.10229492,0.060424805,0.6459961,-0.7540283,-0.38763428,0.8847656,-0.24841309,0.07165527,0.38897705,-0.27856445,-0.66845703,0.569458,0.13781738,0.43811035,-0.87927246,0.1260376,-0.3848877,-0.30822754,-1.2122803,-1.6072388,0.12347412,0.38085938,-0.9152832,0.04473877,0.28393555,-0.690979,-0.66223145,0.05871582,0.054260254,-0.36395264,-0.8361206,-0.40686035,-0.32080078,0.60961914,0.70880127,-0.1515503,-0.85302734,0.11566162,0.4973755,-0.10760498,0.78375244,0.30914307,0.44403076,-0.30480957
-0.6777954,0.6813965,-0.14794922,0.2333374,-0.10253906,0.061523438,0.6478882,-0.7522583,-0.38635254,0.8851929,-0.24829102,0.074157715,0.39141846,-0.2781372,-0.66955566,0.5667114,0.1375122,0.4371338,-0.8798828,0.12591553,-0.38330078,-0.31103516,-1.2122803,-0.5839844,0.12573242,0.38006592,-0.9152832,0.045532227,0.28430176,-0.6923828,-0.66070557,0.057434082,0.05609131,-0.36645508,-0.83447266,-0.4078369,-0.3239746,0.60980225,0.70751953,-0.15008545,-0.85321045,0.11633301,0.49731445,-0.10583496,0.78234863,0.3093872,0.44458008,-0.30749512
-0.6762085,0.68304443,-0.14886475,0.23242188,-0.103027344,0.062561035,0.6497803,-0.7504883,-0.3847046,0.8856201,-0.24847412,0.07696533,0.39398193,-0.27770996,-0.67041016,0.5640869,0.13708496,0.43640137,-0.88031006,0.12573242,-0.3829956,-0.31237793,-1.2122803,0.5015259,0.12792969,0.3789673,-0.91534424,0.04626465,0.28448486,-0.6937866,-0.6592407,0.05657959,0.057922363,-0.3690796,-0.8327637,-0.40863037,-0.32720947,0.6101074,0.7060547,-0.14874268,-0.8532715,0.117248535,0.49731445,-0.10406494,0.7809448,0.3095703,0.44500732,-0.31011963
-0.6744385,0.68463135,-0.15014648,0.23199463,-0.10333252,0.06329346,0.6516113,-0.7487793,-0.38293457,0.8859863,-0.2489624,0.079956055,0.39642334,-0.2772827,-0.67108154,0.5617676,0.13647461,0.43597412,-0.88061523,0.12567139,-0.38586426,-0.31311035,-1.2122803,-0.77093506,0.13018799,0.3776245,-0.9155884,0.046936035,0.28466797,-0.69506836,-0.6578369,0.05596924,0.059570312,-0.37176514,-0.8312378,-0.40905762,-0.3302002,0.6105957,0.7044678,-0.14764404,-0.8533325,0.11798096,0.4973755,-0.10253906,0.7797241,0.30975342,0.4453125,-0.31256104
-0.6727295,0.68603516,-0.15161133,0.23199463,-0.103515625,0.06365967,0.65319824,-0.7473755,-0.38104248,0.8862915,-0.24957275,0.08337402,0.39868164,-0.27703857,-0.6716919,0.5595093,0.13586426,0.43579102,-0.88079834,0.12561035,-0.3876953,-0.3139038,-1.2122803,1.3247681,0.1326294,0.37597656,-0.91589355,0.047546387,0.28466797,-0.69610596,-0.6567993,0.055786133,0.060913086,-0.3743286,-0.82977295,-0.4095459,-0.33294678,0.611145,0.7029419,-0.14660645,-0.8534546,0.11859131,0.4973755,-0.101257324,0.7785034,0.3100586,0.44555664,-0.3149414
-0.6712036,0.6869507,-0.15350342,0.23254395,-0.10430908,0.064208984,0.6547241,-0.7458496,-0.3791504,0.88653564,-0.2503662,0.08709717,0.4008789,-0.27722168,-0.6721802,0.55737305,0.13519287,0.4359131,-0.8808594,0.12561035,-0.38848877,-0.31433105,-1.2122803,0.13348389,0.1348877,0.37445068,-0.91607666,0.048461914,0.28460693,-0.69696045,-0.6558838,0.055847168,0.061828613,-0.37677002,-0.8283081,-0.4102173,-0.33520508,0.6118164,0.7015381,-0.1453247,-0.85357666,0.119018555,0.49725342,-0.10015869,0.77734375,0.31072998,0.44561768,-0.31713867
-0.66986084,0.6875,-0.15539551,0.23339844,-0.105285645,0.06506348,0.65625,-0.74432373,-0.37731934,0.88671875,-0.25109863,0.09100342,0.402771,-0.27783203,-0.6723633,0.5554199,0.13452148,0.4362793,-0.88079834,0.12548828,-0.38867188,-0.31500244,-1.2122803,0.7090454,0.13745117,0.37261963,-0.91638184,0.049682617,0.28448486,-0.6976929,-0.65515137,0.05609131,0.062194824,-0.3791504,-0.82684326,-0.41082764,-0.33703613,0.61279297,0.70007324,-0.14404297,-0.85369873,0.119262695,0.4970703,-0.09942627,0.7762451,0.31152344,0.44543457,-0.31921387
