A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3
0.30407715,-0.43780518,-0.52404785,0.6642456,1.21875,0.31243896,-1.8138428,1.5004272,0.7196655,0.25439453,-0.3731079,-0.5274048,0.45098877,-0.22296143,0.039611816,-0.8633423,0.035888672,0.21813965,0.6769409,0.70196533,0.80444336,0.013183594,-0.22125244,-0.5510864,0.23919678,-0.48028564,-0.7092285,-0.45739746,-0.6987915,0.07507324,0.51293945,0.49291992,0.583313,0.75323486,5.493164E-4,0.30389404,-0.49017334,-0.3408203,0.20385742,-0.77593994,0.69641113,-0.05645752,-0.4621582,0.54608154
0.3083496,-0.4329834,-0.5488281,0.6451416,-0.71435547,-0.68115234,0.34649658,-0.43927002,0.74560547,0.24414062,-0.29431152,-0.54577637,0.46722412,-0.20257568,0.121032715,-0.8521118,0.06506348,0.20825195,0.6107178,0.76116943,0.79888916,-0.024902344,-0.15124512,-0.581604,0.20684814,-0.45941162,-0.6750488,-0.5390625,-0.7012329,0.11657715,0.45062256,0.539978,0.6567383,0.6868286,-0.04437256,0.30804443,-0.5028076,-0.24920654,0.24328613,-0.79119873,0.68481445,-0.0748291,-0.47131348,0.5506592
0.30914307,-0.4359131,-0.55462646,0.6378174,-1.4091797,-0.6812744,0.34924316,-0.444458,0.7529907,0.24090576,-0.2741089,-0.5476074,0.4710083,-0.20251465,0.13623047,-0.8477173,0.06719971,0.20147705,0.5987549,0.7722168,0.7988281,-0.032470703,-0.13604736,-0.585083,0.20355225,-0.4505005,-0.6713867,-0.55218506,-0.70495605,0.12402344,0.43597412,0.5455322,0.66778564,0.6749878,-0.054504395,0.30877686,-0.50531006,-0.23248291,0.2510376,-0.7922363,0.6816406,-0.07824707,-0.47357178,0.55218506
0.30963135,-0.4362793,-0.5621948,0.63061523,0.24060059,-0.6799927,0.35498047,-0.4482422,0.7590332,0.2354126,-0.258667,-0.54907227,0.47314453,-0.20465088,0.14733887,-0.8441162,0.06817627,0.19500732,0.58929443,0.7809448,0.7991333,-0.039001465,-0.12420654,-0.58691406,0.20269775,-0.44262695,-0.66900635,-0.56170654,-0.7094116,0.13043213,0.42401123,0.5476074,0.67626953,0.66467285,-0.0625,0.31121826,-0.5046997,-0.21783447,0.25653076,-0.79504395,0.6782837,-0.08087158,-0.4758911,0.5539551
0.31097412,-0.4446411,-0.57733154,0.61016846,-1.3029175,-0.6786499,0.37316895,-0.45751953,0.7668457,0.20812988,-0.24291992,-0.5563965,0.4697876,-0.21618652,0.1673584,-0.8394165,0.06225586,0.18719482,0.5731201,0.7953491,0.7947998,-0.057739258,-0.10119629,-0.59558105,0.21789551,-0.43432617,-0.6741333,-0.55633545,-0.720459,0.14105225,0.41125488,0.54022217,0.6719971,0.6546631,-0.04864502,0.34265137,-0.48529053,-0.20806885,0.2567749,-0.8095093,0.66381836,-0.095703125,-0.49310303,0.55407715
0.31420898,-0.44921875,-0.5740967,0.60821533,-1.0759277,-0.6813965,0.37335205,-0.45788574,0.7697754,0.20141602,-0.2401123,-0.5560913,0.46868896,-0.21862793,0.17242432,-0.8383789,0.059570312,0.18670654,0.57250977,0.79608154,0.79333496,-0.061645508,-0.099243164,-0.5974121,0.22125244,-0.43530273,-0.6777954,-0.54974365,-0.72210693,0.14190674,0.41418457,0.53564453,0.6642456,0.6600342,-0.04144287,0.3482666,-0.48382568,-0.21368408,0.25341797,-0.80999756,0.66186523,-0.1003418,-0.49627686,0.5527954
0.31585693,-0.45324707,-0.5718384,0.60650635,0.33587646,-0.6832886,0.37371826,-0.45947266,0.7695923,0.20019531,-0.23632812,-0.55841064,0.46783447,-0.21685791,0.17388916,-0.83898926,0.060058594,0.18682861,0.57354736,0.79522705,0.79119873,-0.061157227,-0.09979248,-0.6002197,0.22009277,-0.43652344,-0.6812134,-0.54504395,-0.7214966,0.1394043,0.41693115,0.5349121,0.661499,0.6635742,-0.03778076,0.347229,-0.48443604,-0.21716309,0.25030518,-0.8096924,0.6618042,-0.10247803,-0.4960327,0.55267334
0.31481934,-0.4550171,-0.5692749,0.60809326,-0.27722168,-0.6833496,0.37280273,-0.46154785,0.7681885,0.20147705,-0.23730469,-0.55944824,0.4673462,-0.21514893,0.17004395,-0.84051514,0.06036377,0.18811035,0.5765991,0.7927246,0.7897339,-0.059387207,-0.103759766,-0.6016846,0.21923828,-0.43792725,-0.6843262,-0.5402832,-0.7203369,0.13671875,0.42132568,0.53375244,0.65789795,0.66815186,-0.03717041,0.34527588,-0.4854126,-0.222229,0.24926758,-0.80804443,0.6630249,-0.10089111,-0.49475098,0.5526123
0.3128662,-0.45074463,-0.5570679,0.6234131,-1.270752,-0.6832886,0.369812,-0.4564209,0.76361084,0.20373535,-0.25604248,-0.5566406,0.4623413,-0.2154541,0.1529541,-0.84643555,0.05822754,0.1953125,0.58654785,0.7838135,0.7825928,-0.05645752,-0.118896484,-0.6084595,0.22009277,-0.4446411,-0.69158936,-0.5250244,-0.7149658,0.12957764,0.43780518,0.52948,0.64398193,0.6829834,-0.040283203,0.34210205,-0.4874878,-0.23937988,0.25030518,-0.8015137,0.66693115,-0.09539795,-0.49395752,0.5496216
0.31329346,-0.45031738,-0.5541382,0.62609863,-1.0813599,-0.68359375,0.36895752,-0.45581055,0.76293945,0.20471191,-0.2593994,-0.555603,0.46191406,-0.2156372,0.14910889,-0.84729004,0.057006836,0.19732666,0.58862305,0.7817993,0.7808838,-0.05645752,-0.122680664,-0.6098633,0.22070312,-0.44561768,-0.6930542,-0.5220337,-0.7141113,0.12841797,0.44122314,0.5280762,0.64172363,0.68530273,-0.04071045,0.34173584,-0.48760986,-0.24194336,0.25061035,-0.80059814,0.66796875,-0.093444824,-0.4935913,0.54901123
