millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3069,22.88369,20.350197,-69.262856,-168.74954,12.143851,-77.682785,-8.282201,7.3926954,-47.00562,149.26402,10.184038,-70.44503,25.365126,7.058637,-14.332743,179.08531,8.826884,-59.16005,-153.03221,14.137733,-16.783669,-9.211116,13.178594,-55.363564,59.022366,32.9231,41.710335,-114.32658,11.117261,-46.542164,-3.333717,51.57254,-22.22059,-109.361145,-24.119968,36.49882
3098,69.46414,32.924217,-0.8993712,177.99722,17.623034,-21.544586,-58.796886,-58.37575,-31.204903,96.12972,-65.99326,-18.205223,23.438894,-22.329184,-5.8904214,143.28117,-30.277527,-43.61294,174.01065,-38.416607,-10.116478,-63.740166,-42.66122,-24.958752,65.43018,-6.827117,42.32079,-125.89273,-31.859188,-5.0454826,-34.238506,13.913182,-47.261566,-115.78411,-19.809864,45.573795
3107,69.38169,32.444386,0.64654213,176.82607,16.99983,-20.1682,-61.1035,-60.45519,-28.754408,95.4875,-67.63149,-16.9871,22.807884,-23.501347,-4.376683,141.75186,-31.807009,-42.68427,173.20094,-39.353863,-8.655438,-65.249504,-43.5554,-23.262074,63.704,-7.049376,37.71179,-126.07208,-31.807001,-2.8377945,-35.09508,12.849743,-47.474323,-116.79395,-18.458849,46.611526
3131,69.30287,31.926596,2.0198865,175.29242,15.938255,-18.501343,-63.798897,-62.94768,-25.987461,94.84491,-68.85123,-15.957129,22.210867,-24.758493,-3.326438,140.25821,-33.50852,-42.061256,172.51645,-40.2936,-6.956348,-66.80254,-44.426395,-21.382555,61.397022,-7.7794065,33.62405,-126.35919,-31.507605,-0.44659358,-35.476315,12.034851,-47.857296,-117.57244,-17.033388,47.46327
3167,69.52914,31.589678,3.9203238,172.0243,13.152675,-14.67171,-69.62131,-68.391685,-20.219992,93.29991,-69.96936,-14.394632,5.061398,-61.009804,15.929225,136.00545,-38.808334,-40.88272,171.77142,-41.9934,-2.7319593,-69.940506,-45.693382,-17.009628,56.021236,-8.877138,28.952662,-126.78734,-30.66318,4.230695,-36.4146,10.26139,-48.8155,-119.60492,-13.919372,49.67224
3195,69.93589,31.99339,4.4649825,170.77016,12.117831,-12.951325,-72.17698,-70.64498,-17.681969,92.6436,-70.32265,-13.799525,6.5206137,-61.2495,16.189003,132.3138,-42.438774,-38.65885,170.57945,-43.869625,-0.75793135,-71.33446,-46.15337,-14.793605,54.367912,-9.681062,27.998848,-126.40475,-30.607351,7.016577,-36.73041,9.232328,-49.917152,-121.2466,-12.266075,51.30997
3210,70.2292,32.403084,4.8110485,169.74788,11.4047785,-11.349565,-74.45244,-72.48824,-15.419754,92.13971,-70.68576,-13.292894,7.077182,-61.599487,16.188644,129.32072,-45.080235,-36.966713,170.9125,-44.918724,1.1297688,-72.4678,-47.003536,-12.503524,53.294445,-10.55652,27.771597,-125.981224,-30.710264,9.518843,-37.11333,8.216491,-50.96289,-123.40844,-10.627108,53.301662
3228,70.358086,32.70866,5.09385,168.78416,10.883282,-9.8820915,-76.540146,-73.98752,-13.35627,91.725494,-70.875435,-12.928928,6.9827676,-61.952793,16.029789,126.29806,-47.544132,-34.91014,172.08568,-45.805286,3.122314,-73.231445,-47.30177,-10.451538,52.42184,-11.29914,27.90863,-125.76688,-30.864862,11.9996395,-37.612694,7.16408,-51.931812,-125.95051,-8.952907,55.3015
3249,70.430374,32.96361,5.3293552,167.90486,10.353059,-8.412799,-78.57184,-75.222565,-11.394889,91.4142,-70.82611,-12.73073,6.8485436,-62.309402,15.780283,123.51118,-49.726345,-32.79879,173.82503,-46.657352,5.170271,-73.88103,-47.69634,-8.341403,51.34661,-11.585249,28.322102,-125.639755,-31.032148,14.528286,-38.105076,6.14117,-52.799465,-128.45601,-7.367418,57.05182
3269,70.567665,33.32832,5.4239964,167.18025,9.818926,-7.135653,-80.44387,-76.19624,-9.63742,91.128,-70.63162,-12.637972,6.917097,-62.589092,15.507924,120.580894,-52.411808,-30.413279,176.2439,-46.987736,7.2436647,-74.30478,-48.127193,-6.3920383,50.26824,-11.812413,28.835604,-125.508995,-31.648903,16.613651,-38.695133,5.074574,-53.660408,-131.06282,-5.7606745,58.751987
3294,70.69574,33.752777,5.3433747,166.70923,9.436214,-6.154396,-81.955215,-76.79898,-8.224056,90.90941,-70.36876,-12.623155,7.449135,-62.763412,15.347973,118.119354,-54.20579,-28.547367,179.74397,-47.59099,9.429115,-74.3081,-48.631813,-4.419944,49.220203,-12.065541,29.44894,-125.46348,-32.359436,17.825834,-39.455746,3.9589455,-54.382637,-133.70338,-4.109167,60.260437
3312,70.78418,34.208042,5.176684,166.57724,9.412965,-5.418771,-82.9535,-76.82884,-7.2831764,90.69837,-70.08998,-12.620955,8.681483,-62.906013,15.385046,115.63264,-56.05671,-26.576548,-177.27527,-48.461082,11.015161,-74.514275,-49.459084,-2.4495013,48.358517,-12.50952,30.355185,-125.51324,-33.07093,18.468224,-40.09897,2.8315744,-55.202297,-136.46265,-2.4757895,61.620277
3333,70.83231,34.63396,4.9748325,166.64653,9.778129,-4.9517064,-83.49208,-76.42955,-6.764033,90.47177,-69.86496,-12.532769,9.676117,-63.038063,15.440879,113.179214,-57.72415,-24.519732,-175.77931,-49.3457,11.758363,-74.85817,-50.12072,-1.4206902,47.77553,-12.906499,31.499483,-125.51818,-33.846706,18.794666,-40.64455,1.7069448,-56.16371,-139.7258,-0.8615157,63.156662
3360,70.83238,35.035213,4.7620807,166.6808,10.160274,-4.673742,-83.891205,-75.91385,-6.3828483,90.40511,-69.815735,-12.459738,10.424843,-63.06328,15.548939,110.65436,-59.153988,-22.258574,-174.26738,-50.3624,12.2985525,-75.331184,-51.054047,-0.72469616,47.932568,-14.730073,33.129745,-125.5237,-34.49039,19.053226,-40.9954,0.57006824,-57.424248,-143.64333,0.7295007,64.97228
3376,70.75205,35.325005,4.5601187,166.59775,10.4277,-4.4432707,-84.27906,-75.49843,-6.018005,90.37973,-69.73856,-12.43149,11.214174,-63.007244,15.690093,108.24895,-60.104202,-19.887428,-172.72983,-51.250683,12.773859,-75.72786,-52.03033,-0.27158204,49.350445,-16.845562,34.895176,-125.61589,-34.94738,19.357517,-41.31099,-0.54502356,-58.72194,-148.04733,2.260205,66.990555
3398,70.64214,35.538925,4.397574,166.51613,10.634511,-4.2407804,-84.57026,-75.160255,-5.7377462,90.45281,-69.72587,-12.464121,12.514144,-62.91573,15.862018,106.07861,-60.48825,-17.61345,-170.96317,-51.98816,13.359088,-76.11724,-52.880238,0.25490528,50.918335,-19.11589,35.918205,-125.81347,-35.422924,19.492914,-41.80369,-1.5697365,-59.681797,-152.41136,3.7428038,68.724075
3419,70.513954,35.669483,4.2780986,166.561,10.93434,-4.171827,-84.58026,-74.774185,-5.6968846,90.553116,-69.71904,-12.563737,14.408955,-62.875877,16.058947,104.220024,-60.41396,-15.59787,-169.73146,-52.81175,13.654314,-76.472565,-53.51299,0.75379485,52.758766,-21.44486,36.93281,-126.01072,-35.867977,19.390282,-42.53243,-2.4666383,-60.201477,-156.22644,5.149509,69.91469
3440,70.34613,35.671635,4.2233233,166.65479,11.314822,-4.255561,-84.40994,-74.397964,-5.81314,90.605286,-69.668015,-12.650327,15.867789,-62.859123,16.17917,102.58449,-60.44742,-13.691279,-169.23775,-53.601463,13.597542,-76.84112,-54.11521,0.97615504,54.792866,-23.923027,37.63956,-126.07114,-36.19179,19.190496,-43.32908,-3.22349,-60.476604,-159.40453,6.477787,70.5484
3462,70.2788,35.762943,4.205337,166.74269,11.727863,-4.421177,-84.15648,-73.96565,-6.0186367,90.70322,-69.61525,-12.747087,16.89052,-62.853966,16.232174,101.17828,-60.577763,-11.884797,-169.03523,-54.182106,13.402731,-77.15052,-54.73092,0.9376896,56.80415,-26.463068,37.95771,-125.99982,-36.476814,18.913502,-44.052578,-3.8518543,-60.669796,-162.16733,7.6859026,70.916565
3484,70.25609,35.788033,4.164752,166.80362,12.130907,-4.601921,-83.875275,-73.621895,-6.2600985,90.85015,-69.55032,-12.868183,17.560753,-62.814926,16.315943,100.04303,-60.528156,-10.104273,-168.76007,-54.67071,13.134181,-77.27788,-55.286213,0.7593453,58.623226,-28.74631,37.81831,-125.92415,-36.702095,18.679201,-44.696148,-4.382206,-60.82656,-164.69116,8.752356,71.21047
3505,70.26287,35.749233,4.0706506,166.83693,12.491063,-4.7805305,-83.552055,-73.30791,-6.504531,91.05304,-69.4944,-13.015189,17.998758,-62.735634,16.47842,99.379555,-60.132614,-8.511048,-168.28935,-55.07536,12.937776,-77.31295,-55.712685,0.55497104,60.682823,-31.146711,37.295895,-125.84938,-36.76306,18.708176,-45.214447,-4.78238,-60.970364,-166.99031,9.681912,71.46978
3526,70.300964,35.67104,3.9145918,166.8142,12.738603,-4.945973,-83.3271,-73.074715,-6.5946174,91.3034,-69.517586,-13.138542,18.333681,-62.55428,16.762283,98.993225,-59.835335,-7.04483,-166.58203,-55.408085,13.232321,-77.35058,-56.07163,0.6530969,63.30006,-33.727985,36.6473,-125.80612,-36.7034,18.84538,-45.772263,-5.076956,-60.900066,-168.73215,10.467991,71.533104
3548,70.36581,35.52755,3.7755816,166.76762,12.91014,-5.0840416,-83.12387,-72.931404,-6.682688,91.581535,-69.667404,-13.222186,18.705761,-62.31557,17.126196,98.55705,-60.037292,-5.804192,-164.57806,-55.63854,13.712773,-77.29718,-56.228645,1.0125504,65.94159,-36.396637,35.846725,-125.772095,-36.58671,18.95511,-46.506065,-5.2781835,-60.498985,-169.57016,11.126731,71.22824
3568,70.420685,35.296116,3.7106357,166.66116,13.014482,-5.186684,-82.971596,-72.881454,-6.734992,91.886185,-69.90794,-13.277048,19.102575,-62.06812,17.513533,98.205414,-60.50359,-5.177485,-163.15674,-55.78463,14.091233,-77.22291,-56.243065,1.3027833,68.541824,-38.914368,34.8977,-125.7091,-36.425972,19.080963,-47.18403,-5.4151382,-60.025837,-169.73853,11.659121,70.68984
3590,70.459435,34.98399,3.7400668,166.51114,13.005366,-5.2171216,-82.92708,-73.048874,-6.7431874,92.16585,-70.19442,-13.2870655,19.387419,-61.809986,17.888128,97.905106,-61.103916,-4.759756,-162.10405,-55.881912,14.39297,-77.169685,-56.24679,1.5393511,70.258545,-40.63323,33.912296,-125.59696,-36.301838,19.200384,-47.714886,-5.5544972,-59.69489,-169.79874,12.064491,70.23156
3613,70.518654,34.645115,3.8246546,166.43053,13.079569,-5.2281127,-82.85865,-73.198074,-6.812185,92.43537,-70.511635,-13.257215,19.372448,-61.510067,18.251396,97.70401,-61.522667,-4.3263645,-161.30406,-55.94445,14.597936,-77.092514,-56.235493,1.7219919,71.50987,-41.67962,33.263252,-125.4478,-36.216747,19.268301,-47.997208,-5.651466,-59.552383,-170.0723,12.40179,69.98171
3633,70.57936,34.26119,3.9356377,166.42934,13.094242,-5.2227383,-82.76016,-73.272934,-6.9167514,92.719185,-70.828964,-13.240639,19.259272,-61.23157,18.56873,97.492744,-61.749863,-3.8446045,-160.14775,-56.12668,14.815774,-77.03458,-56.29222,1.9356804,72.6617,-42.49046,32.74221,-125.36388,-36.191475,19.263155,-48.257626,-5.721914,-59.37307,-170.378,12.688402,69.82469
