millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3371,-175.84703,44.65656,-12.460323,20.990019,58.76259,25.14826,152.18219,-36.00239,-38.875496,0.0,0.0,0.0,-122.129135,-36.794273,-36.107666,142.27426,-49.997658,-36.419964,-35.887955,-35.790108,-26.940157,129.3743,-42.263397,-44.15922,0.0,0.0,0.0,151.77623,-24.64096,3.1037707,-83.30298,2.230906,-21.343603,-34.092846,12.453259,25.274015
3470,-177.41234,42.133633,-11.899702,-3.8317862,87.38844,-0.5703343,148.52347,-39.349525,-37.2129,0.0,0.0,0.0,-120.58184,-39.13031,-34.088284,154.32697,-49.295483,-25.573936,-37.35137,-38.434586,-25.181437,130.07799,-43.094303,-44.296238,0.0,0.0,0.0,162.2825,-10.736609,52.46282,-85.61633,0.18025589,-24.194492,-35.991844,15.494224,24.97556
3506,-178.44685,39.951252,-11.865809,61.220757,57.172516,-14.527711,147.41069,-40.451267,-37.86593,0.0,0.0,0.0,-121.624504,-39.85382,-34.060997,155.62622,-50.83914,-22.226494,-37.905575,-39.367817,-25.852026,129.29655,-43.928,-43.469673,0.0,0.0,0.0,127.712555,-24.461866,-60.54531,-86.0823,-0.30630746,-24.373913,-37.460297,16.784851,24.252274
3546,-177.69453,37.82375,-11.362733,144.77667,7.3593926,79.72436,145.64838,-42.39351,-38.516365,0.0,0.0,0.0,-122.45361,-41.10153,-34.609165,151.14284,-52.50736,-24.667624,-38.810825,-40.66093,-27.366756,128.10631,-44.894196,-42.294277,0.0,0.0,0.0,163.59436,-7.0786448,59.63072,-86.778366,-1.0907208,-24.623589,-39.177685,17.610636,22.773071
3726,-161.5361,42.478664,-11.238415,-15.412458,-24.271322,10.52426,154.2074,-40.634132,-27.814852,0.0,0.0,0.0,-137.52339,-48.36085,-41.175823,143.46286,-44.833294,-42.11651,-49.34079,-49.32783,-39.049427,124.70944,-52.723705,-36.88116,0.0,0.0,0.0,177.66798,-6.3386717,69.63363,-89.3952,-3.8247705,-18.235582,-41.320007,16.381765,21.86972
3906,165.12152,62.730083,-15.857904,14.690116,32.323605,23.11955,144.907,-36.60675,-38.365643,0.0,0.0,0.0,-111.59537,-41.447247,-36.190342,147.85089,-45.93787,-35.93652,-35.765865,-41.07182,-28.840662,128.52817,-55.280857,-33.924652,0.0,0.0,0.0,171.3285,4.409299,75.09507,-88.82155,-2.4679909,-21.782085,-40.76488,15.641469,21.089027
5474,-173.23004,50.771965,11.134421,2.9566767,7.2472863,66.583405,152.66475,-35.391678,-35.961044,0.0,0.0,0.0,-118.36929,-41.786682,-42.93441,151.58125,-45.661537,-39.38346,-41.26353,-42.829605,-36.814114,132.30196,-49.553402,-40.207924,0.0,0.0,0.0,147.92317,-6.045088,-69.94662,-83.9464,-9.158615,-16.815449,-34.319115,24.966923,17.555885
5615,-169.7032,51.681175,9.762393,24.212265,-43.713303,44.509224,152.48361,-36.492344,-37.43433,0.0,0.0,0.0,-122.966194,-41.852016,-41.583702,149.68533,-38.35411,-51.114265,-42.559464,-42.503193,-34.274246,131.55365,-50.452885,-39.272064,0.0,0.0,0.0,156.17061,-13.765176,-64.81152,-79.865295,-5.42036,-20.9371,-26.419176,15.635218,22.349491
5654,-167.96216,52.02036,7.910805,20.033424,33.02114,-50.969666,152.47412,-37.2075,-38.478485,0.0,0.0,0.0,-126.56685,-41.571156,-40.46976,149.3558,-35.667423,-54.174377,-43.08806,-41.723633,-32.641376,131.31892,-50.442577,-39.355907,0.0,0.0,0.0,-172.96393,-13.227912,49.10637,-78.05431,-3.2035172,-23.035028,-22.96192,11.473952,23.375576
5974,-139.00128,51.24402,-32.6192,-114.01699,-25.051094,-18.170973,150.53285,-31.182152,-58.7753,0.0,0.0,0.0,-157.3278,-24.123022,-33.38178,-167.51138,-39.891205,-43.11299,-49.254395,-21.92386,-26.341734,123.582855,-35.55773,-47.69691,0.0,0.0,0.0,112.150665,-20.681437,-62.1542,-53.59739,15.71981,-31.904373,-2.415893,-1.8578287,23.667225
6912,-29.387018,15.28932,55.21218,-50.73376,81.715164,-8.234443,-111.93456,-38.87545,4.7939806,0.0,0.0,0.0,116.99511,-52.43143,-22.667664,-154.40692,-31.218788,58.57232,12.255869,-55.3223,-15.99279,-109.6809,-65.03473,-1.8415029,0.0,0.0,0.0,-155.16125,39.97637,-19.411352,-17.921822,-66.472755,-10.773962,178.39331,11.243411,32.158073
7051,23.764002,-51.118557,13.010315,1.0048904,-69.95645,1.6917064,-175.58395,-9.308217,55.519253,0.0,0.0,0.0,26.106575,-2.7060847,75.92764,-99.36137,36.962585,5.5671983,-46.901443,33.9961,51.57791,-121.398285,-51.913376,15.372873,0.0,0.0,0.0,-117.50344,-22.11505,18.148447,-132.89896,-29.90421,16.898832,44.59549,62.300774,-5.689044
7077,-64.492645,-71.89203,-17.934141,-37.29853,67.59439,19.603899,176.46426,4.923968,43.615288,0.0,0.0,0.0,-3.4784546,18.27902,69.31848,-103.53516,35.675617,0.058219425,-65.09853,50.197098,33.745495,-133.66948,-43.773907,38.008858,0.0,0.0,0.0,161.91562,-2.0439599,-86.272575,-115.19182,-45.654133,15.116415,37.441998,41.242756,-47.03907
7257,4.121295,-3.265721,84.55094,-7.59662,-72.01685,17.945963,-77.77885,62.52924,8.513298,0.0,0.0,0.0,179.45946,24.400852,-51.11655,-131.67558,26.68062,-35.933826,44.911686,34.572655,-46.94767,131.68698,-42.85481,38.978077,0.0,0.0,0.0,66.94948,64.00196,25.393606,-60.86944,38.384487,48.352127,-28.697294,-19.501936,-66.41114
7396,-12.623773,17.177147,23.81956,-104.81364,-19.623423,59.25936,-107.05282,73.13601,-16.74846,0.0,0.0,0.0,-148.89008,29.237497,-60.747036,-158.90569,14.350391,-44.41537,16.373219,17.649355,-71.82933,-128.88211,36.019722,0.63354754,0.0,0.0,0.0,53.628826,14.488138,-39.405174,-84.00261,40.60927,22.753853,-47.591663,-29.072796,-35.31704
7435,-9.143061,16.656649,-3.7828045,-78.5675,-13.822108,-42.152527,-112.25417,67.658585,-22.336151,0.0,0.0,0.0,-138.61314,28.189386,-61.090878,-162.45683,10.081228,-45.2262,10.237914,13.333773,-71.405914,-136.21944,31.097137,-11.688602,0.0,0.0,0.0,74.45591,47.769203,37.70492,-86.30611,41.37507,14.428303,-50.961697,-29.286394,-26.793133
7476,-5.2176495,19.850971,-26.081507,-42.001938,-45.534977,-32.813206,-120.03024,58.06987,-31.19773,0.0,0.0,0.0,-124.82735,24.654785,-61.49377,-169.15114,4.767227,-52.493557,4.29989,7.470919,-67.97575,-139.92915,29.669542,-19.930992,0.0,0.0,0.0,-170.15866,-17.834343,-60.86943,-88.75734,41.278465,6.295083,-53.30216,-26.501041,-23.198557
7514,-0.9224801,24.118252,-30.970505,50.233078,-75.45461,5.9520054,-127.81574,47.414318,-40.134377,0.0,0.0,0.0,-111.68678,20.776398,-60.76708,-173.37796,1.0217645,-57.558002,0.8902861,2.4371796,-65.713326,-142.8256,29.716679,-25.716547,0.0,0.0,0.0,-83.752235,-49.784206,1.4399433,-90.91814,40.90254,-1.7041341,-54.606945,-24.200613,-21.409985
7577,20.658205,40.086426,-35.599457,38.415386,60.80777,-29.191654,-137.72649,33.625168,-52.99474,0.0,0.0,0.0,-92.52905,13.56644,-63.90743,-178.26123,-3.2991855,-62.463486,-1.5751493,-2.2357717,-71.91388,-151.69286,25.81457,-42.649815,0.0,0.0,0.0,126.84525,-14.593197,-69.81499,-93.9471,39.07248,-7.5226164,-53.903988,-24.391731,-10.334978
7616,26.274723,43.89561,-29.932367,18.18998,-61.675365,28.106663,-141.02692,29.873724,-57.598877,0.0,0.0,0.0,-68.846504,8.966328,-69.56105,177.00842,-7.71163,-65.67205,-1.3416055,-2.1899703,-80.45617,-159.0302,20.665514,-53.858765,0.0,0.0,0.0,114.57771,-33.980698,-50.843277,-95.886345,36.02041,-11.6363735,-55.012375,-23.944357,-3.6610484
7654,28.211126,45.900963,-27.217632,29.829407,57.147892,-28.605242,-148.22844,26.613928,-62.465862,0.0,0.0,0.0,-48.459457,6.3906903,-75.97516,172.32693,-11.886334,-66.516205,-5.279991,-6.0392666,-78.62171,-166.48528,15.441919,-59.752224,0.0,0.0,0.0,-104.598854,-6.146296,71.578804,-97.91897,32.12477,-19.308086,-55.49902,-22.76013,-0.39897114
7732,37.386707,55.881374,-27.004173,-47.444927,-15.584359,38.734825,-164.95332,12.121568,-77.198265,0.0,0.0,0.0,-65.666306,-4.203614,-63.700035,164.01083,-19.855125,-62.763412,-8.817181,-13.464572,-59.54912,-175.69699,10.8680935,-57.965527,0.0,0.0,0.0,82.58183,-39.758957,-49.628788,-102.95417,26.059006,-27.456537,-55.015446,-21.570147,9.288557
7756,42.71647,59.100784,-25.917025,-32.737568,-62.83175,-23.729784,-167.02983,10.078269,-79.09668,0.0,0.0,0.0,-67.145,-5.5523357,-59.725792,162.30496,-21.521206,-61.41583,-8.853598,-14.4509945,-56.56467,-179.17279,10.15738,-54.71348,0.0,0.0,0.0,-71.95413,-46.984432,41.877872,-103.963,24.737759,-28.980371,-54.898273,-20.99888,11.614991
7796,46.037342,60.380936,-26.115526,-50.94997,-36.89538,4.7325644,-169.88547,6.9761906,-81.72431,0.0,0.0,0.0,-68.58117,-7.7393756,-55.542835,159.84119,-24.233442,-57.537647,-9.142551,-16.62335,-50.49085,175.96999,1.6648619,-62.69893,0.0,0.0,0.0,-93.78696,-22.537762,63.773987,-105.419846,22.068628,-32.86686,-54.72263,-19.360863,15.289846
7911,67.76741,61.98138,-27.698488,-78.14223,-21.832382,-22.447853,177.6202,-6.9802966,-79.63449,0.0,0.0,0.0,-73.809875,-17.310715,-43.919518,149.93561,-33.846928,-38.740524,-11.778143,-24.93906,-38.74798,171.35838,-5.917794,-77.053986,0.0,0.0,0.0,-118.2561,-41.508587,39.458385,-110.23283,15.267392,-41.973385,-55.149128,-12.587453,23.716208
7936,81.63412,60.88198,-26.044943,34.891544,21.663256,-21.01183,175.2885,-9.332524,-77.62892,0.0,0.0,0.0,-73.962555,-18.959307,-43.03796,148.74358,-36.373768,-34.780125,-12.713172,-26.485767,-38.33223,169.22878,-9.476126,-78.875824,0.0,0.0,0.0,-108.80956,-28.308142,61.46082,-110.80941,14.155216,-42.979965,-55.39784,-11.107387,24.816326
8092,163.14716,42.614098,-33.288498,-13.946328,56.69269,20.3427,156.07552,-22.703186,-67.10467,0.0,0.0,0.0,-70.16443,-31.577305,-43.837112,142.99539,-37.53867,-52.208523,-25.300901,-38.815723,-40.034603,157.73244,-22.601873,-67.36322,0.0,0.0,0.0,-150.65999,-40.77626,38.09627,-115.374626,5.211349,-41.573402,-60.834057,-0.6429025,24.886887
8131,156.75758,48.11893,-27.44517,19.671629,-26.452633,-61.295288,150.31757,-24.374084,-62.732693,0.0,0.0,0.0,-63.262753,-35.336227,-47.03311,144.95825,-36.05692,-53.100666,-36.662296,-43.840454,-42.743427,154.33081,-25.701782,-64.297966,0.0,0.0,0.0,-91.416115,-6.8997617,67.69792,-113.700066,2.7762723,-38.71539,-56.617107,-3.302073,33.09538
8155,131.8157,58.114056,-13.814859,-45.60711,33.432293,9.655387,147.5448,-23.800983,-60.10277,0.0,0.0,0.0,-56.710236,-37.044964,-49.078827,144.349,-36.80817,-52.320366,-43.017178,-47.0187,-41.795776,149.76607,-29.456095,-60.429626,0.0,0.0,0.0,96.49027,-43.43414,24.193022,-112.402596,1.331389,-38.217308,-56.416393,-5.5886993,37.473774
