millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
2474,-9.080678,3.621406,6.002663,-49.692745,-0.97018105,0.73438597,152.33855,35.864536,1.3057235,141.30981,-24.073568,1.0048269,90.8349,78.756355,8.956014,89.79156,82.05564,2.6723633,-86.47024,-34.47353,35.617153,-78.17264,-60.690968,6.5035043,-114.73749,-73.43926,4.7675586,-89.183266,-69.206924,2.509304
2495,-9.087558,3.6217551,6.002413,-49.76518,-1.0351312,0.7268101,152.31158,35.864822,1.3058608,141.26878,-24.022339,1.0061746,90.82792,78.75469,8.955669,89.78332,82.05956,2.6741464,-86.42062,-34.46968,35.622,-78.1838,-60.692062,6.506071,-114.739174,-73.43414,4.7706146,-89.14709,-69.20777,2.5038211
2516,-9.087558,3.6217551,6.002413,-49.90503,-1.0939188,0.7326395,152.28882,35.8607,1.3070022,141.24156,-23.98649,1.0094782,90.820885,78.754944,8.956781,89.76583,82.0577,2.6703286,-86.386665,-34.46952,35.62049,-78.19216,-60.692192,6.500569,-114.732315,-73.43846,4.7654605,-89.1196,-69.20821,2.5039613
2539,-9.087627,3.622276,6.009371,-49.977066,-1.0397354,0.7160418,152.2536,35.860657,1.305015,141.22614,-23.981121,1.003588,90.81387,78.753296,8.956439,89.74825,82.05901,2.6693964,-86.324135,-34.470085,35.613102,-78.20421,-60.68601,6.5033937,-114.72188,-73.43892,4.7666345,-89.08331,-69.21302,2.502142
2558,-9.094439,3.622104,6.0021625,-50.04911,-0.88757145,0.6613444,152.228,35.863075,1.3047929,141.19228,-23.992579,0.9991511,90.802826,78.753876,8.956734,89.7451,82.05557,2.67269,-86.273926,-34.469406,35.61671,-78.215004,-60.682396,6.5032535,-114.71143,-73.439354,4.767809,-89.05569,-69.21348,2.5022755
2580,-9.094439,3.622104,6.0021625,-50.112705,-0.6451657,0.6181685,152.20241,35.865482,1.3045698,141.14497,-23.946514,1.0325304,90.79579,78.75222,8.956393,89.72733,82.056885,2.6717556,-86.22554,-34.469604,35.612263,-78.22579,-60.678783,6.5031133,-114.71569,-73.43391,4.765613,-89.024254,-69.20715,2.5041783
2602,-9.094439,3.622104,6.0021625,-50.160408,-0.36526766,0.57250893,152.17003,35.85891,1.3039497,141.04147,-23.845835,1.1500492,90.78874,78.75056,8.956052,89.70947,82.0582,2.6708236,-86.1752,-34.46892,35.615875,-78.24557,-60.686108,6.502328,-114.713135,-73.434235,4.770864,-88.99641,-69.2106,2.5013664
2621,-9.094506,3.622625,6.009121,-50.20419,-0.09250099,0.56080365,152.15773,35.85385,1.3007091,140.96672,-23.67981,1.3021953,90.7928,78.75668,8.954114,89.700714,82.062126,2.6725821,-86.14099,-34.468758,35.61437,-78.25757,-60.679924,6.505145,-114.703705,-73.4389,4.770962,-88.95984,-69.20841,2.4988334
2642,-9.094439,3.622104,6.0021625,-50.28326,0.122613885,0.6068715,152.12819,35.840744,1.3014661,140.91777,-23.493025,1.4210292,90.78571,78.756935,8.955224,89.68264,82.060234,2.6687794,-86.092415,-34.4729,35.61217,-78.26833,-60.67632,6.505003,-114.69584,-73.43901,4.7668843,-88.936806,-69.20772,2.5004618
2663,-9.101319,3.6224527,6.0019116,-50.45301,0.2802702,0.72614837,152.10341,35.83976,1.2950964,140.89107,-23.304258,1.520015,90.778534,78.75074,8.95909,89.66982,82.057365,2.6722527,-86.058014,-34.480614,35.61517,-78.2791,-60.672707,6.5048575,-114.69753,-73.43389,4.7699413,-88.90887,-69.212166,2.5042427
2685,-9.101319,3.6224527,6.0019116,-50.6179,0.53438336,0.88453233,152.08067,35.835636,1.2962483,140.85764,-23.16065,1.5961555,90.771416,78.751,8.9602,89.66081,82.05433,2.6748958,-86.007965,-34.476776,35.620018,-78.29882,-60.680027,6.5040765,-114.6881,-73.43855,4.770039,-88.872086,-69.20998,2.5017154
2759,-9.1078205,3.6158397,6.0022297,-50.244038,5.8308463,2.4886649,151.34258,35.786816,1.2803081,144.3613,-13.5950365,0.044365518,90.61272,78.76428,8.947598,89.2681,82.05822,2.6735363,-85.82332,-34.475456,35.621273,-78.66811,-60.683548,6.504521,-114.51937,-73.438446,4.765361,-88.02114,-69.20152,2.5004919
2782,-9.108198,3.6228015,6.001662,-49.759636,7.697768,3.0264003,151.31384,35.781048,1.2728741,144.458,-13.656006,-0.2778775,90.6053,78.76261,8.947272,89.25648,82.06223,2.675169,-85.77638,-34.480453,35.61102,-78.68969,-60.68241,6.5063863,-114.523575,-73.43298,4.7631817,-87.98686,-69.19524,2.5025556
2841,-9.170338,3.5988677,6.009,-47.692024,12.334983,10.956318,151.23076,35.793972,1.2776622,145.07042,-13.334916,-1.2673581,90.59436,78.76735,8.946066,89.211464,82.06497,2.671954,-84.46612,-34.479504,35.57488,-78.72793,-60.690968,6.5027146,-114.508064,-73.432625,4.762263,-87.90032,-69.1984,2.501452
