A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
-1.5825632,0.08253631,0.0941907,0.10595265,0.045232482,0.4375534,1.5753814,-0.21443887,0.36505848,-1.472141,-0.22103932,1.3223671,0.1612804,0.080538765,1.3984718,-0.17185622,-1.3082736,0.2537302,-0.48824498,0.56167793,0.77018833,-0.21290375,-0.15128401,0.19673024,-0.8537867,0.46522045,0.11742988,0.38314933,-0.7238473,0.80032986
-1.5825171,0.08278082,0.09460296,0.105998375,0.045220535,0.43748137,1.5753815,-0.21443345,0.36508983,-1.4721427,-0.22103553,1.3223636,-0.86938083,0.006592684,0.042626966,-0.20356697,-1.3202962,0.23669344,-0.48825777,0.5616863,0.7701654,-0.21288227,-0.15127282,0.19679308,-0.8535503,0.46524554,0.117428,0.3831484,-0.723858,0.8003217
-1.5825454,0.082697526,0.09447702,0.10575702,0.045289528,0.43770987,1.5753814,-0.21443887,0.36505848,-1.4721427,-0.22103553,1.3223636,-0.8609671,-0.69876283,0.8439816,-0.18744072,-1.3198372,0.23953095,-0.4882553,0.56166846,0.7701688,-0.21288726,-0.15123416,0.19672838,-0.8535503,0.46524554,0.117428,0.3831484,-0.723858,0.8003217
-1.5825547,0.08266938,0.09443437,0.105770305,0.045312077,0.4377196,1.5753815,-0.21443345,0.36508983,-1.4721675,-0.22102101,1.3223783,-0.8623114,-0.7009649,0.84130496,-0.18626958,-1.319861,0.23991653,-0.4882553,0.56166846,0.7701688,-0.21288584,-0.1512663,0.1967349,-0.8535503,0.46524554,0.117428,0.3831484,-0.723858,0.8003217
-1.5825737,0.08263743,0.09424637,0.10572178,0.045328267,0.43774244,1.5753404,-0.2144325,0.36506143,-1.4721442,-0.22103176,1.3223603,-0.8743351,-0.6978789,0.83710974,-0.17472126,-1.3121651,0.2461411,-0.48824933,0.56165314,0.7701838,-0.21291375,-0.15121497,0.19666275,-0.85278505,0.46525058,0.117412426,0.3831484,-0.723858,0.8003217
-1.5824888,0.0829094,0.09451753,0.10581933,0.04526687,0.43768045,1.5753404,-0.21446747,0.3650552,-1.4721316,-0.22099553,1.3224016,-0.8734077,0.026032573,0.03927458,-0.2035287,-1.3197132,0.24514502,-0.48825777,0.5616863,0.7701654,-0.21286169,-0.15130122,0.19683008,-0.85254854,0.46527565,0.117410526,0.38312635,-0.72386146,0.800335
-1.5825275,0.082896665,0.0945875,0.10576842,0.045250423,0.43770963,1.5753404,-0.21446203,0.36508653,-1.4721301,-0.22099875,1.3223978,-0.87099785,0.01587724,0.068991795,-0.21666718,-1.326386,0.2404824,-0.4882565,0.5616774,0.7701671,-0.21290557,-0.15119827,0.1967237,-0.85316783,0.4652481,0.11742021,0.38315418,-0.7238831,0.8002994
-1.5825819,0.08248851,0.09407183,0.10563656,0.04537942,0.43782708,1.5753815,-0.21443345,0.36508983,-1.4721386,-0.22101174,1.3223794,-0.87649226,-0.70074165,0.8312756,-0.15464969,-1.3061032,0.2538297,-0.48825407,0.56165963,0.7701705,-0.2129174,-0.15121669,0.19666646,-0.85267144,0.46525615,0.11744729,0.38315418,-0.7238831,0.8002994
-1.5826488,0.08239245,0.094015844,0.10588503,0.045218848,0.43761194,1.5753814,-0.21439606,0.36508992,-1.4721153,-0.22102354,1.3223759,0.16739038,0.08432552,1.3924642,-0.14121117,-1.306826,0.24610853,-0.48824003,0.56164247,0.7701951,-0.21287169,-0.15123215,0.19676262,-0.8522023,0.46524888,0.11747019,0.38314685,-0.72394526,0.8002617
-1.582705,0.08223431,0.093730286,0.1059441,0.045233365,0.43751374,1.5753814,-0.21443102,0.36508366,-1.4721082,-0.22100681,1.322391,0.16362135,0.08612867,1.3946481,-0.1392011,-1.3063663,0.24530908,-0.48825306,0.5616798,0.7701787,-0.21293582,-0.15116268,0.1966811,-0.8522023,0.46524888,0.11747019,0.38314685,-0.72394526,0.8002617
