A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.7984619,0.14685059,-0.11340332,0.5727539,-0.416687,-0.09674072,-0.055480957,0.90216064,-0.6773071,0.08856201,-0.71972656,0.12463379,0.00982666,0.5617676,0.23553467,-0.79296875,-0.4885254,0.039123535,-0.8661499,-0.09851074,0.4227295,-0.6107178,0.59710693,0.30291748,-0.53674316,-0.28167725,-0.789978,0.09295654,0.04425049,-0.87060547,0.040405273,0.4883423,-0.25689697,-0.7454834,-0.16101074,0.5936279,-0.37902832,0.10656738,-0.31463623,-1.2122803,-0.5933838,0.20599365,0.31274414,-0.7125244,0.829834,0.5281372,0.009765625,0.17956543
-0.8886719,0.19012451,-0.004272461,0.41723633,-0.5845337,-0.029418945,-0.035888672,0.8100586,-0.8050537,0.24822998,-0.532959,-0.07928467,0.24963379,0.43463135,0.28363037,-0.8175049,-0.4868164,0.25531006,-0.8190918,-0.16430664,0.3883667,-0.7017822,0.4163208,0.4281006,-0.53552246,0.018310547,-0.8411865,0.07354736,-0.0501709,-0.83447266,-0.17077637,0.5215454,-0.35491943,-0.7484741,-0.33966064,0.44555664,-0.16674805,-0.87109375,-0.16595459,0.43121338,-0.45025635,0.115112305,0.30621338,-0.8308716,0.78826904,0.4675293,0.103881836,0.38623047
-0.8887329,0.19000244,-0.0044555664,0.4171753,-0.5845337,-0.029663086,-0.036010742,0.8100586,-0.80926514,0.2571411,-0.5203247,-0.09112549,0.26324463,0.42462158,0.27734375,-0.8206177,-0.4864502,0.25579834,-0.81915283,-0.16455078,0.38842773,-0.701416,0.41314697,0.4317627,-0.5319824,0.037353516,-0.8424072,0.07763672,-0.050720215,-0.8345337,-0.17102051,0.52130127,-0.35650635,-0.75372314,-0.3439331,0.4319458,-0.16729736,-0.8699341,-0.16796875,0.43255615,-0.4407959,-0.4216919,-0.939209,1.7364502,0.7878418,0.4664917,0.103881836,0.3883667
-0.88897705,0.18981934,-0.0048217773,0.41674805,-0.5848999,-0.030090332,-0.036499023,0.8097534,-0.81347656,0.28125,-0.4963379,-0.113342285,0.29412842,0.40368652,0.27062988,-0.822937,-0.4859619,0.25805664,-0.81866455,-0.16467285,0.39239502,-0.69958496,0.40100098,0.44244385,-0.5223999,0.07556152,-0.84558105,0.080566406,-0.051513672,-0.8345337,-0.1720581,0.520874,-0.36108398,-0.7628784,-0.35412598,0.40289307,-0.16882324,-0.8666382,-0.17333984,0.43640137,-0.3982544,0.017333984,0.26062012,-0.8793335,0.78723145,0.46228027,0.10247803,0.39489746
-0.88916016,0.18988037,-0.004699707,0.4163208,-0.5852661,-0.030151367,-0.036743164,0.80944824,-0.81292725,0.29632568,-0.48602295,-0.12322998,0.31036377,0.39215088,0.2705078,-0.82263184,-0.4862671,0.26037598,-0.81799316,-0.16357422,0.39678955,-0.6984253,0.3909912,0.44921875,-0.51708984,0.093811035,-0.84716797,0.078430176,-0.051879883,-0.8339844,-0.17315674,0.5213623,-0.36480713,-0.76641846,-0.359375,0.38781738,-0.16900635,-0.86395264,-0.17736816,0.44006348,-0.3949585,0.010559082,0.26220703,-0.8804321,0.78656006,0.45941162,0.1015625,0.39978027
-0.88946533,0.18988037,-0.0044555664,0.41571045,-0.5857544,-0.030273438,-0.036865234,0.80908203,-0.81036377,0.31298828,-0.47766113,-0.13146973,0.32659912,0.37939453,0.2722168,-0.8217163,-0.4873047,0.2631836,-0.8165283,-0.16314697,0.4020996,-0.6973877,0.37890625,0.45648193,-0.51708984,0.10827637,-0.8461304,0.07122803,-0.05255127,-0.83325195,-0.17474365,0.52197266,-0.36987305,-0.76904297,-0.364563,0.37261963,-0.16772461,-0.86047363,-0.18365479,0.44470215,-0.39178467,0.0040893555,0.2658081,-0.8808594,0.78656006,0.45410156,0.1005249,0.4060669
-0.8897705,0.18988037,-0.004211426,0.41503906,-0.58636475,-0.030212402,-0.037109375,0.80859375,-0.805603,0.33087158,-0.47149658,-0.13903809,0.3421631,0.3657837,0.27618408,-0.82025146,-0.48937988,0.26678467,-0.81414795,-0.16296387,0.40777588,-0.696167,0.36517334,0.4644165,-0.51135254,0.12512207,-0.84783936,0.064208984,-0.052978516,-0.83154297,-0.17681885,0.5239868,-0.37628174,-0.770813,-0.369812,0.3571167,-0.16485596,-0.85595703,-0.19262695,0.4506836,-0.38861084,-0.0024414062,0.2703247,-0.8808594,0.78704834,0.44622803,0.099853516,0.41394043
-0.89001465,0.19024658,-0.0037231445,0.41430664,-0.58721924,-0.02960205,-0.03704834,0.80804443,-0.7999878,0.34936523,-0.46569824,-0.14544678,0.3567505,0.3513794,0.2824707,-0.81817627,-0.4920044,0.27252197,-0.8109131,-0.16168213,0.41308594,-0.6947632,0.35009766,0.47332764,-0.50494385,0.14154053,-0.8496704,0.056396484,-0.053771973,-0.8291626,-0.17938232,0.5267334,-0.38378906,-0.7713623,-0.3753662,0.34191895,-0.16113281,-0.8503418,-0.20385742,0.4576416,-0.3857422,-0.008850098,0.2755127,-0.88049316,0.7876587,0.43621826,0.09899902,0.42352295
-0.89056396,0.19042969,-0.0025634766,0.41308594,-0.58862305,-0.0289917,-0.03656006,0.8070679,-0.7937012,0.368042,-0.46032715,-0.15075684,0.36932373,0.33703613,0.2913208,-0.81555176,-0.49542236,0.28045654,-0.8064575,-0.15985107,0.41687012,-0.6953125,0.3343506,0.48059082,-0.49719238,0.15618896,-0.85217285,0.047729492,-0.05432129,-0.82647705,-0.18249512,0.5298462,-0.39190674,-0.77075195,-0.3809204,0.32763672,-0.15753174,-0.8441162,-0.21606445,0.46472168,-0.38287354,-0.014709473,0.2814331,-0.8798218,0.788208,0.42523193,0.09832764,0.43371582
-0.89123535,0.19055176,-4.272461E-4,0.4116211,-0.59039307,-0.027526855,-0.034851074,0.8059082,-0.7875366,0.3862915,-0.45440674,-0.15527344,0.37994385,0.32336426,0.30230713,-0.8121948,-0.4991455,0.29101562,-0.80114746,-0.15637207,0.42004395,-0.696228,0.3173828,0.48791504,-0.48883057,0.16937256,-0.85491943,0.038635254,-0.053710938,-0.82244873,-0.18743896,0.5344238,-0.40081787,-0.76904297,-0.38659668,0.31396484,-0.15386963,-0.8378296,-0.22912598,0.47106934,-0.380188,-0.020385742,0.28851318,-0.87854004,0.788208,0.4144287,0.09832764,0.4440918
-0.8920288,0.19067383,0.0033569336,0.40985107,-0.59265137,-0.02557373,-0.032226562,0.8043823,-0.7807007,0.40393066,-0.44989014,-0.15808105,0.3890381,0.30999756,0.31549072,-0.80804443,-0.5025635,0.30358887,-0.795166,-0.15179443,0.4222412,-0.69866943,0.2999878,0.49346924,-0.47991943,0.18109131,-0.8579712,0.028442383,-0.051879883,-0.8171387,-0.19464111,0.5401001,-0.41119385,-0.7653198,-0.3930664,0.3013916,-0.15045166,-0.8314209,-0.24291992,0.4765625,-0.37786865,-0.025939941,0.2965088,-0.87677,0.7874756,0.4041748,0.099609375,0.45440674
-0.89312744,0.1906128,0.0076293945,0.40734863,-0.5953369,-0.0234375,-0.029174805,0.8026123,-0.77337646,0.42053223,-0.44683838,-0.15930176,0.39660645,0.2970581,0.32958984,-0.80358887,-0.50598145,0.317688,-0.7883301,-0.1472168,0.42407227,-0.701355,0.28167725,0.49890137,-0.4708252,0.19171143,-0.8609619,0.018493652,-0.049072266,-0.81048584,-0.2043457,0.54681396,-0.4225464,-0.760437,-0.39886475,0.29003906,-0.14691162,-0.82525635,-0.25769043,0.48065186,-0.37609863,-0.031066895,0.3048706,-0.8744507,0.78619385,0.39422607,0.10229492,0.4645996
-0.89404297,0.19158936,0.0134887695,0.40472412,-0.59869385,-0.018981934,-0.02508545,0.800354,-0.7657471,0.43621826,-0.44476318,-0.15991211,0.40374756,0.28393555,0.34387207,-0.7988281,-0.5093384,0.3330078,-0.7805786,-0.14312744,0.42456055,-0.7053833,0.26361084,0.5026245,-0.46142578,0.20025635,-0.8642578,0.007873535,-0.046020508,-0.80340576,-0.21533203,0.5532837,-0.4348755,-0.7546387,-0.40368652,0.28027344,-0.14355469,-0.81903076,-0.2734375,0.48358154,-0.37451172,-0.03552246,0.31311035,-0.8720703,0.78466797,0.3840332,0.10601807,0.47479248
-0.89385986,0.19799805,0.022766113,0.40161133,-0.604126,-0.00579834,-0.01574707,0.7966919,-0.7581177,0.45166016,-0.44213867,-0.16064453,0.40930176,0.2711792,0.35839844,-0.79400635,-0.5100708,0.34899902,-0.7735596,-0.14013672,0.42401123,-0.710083,0.2453003,0.50579834,-0.45184326,0.20690918,-0.86779785,-0.0032958984,-0.043273926,-0.7955322,-0.22753906,0.5599365,-0.44763184,-0.7479248,-0.40808105,0.2715454,-0.14050293,-0.81292725,-0.28997803,0.48516846,-0.3731079,-0.03918457,0.32141113,-0.86950684,0.7831421,0.3734131,0.11053467,0.48468018
-0.89312744,0.20739746,0.035705566,0.39752197,-0.6101074,0.005065918,-0.008239746,0.7922363,-0.7506714,0.46643066,-0.43981934,-0.16003418,0.413208,0.25915527,0.3734131,-0.7890625,-0.51031494,0.3659668,-0.7659912,-0.13763428,0.42181396,-0.71569824,0.22747803,0.50805664,-0.4414673,0.21264648,-0.87164307,-0.015136719,-0.041137695,-0.7872925,-0.24060059,0.5661621,-0.46069336,-0.7406006,-0.4119873,0.26385498,-0.1373291,-0.8074951,-0.30651855,0.48498535,-0.37182617,-0.04248047,0.3302002,-0.86657715,0.7813721,0.36315918,0.11602783,0.49401855
-0.8930054,0.21539307,0.050476074,0.39196777,-0.6173096,0.018432617,0.0022583008,0.786499,-0.74328613,0.48028564,-0.43798828,-0.15844727,0.41552734,0.24841309,0.38848877,-0.7839966,-0.5083618,0.3829956,-0.75927734,-0.13574219,0.41845703,-0.72180176,0.20996094,0.5097046,-0.43096924,0.2177124,-0.8753662,-0.025756836,-0.03967285,-0.77856445,-0.25457764,0.5722656,-0.4736328,-0.73327637,-0.41455078,0.25738525,-0.13519287,-0.80236816,-0.32250977,0.48364258,-0.37072754,-0.045654297,0.33966064,-0.8632202,0.77905273,0.3536377,0.12261963,0.50286865
-0.89312744,0.22290039,0.066101074,0.3850708,-0.6251831,0.030151367,0.011657715,0.77978516,-0.73516846,0.49328613,-0.4378662,-0.1564331,0.41693115,0.2387085,0.40283203,-0.7789917,-0.5054321,0.40008545,-0.7525635,-0.13470459,0.41326904,-0.729126,0.19354248,0.51000977,-0.42089844,0.22131348,-0.8790283,-0.0357666,-0.038391113,-0.7703247,-0.26965332,0.5765381,-0.4869995,-0.72546387,-0.41589355,0.2524414,-0.13452148,-0.7974243,-0.33947754,0.48046875,-0.36968994,-0.047973633,0.34985352,-0.85943604,0.77630615,0.34503174,0.1303711,0.51104736
-0.8936157,0.23022461,0.080444336,0.37677002,-0.63378906,0.043884277,0.021728516,0.77197266,-0.72650146,0.50567627,-0.43902588,-0.15423584,0.41723633,0.22918701,0.4165039,-0.77453613,-0.50115967,0.414917,-0.74713135,-0.13623047,0.4074707,-0.7367554,0.17755127,0.5095215,-0.41137695,0.2230835,-0.88256836,-0.045837402,-0.03765869,-0.7623291,-0.28588867,0.57940674,-0.50097656,-0.7172241,-0.41619873,0.24798584,-0.13409424,-0.7932739,-0.35614014,0.4753418,-0.36901855,-0.04937744,0.36029053,-0.8553467,0.7729492,0.3375244,0.13970947,0.5186157
-0.8946533,0.23712158,0.093322754,0.3670044,-0.6428833,0.053771973,0.02709961,0.7635498,-0.71746826,0.5175781,-0.44085693,-0.15167236,0.41625977,0.22009277,0.42944336,-0.7706299,-0.49499512,0.4317627,-0.74157715,-0.13677979,0.40142822,-0.74468994,0.1628418,0.5076904,-0.40197754,0.22338867,-0.88623047,-0.05657959,-0.03778076,-0.7550049,-0.30291748,0.5803833,-0.51452637,-0.70947266,-0.41571045,0.2432251,-0.13391113,-0.7902832,-0.3720703,0.4680786,-0.3684082,-0.049560547,0.3710327,-0.8510132,0.76934814,0.33099365,0.1505127,0.5251465
-0.895813,0.24456787,0.105529785,0.3557129,-0.65283203,0.066467285,0.032714844,0.7538452,-0.7081299,0.52923584,-0.44329834,-0.14837646,0.4138794,0.2121582,0.44244385,-0.76678467,-0.48773193,0.44812012,-0.7363281,-0.1385498,0.39569092,-0.7526245,0.14923096,0.5046387,-0.3927002,0.22229004,-0.8898926,-0.06756592,-0.04046631,-0.7496948,-0.31811523,0.57891846,-0.5272827,-0.70233154,-0.4140625,0.23937988,-0.13452148,-0.7880249,-0.38739014,0.45922852,-0.36779785,-0.049621582,0.38250732,-0.8461304,0.76556396,0.32513428,0.16210938,0.53082275
-0.89715576,0.25213623,0.117370605,0.34313965,-0.663208,0.07733154,0.036071777,0.7435303,-0.6980591,0.54052734,-0.4468994,-0.14440918,0.41064453,0.20581055,0.4553833,-0.7626343,-0.4796753,0.46374512,-0.7313843,-0.14154053,0.3899536,-0.7616577,0.13775635,0.4987793,-0.38378906,0.22033691,-0.89331055,-0.07891846,-0.0423584,-0.7439575,-0.3352661,0.57647705,-0.53948975,-0.69525146,-0.41137695,0.23742676,-0.13513184,-0.78619385,-0.40203857,0.4494629,-0.36724854,-0.050048828,0.39489746,-0.8406372,0.7616577,0.3201294,0.17425537,0.5355835
