A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.786499,0.5421753,-0.0078125,0.29559326,-0.09655762,-0.02758789,0.48028564,-0.8713989,-0.5019531,0.838562,-0.124938965,-0.17089844,0.17114258,-0.2956543,-0.48327637,0.8060303,-0.061462402,0.57873535,-0.8064575,0.10449219,0.2915039,-0.71209717,-0.40405273,0.49468994,-0.09057617,0.5372925,-0.838501,0.010253906,0.17175293,-0.64642334,-0.6862793,0.2859497,0.0,0.0,0.0,0.0,0.04675293,0.64764404,0.6849365,-0.33044434,-0.69091797,0.1295166,0.33868408,-0.6254883,0.92297363,0.3522339,0.14105225,0.06365967
-0.9281616,0.18896484,0.17901611,0.26605225,-0.0022583008,-0.099731445,0.11816406,-0.9879761,-0.54022217,0.71032715,-0.18780518,-0.41027832,0.11853027,-0.37402344,-0.3937378,0.8312378,-0.39337158,0.6532593,-0.60162354,-0.237854,-0.05340576,-0.60736084,-0.38568115,0.6925049,-0.29180908,0.5787964,-0.73413086,-0.20214844,-0.1850586,-0.5769043,-0.6600952,0.44415283,-0.3366089,0.26861572,-0.88604736,-0.171875,0.10229492,0.62854004,0.70770264,-0.30596924,-0.6442261,0.09655762,0.31811523,-0.6888428,0.86712646,0.3110962,0.07531738,0.38153076
-0.93188477,0.17370605,0.1906128,0.255188,0.011169434,-0.105529785,0.103759766,-0.98895264,-0.5339966,0.7038574,-0.18109131,-0.43206787,0.10491943,-0.37664795,-0.3925171,0.8324585,-0.39990234,0.6585083,-0.58843994,-0.24542236,-0.061645508,-0.6026001,-0.3895874,0.6937866,-0.3024292,0.5878906,-0.7189331,-0.21466064,-0.19958496,-0.56414795,-0.66174316,0.4517212,-0.3371582,0.27801514,-0.8829956,-0.17156982,0.11859131,0.6217041,0.71118164,-0.3059082,-0.63500977,0.09082031,0.31433105,-0.6998291,0.86346436,0.30999756,0.07501221,0.39056396
-0.9347534,0.1593628,0.20300293,0.24420166,0.02355957,-0.11206055,0.08911133,-0.9894409,-0.5284424,0.6965332,-0.17315674,-0.45343018,0.0892334,-0.37854004,-0.3895874,0.83483887,-0.40563965,0.6633301,-0.5760498,-0.25238037,-0.06933594,-0.59765625,-0.39300537,0.69537354,-0.31311035,0.5968628,-0.7033081,-0.22601318,-0.21221924,-0.55200195,-0.6633301,0.45861816,-0.33758545,0.28735352,-0.8798218,-0.17156982,0.13665771,0.6138916,0.71417236,-0.30706787,-0.6259155,0.08557129,0.31103516,-0.710083,0.8598633,0.30859375,0.074523926,0.3996582
-0.9371338,0.1463623,0.2144165,0.2331543,0.03564453,-0.119384766,0.075805664,-0.98931885,-0.52319336,0.6894531,-0.1651001,-0.47302246,0.071777344,-0.38104248,-0.38568115,0.83721924,-0.41088867,0.6678467,-0.56427,-0.2584839,-0.07672119,-0.59228516,-0.39611816,0.6973877,-0.3232422,0.6057129,-0.68774414,-0.23590088,-0.2244873,-0.539978,-0.6647949,0.4649048,-0.33831787,0.29656982,-0.87646484,-0.17175293,0.15582275,0.6052246,0.717041,-0.3086548,-0.6173706,0.07989502,0.30767822,-0.7196655,0.8560791,0.30749512,0.07397461,0.40863037
-0.93927,0.13458252,0.22387695,0.22265625,0.047607422,-0.12585449,0.06359863,-0.9888916,-0.51849365,0.68218994,-0.15673828,-0.4911499,0.052612305,-0.38372803,-0.38061523,0.83966064,-0.41552734,0.6722412,-0.5529785,-0.26385498,-0.083984375,-0.586792,-0.3991089,0.6995239,-0.3328247,0.614563,-0.6724243,-0.24383545,-0.23602295,-0.5282593,-0.66625977,0.47052002,-0.33935547,0.3057251,-0.87286377,-0.17199707,0.17510986,0.59539795,0.7197876,-0.31085205,-0.60931396,0.07409668,0.30419922,-0.7285156,0.8521118,0.30670166,0.07354736,0.41748047
-0.94091797,0.12402344,0.23217773,0.2130127,0.059020996,-0.13079834,0.05218506,-0.98828125,-0.51501465,0.6744995,-0.14776611,-0.5079346,0.032104492,-0.3861084,-0.37506104,0.8421631,-0.4194336,0.6765137,-0.5425415,-0.2685547,-0.09161377,-0.581604,-0.40179443,0.701355,-0.34210205,0.6231079,-0.6574707,-0.25,-0.2467041,-0.517395,-0.6677246,0.4749756,-0.3406372,0.3149414,-0.8688965,-0.17272949,0.19403076,0.58496094,0.722229,-0.3137207,-0.60150146,0.068725586,0.30090332,-0.73687744,0.8480835,0.30596924,0.07299805,0.42626953
-0.9421387,0.11468506,0.24023438,0.20397949,0.06976318,-0.13513184,0.041809082,-0.9874878,-0.51226807,0.666687,-0.13848877,-0.5234375,0.0107421875,-0.38684082,-0.368042,0.845459,-0.42279053,0.68048096,-0.5326538,-0.2730713,-0.099487305,-0.57666016,-0.4043579,0.7029419,-0.35040283,0.6312256,-0.6430664,-0.2555542,-0.25634766,-0.5073242,-0.6690674,0.4788208,-0.34222412,0.3241577,-0.864624,-0.17388916,0.2121582,0.5742798,0.7243042,-0.3170166,-0.59368896,0.06414795,0.2979126,-0.744812,0.8438721,0.305542,0.07244873,0.43493652
-0.94311523,0.10595703,0.24713135,0.19561768,0.079833984,-0.13946533,0.032287598,-0.98651123,-0.50909424,0.65960693,-0.12957764,-0.53759766,-0.010375977,-0.38623047,-0.36065674,0.84887695,-0.42510986,0.68408203,-0.5236206,-0.277771,-0.10772705,-0.5718384,-0.40679932,0.70422363,-0.3574829,0.63879395,-0.6293335,-0.26098633,-0.26519775,-0.4975586,-0.6705322,0.4822998,-0.34405518,0.33355713,-0.8601074,-0.17504883,0.2296753,0.56311035,0.72631836,-0.32019043,-0.5862427,0.06060791,0.2958374,-0.75177,0.83947754,0.305542,0.07183838,0.44354248
-0.94610596,0.08569336,0.2600708,0.1730957,0.107055664,-0.15075684,0.0078125,-0.98272705,-0.49816895,0.6411743,-0.10510254,-0.57421875,-0.33807373,-0.31420898,-0.30889893,0.831604,-0.42712402,0.69451904,-0.4987793,-0.2939453,-0.1350708,-0.55804443,-0.4136963,0.70654297,-0.37438965,0.65802,-0.5925293,-0.2753296,-0.28753662,-0.47070312,-0.67523193,0.4897461,-0.3499756,0.36315918,-0.84484863,-0.17877197,0.27459717,0.52893066,0.73168945,-0.3307495,-0.56427,0.051757812,0.29101562,-0.770874,0.82580566,0.30456543,0.06951904,0.4694214
