A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.80737305,0.5549927,-0.051574707,0.19360352,-0.010986328,0.019226074,0.5055542,-0.8625488,-0.44360352,0.8798828,-0.12902832,-0.111083984,0.20947266,-0.28234863,-0.6350708,0.6878052,-0.044433594,0.6071167,-0.79089355,0.062194824,0.3114624,-0.7301636,-0.5192871,0.31671143,-0.03149414,0.5402832,-0.8405762,0.023620605,0.140625,-0.60028076,-0.74835205,0.24481201,-0.030273438,-0.18939209,-0.9326782,-0.305542,-0.14312744,0.5783081,0.7607422,-0.2574463,-0.79644775,0.19726562,0.3529663,-0.449646,0.89038086,0.34655762,0.28894043,-0.059692383
-0.80718994,0.5551758,-0.051757812,0.19384766,-0.011108398,0.019470215,0.50579834,-0.8623657,-0.4453125,0.87854004,-0.13049316,-0.113342285,0.20800781,-0.28338623,-0.63183594,0.6907959,-0.044189453,0.60705566,-0.7910156,0.06225586,0.30999756,-0.73101807,-0.51782227,0.3184204,-0.03656006,0.539917,-0.8406372,0.021728516,0.14074707,-0.60028076,-0.74835205,0.24468994,-0.034301758,-0.18804932,-0.93359375,-0.30322266,-0.13763428,0.5795288,0.7597046,-0.26068115,-0.79663086,0.19708252,0.35284424,-0.44958496,0.89160156,0.34692383,0.28497314,-0.057556152
-0.80700684,0.55529785,-0.05218506,0.19403076,-0.011352539,0.01940918,0.5059204,-0.8623047,-0.44812012,0.8765259,-0.13201904,-0.11608887,0.20635986,-0.28460693,-0.62786865,0.694397,-0.044006348,0.6069336,-0.79107666,0.062316895,0.3083496,-0.7319336,-0.5161133,0.32073975,-0.0423584,0.53967285,-0.8405762,0.019836426,0.14086914,-0.6003418,-0.74835205,0.24456787,-0.03894043,-0.1862793,-0.9346924,-0.30047607,-0.13134766,0.58044434,0.7584839,-0.2654419,-0.7966919,0.19702148,0.35266113,-0.44958496,0.89331055,0.3466797,0.28063965,-0.0546875
-0.80688477,0.5554199,-0.05255127,0.19415283,-0.01171875,0.019714355,0.5061035,-0.8621826,-0.45147705,0.8740845,-0.13378906,-0.1194458,0.20391846,-0.28552246,-0.6231079,0.69903564,-0.043884277,0.6068115,-0.79119873,0.06237793,0.30682373,-0.7324219,-0.5142212,0.3241577,-0.049072266,0.539917,-0.8401489,0.01763916,0.14093018,-0.60040283,-0.748291,0.2444458,-0.043945312,-0.18341064,-0.9359131,-0.29760742,-0.12408447,0.5810547,0.7573242,-0.270813,-0.7967529,0.19702148,0.35253906,-0.449646,0.8954468,0.34552002,0.27581787,-0.050842285
-0.8067627,0.555542,-0.05303955,0.1942749,-0.011962891,0.019958496,0.5062256,-0.8621216,-0.45550537,0.87109375,-0.13513184,-0.12408447,0.2008667,-0.2855835,-0.61724854,0.7050781,-0.043701172,0.60668945,-0.7913208,0.062438965,0.30517578,-0.732605,-0.51190186,0.3287964,-0.057128906,0.54022217,-0.8394165,0.01586914,0.14099121,-0.6005249,-0.74823,0.24432373,-0.049926758,-0.17974854,-0.9376831,-0.29333496,-0.11627197,0.58135986,0.75616455,-0.2769165,-0.7967529,0.19702148,0.35247803,-0.449646,0.8980713,0.34375,0.2703247,-0.046203613
-0.8066406,0.55566406,-0.053344727,0.1942749,-0.012207031,0.020446777,0.50634766,-0.8619995,-0.46099854,0.8673096,-0.13574219,-0.12988281,0.19750977,-0.2852173,-0.61083984,0.7116699,-0.0435791,0.6065674,-0.79138184,0.06237793,0.30340576,-0.732666,-0.5093384,0.3343506,-0.06585693,0.5408325,-0.83843994,0.014221191,0.14099121,-0.600708,-0.74816895,0.24420166,-0.055908203,-0.17559814,-0.93963623,-0.2883911,-0.10784912,0.5814209,0.75494385,-0.28344727,-0.7967529,0.19696045,0.352417,-0.44970703,0.90093994,0.34155273,0.26434326,-0.04095459
-0.8065796,0.55566406,-0.053649902,0.1942749,-0.012329102,0.020812988,0.50653076,-0.86187744,-0.46691895,0.8631592,-0.13586426,-0.13604736,0.19354248,-0.28448486,-0.6040039,0.7188721,-0.0435791,0.60632324,-0.79156494,0.062194824,0.3013916,-0.73254395,-0.5064087,0.34075928,-0.07519531,0.54174805,-0.83709717,0.012573242,0.1408081,-0.60095215,-0.74798584,0.24407959,-0.062316895,-0.17077637,-0.94177246,-0.28302002,-0.09893799,0.5809326,0.75372314,-0.29083252,-0.7967529,0.19702148,0.35235596,-0.44976807,0.90405273,0.33892822,0.25793457,-0.03491211
-0.80651855,0.5557251,-0.054016113,0.19439697,-0.012268066,0.021057129,0.5065918,-0.8618164,-0.47332764,0.85858154,-0.13562012,-0.14300537,0.18908691,-0.2833252,-0.5967407,0.7265625,-0.043762207,0.60601807,-0.7918091,0.061828613,0.29943848,-0.7319336,-0.50335693,0.34820557,-0.08544922,0.5430908,-0.8352661,0.011108398,0.1404419,-0.6013794,-0.74768066,0.24414062,-0.06866455,-0.16540527,-0.94421387,-0.27661133,-0.089538574,0.5800171,0.7524414,-0.29888916,-0.79663086,0.19714355,0.35247803,-0.4498291,0.90734863,0.3359375,0.2510376,-0.028198242
-0.80651855,0.5557251,-0.054382324,0.19439697,-0.012390137,0.021240234,0.50671387,-0.8617554,-0.48016357,0.8536377,-0.13482666,-0.15032959,0.18395996,-0.2816162,-0.5891113,0.7347412,-0.043945312,0.6057129,-0.79211426,0.061401367,0.29730225,-0.73095703,-0.50024414,0.35650635,-0.09643555,0.5449829,-0.8328247,0.00982666,0.14001465,-0.6018677,-0.7474365,0.24401855,-0.07513428,-0.15930176,-0.94677734,-0.26953125,-0.07946777,0.5787964,0.7510376,-0.30749512,-0.7965698,0.19720459,0.3526001,-0.4498291,0.91070557,0.33288574,0.2434082,-0.020874023
-0.8065796,0.555603,-0.0546875,0.19433594,-0.012512207,0.021606445,0.5067749,-0.86169434,-0.48736572,0.8482666,-0.13330078,-0.1583252,0.17840576,-0.27972412,-0.5810547,0.74316406,-0.044067383,0.6053467,-0.79241943,0.06072998,0.29492188,-0.72961426,-0.49713135,0.36547852,-0.10809326,0.5473633,-0.829834,0.008605957,0.13946533,-0.602478,-0.74713135,0.24383545,-0.08190918,-0.15264893,-0.9494629,-0.26190186,-0.06878662,0.5773926,0.7495117,-0.31640625,-0.79644775,0.19720459,0.35272217,-0.44989014,0.91412354,0.33007812,0.23498535,-0.013183594
-0.8067627,0.5552368,-0.05505371,0.19439697,-0.012451172,0.021850586,0.5067749,-0.86169434,-0.49499512,0.8425293,-0.13146973,-0.16680908,0.17211914,-0.2783203,-0.5725708,0.751709,-0.04437256,0.60491943,-0.79278564,0.059814453,0.29229736,-0.72772217,-0.4940796,0.37542725,-0.1204834,0.55029297,-0.8262329,0.007080078,0.13867188,-0.6031494,-0.7467041,0.24383545,-0.08880615,-0.1453247,-0.9522095,-0.25378418,-0.057128906,0.5758667,0.7477417,-0.3255005,-0.79626465,0.19720459,0.3527832,-0.45013428,0.91729736,0.32757568,0.22601318,-0.005065918
-0.8070679,0.55474854,-0.055480957,0.19458008,-0.012451172,0.022277832,0.5065918,-0.8618164,-0.5024414,0.8364868,-0.12976074,-0.17608643,0.16485596,-0.2772827,-0.5637207,0.76031494,-0.04510498,0.6045532,-0.7930908,0.058898926,0.28955078,-0.72509766,-0.4911499,0.38623047,-0.13366699,0.5533447,-0.82214355,0.0053710938,0.13763428,-0.6040039,-0.7461548,0.24407959,-0.09613037,-0.1375122,-0.954895,-0.24505615,-0.04449463,0.57421875,0.7457886,-0.33465576,-0.79608154,0.19714355,0.35290527,-0.45043945,0.92041016,0.32525635,0.21661377,0.003540039
-0.807312,0.55426025,-0.055908203,0.19458008,-0.012512207,0.022888184,0.50616455,-0.86206055,-0.5097656,0.8300171,-0.1281128,-0.18658447,0.15698242,-0.27679443,-0.5543213,0.76904297,-0.046203613,0.604187,-0.793396,0.057922363,0.28649902,-0.7219238,-0.4882202,0.3980713,-0.14746094,0.55651855,-0.81762695,0.0034179688,0.13647461,-0.6048584,-0.7454834,0.24456787,-0.10394287,-0.12915039,-0.95758057,-0.23577881,-0.03100586,0.5727539,0.7435303,-0.3435669,-0.79577637,0.19702148,0.35302734,-0.4508667,0.9232788,0.32318115,0.20697021,0.012634277
-0.8076172,0.553833,-0.056152344,0.19470215,-0.012573242,0.02355957,0.50567627,-0.8623047,-0.51690674,0.8231201,-0.12670898,-0.19799805,0.14837646,-0.2767334,-0.54437256,0.77789307,-0.047668457,0.60369873,-0.7937622,0.05670166,0.28271484,-0.71850586,-0.48498535,0.41064453,-0.1619873,0.5595093,-0.8128662,6.713867E-4,0.13494873,-0.605896,-0.7446289,0.2453003,-0.11260986,-0.12036133,-0.960022,-0.2263794,-0.016906738,0.57147217,0.74102783,-0.35198975,-0.7955322,0.19683838,0.35321045,-0.45129395,0.92596436,0.3213501,0.19702148,0.022155762
-0.80804443,0.5531006,-0.056274414,0.19500732,-0.012512207,0.024108887,0.505249,-0.8625488,-0.5239258,0.8157959,-0.12554932,-0.21038818,0.13903809,-0.2769165,-0.53375244,0.7868042,-0.049682617,0.60321045,-0.7941284,0.055114746,0.2783203,-0.71502686,-0.4814453,0.42370605,-0.17681885,0.5621948,-0.80792236,-0.0026855469,0.13287354,-0.60723877,-0.7435913,0.24639893,-0.12194824,-0.111328125,-0.9621582,-0.21691895,-0.0021972656,0.5704956,0.7381592,-0.3600464,-0.795166,0.19647217,0.35327148,-0.45202637,0.9283447,0.3196411,0.18695068,0.031982422
-0.8085327,0.55218506,-0.05609131,0.1954956,-0.012573242,0.024597168,0.50457764,-0.8629761,-0.5308838,0.8078613,-0.12438965,-0.22369385,0.12908936,-0.2775879,-0.522583,0.79571533,-0.052246094,0.6026001,-0.79455566,0.053222656,0.27319336,-0.71154785,-0.47753906,0.4371338,-0.19213867,0.56427,-0.8029175,-0.006591797,0.1305542,-0.60858154,-0.7423706,0.2479248,-0.13208008,-0.10235596,-0.9639282,-0.20739746,0.013000488,0.56951904,0.7349243,-0.36791992,-0.79486084,0.19555664,0.35308838,-0.45318604,0.9304199,0.31817627,0.17663574,0.042053223
-0.8088379,0.5515137,-0.056030273,0.19610596,-0.012756348,0.024963379,0.50354004,-0.8635254,-0.5378418,0.79937744,-0.123413086,-0.23773193,0.11883545,-0.27856445,-0.5109253,0.8045044,-0.055847168,0.60217285,-0.7947998,0.05126953,0.2672119,-0.7081299,-0.47314453,0.4508667,-0.20776367,0.565979,-0.7977295,-0.010864258,0.12799072,-0.6099243,-0.7409668,0.25024414,-0.1427002,-0.09320068,-0.96539307,-0.19769287,0.028442383,0.5684204,0.73132324,-0.37573242,-0.7944336,0.19415283,0.35235596,-0.4550171,0.932251,0.31689453,0.1663208,0.05230713
-0.8093262,0.55059814,-0.055908203,0.19683838,-0.013183594,0.025146484,0.5024414,-0.8641968,-0.54455566,0.7904663,-0.1227417,-0.25219727,0.10852051,-0.27978516,-0.49890137,0.8129883,-0.06060791,0.6017456,-0.79486084,0.049560547,0.26062012,-0.704895,-0.46832275,0.46466064,-0.22351074,0.5675049,-0.79229736,-0.015136719,0.12506104,-0.6109619,-0.7393799,0.2538452,-0.15350342,-0.084106445,-0.96655273,-0.18762207,0.043884277,0.5671387,0.72753906,-0.38342285,-0.7937622,0.19256592,0.3513794,-0.4576416,0.93377686,0.31567383,0.15618896,0.062438965
-0.8101196,0.54907227,-0.055358887,0.19793701,-0.013427734,0.025146484,0.5015259,-0.86468506,-0.5509033,0.78125,-0.12243652,-0.26678467,0.097839355,-0.28137207,-0.48675537,0.821167,-0.06652832,0.60131836,-0.7947998,0.047729492,0.25341797,-0.7019043,-0.4628296,0.47851562,-0.23931885,0.56884766,-0.7866211,-0.01940918,0.12158203,-0.61187744,-0.7376709,0.25836182,-0.16436768,-0.07501221,-0.96746826,-0.17736816,0.05871582,0.56591797,0.72369385,-0.39050293,-0.7928467,0.19036865,0.3499756,-0.4611206,0.9350586,0.3145752,0.1463623,0.072265625
