A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.8911133,0.16741943,0.08026123,0.41412354,-0.13391113,-0.025939941,0.06060791,-0.98883057,-0.52593994,0.6538696,-0.2925415,-0.45861816,0.2230835,-0.5064087,-0.30444336,0.7753296,-0.37329102,0.60321045,-0.6605835,-0.24578857,0.21362305,-0.85668945,-0.19165039,0.4286499,-0.35046387,0.4758911,-0.75683594,-0.2791748,-0.19177246,-0.6746216,-0.5661621,0.4331665,-0.3859253,-0.1776123,-0.8643799,-0.26922607,-1.4735107,0.8483887,0.9465332,0.43798828,-0.68530273,0.20391846,0.25561523,-0.65075684,0.8918457,0.44934082,0.035339355,0.037841797
-0.89630127,0.16223145,0.083740234,0.4041748,-0.12359619,-0.028808594,0.05493164,-0.9904175,-0.52685547,0.64501953,-0.2765503,-0.4794922,0.21051025,-0.5009155,-0.29455566,0.7861328,-0.3706665,0.60424805,-0.66156006,-0.24456787,0.20727539,-0.8501587,-0.19244385,0.4440918,-0.364563,0.4897461,-0.7423096,-0.27630615,-0.19921875,-0.65960693,-0.56951904,0.44830322,-0.38720703,-0.16491699,-0.8713379,-0.2524414,-0.66101074,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.6824341,0.20239258,0.25775146,-0.6534424,0.89263916,0.44702148,0.03314209,0.04711914
-0.90130615,0.1609497,0.0848999,0.39312744,-0.11480713,-0.02935791,0.05230713,-0.9916382,-0.5258179,0.6431885,-0.260437,-0.4920044,0.19891357,-0.4960327,-0.2861328,0.7952881,-0.36743164,0.60339355,-0.6638794,-0.24536133,0.20153809,-0.84228516,-0.19433594,0.46069336,-0.37573242,0.50219727,-0.7307739,-0.2695923,-0.20214844,-0.6461792,-0.572937,0.4619751,-0.38879395,-0.15301514,-0.8760376,-0.2409668,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.6793823,0.2010498,0.2617798,-0.6553955,0.8918457,0.44696045,0.030822754,0.061767578
-0.9061279,0.1618042,0.084472656,0.3815918,-0.10662842,-0.027954102,0.05267334,-0.9925537,-0.5270996,0.64141846,-0.24768066,-0.49945068,0.18737793,-0.49627686,-0.28588867,0.79803467,-0.3651123,0.60076904,-0.66674805,-0.2475586,0.19818115,-0.8339844,-0.19659424,0.47601318,-0.3826294,0.5130005,-0.7223511,-0.26208496,-0.20281982,-0.63464355,-0.57684326,0.4727173,-0.3925171,-0.14111328,-0.87664795,-0.23999023,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.67645264,0.20019531,0.2682495,-0.6561279,0.8936157,0.44122314,0.027404785,0.07684326
-0.9104614,0.16192627,0.08251953,0.371521,-0.09906006,-0.025512695,0.05407715,-0.99328613,-0.5274048,0.642334,-0.23773193,-0.5028076,0.17590332,-0.49853516,-0.28967285,0.79785156,-0.3657837,0.59625244,-0.6699219,-0.24884033,0.19250488,-0.8293457,-0.20037842,0.48480225,-0.38494873,0.5214844,-0.71728516,-0.25567627,-0.20300293,-0.62609863,-0.58117676,0.47857666,-0.39752197,-0.12695312,-0.8754883,-0.24401855,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.67352295,0.20043945,0.2765503,-0.6555786,0.89593506,0.4338379,0.023742676,0.09173584
-0.91430664,0.16027832,0.078552246,0.36364746,-0.0927124,-0.020202637,0.05517578,-0.99401855,-0.52575684,0.64575195,-0.23034668,-0.503479,0.16790771,-0.4993286,-0.29138184,0.7984619,-0.3713379,0.5897827,-0.6732788,-0.24700928,0.18365479,-0.8274536,-0.20452881,0.48968506,-0.383667,0.5274048,-0.71533203,-0.25097656,-0.20281982,-0.6208496,-0.58587646,0.47979736,-0.40063477,-0.114868164,-0.8745117,-0.24829102,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.6713257,0.20056152,0.28479004,-0.6542969,0.8968506,0.42785645,0.02130127,0.11004639
-0.9173584,0.15808105,0.0736084,0.3577881,-0.08758545,-0.012145996,0.055786133,-0.9945679,-0.5223999,0.65075684,-0.22570801,-0.5027466,0.15881348,-0.50390625,-0.2929077,0.79693604,-0.38024902,0.5820923,-0.67681885,-0.24206543,0.17529297,-0.82403564,-0.20788574,0.49700928,-0.37994385,0.53118896,-0.71539307,-0.24853516,-0.20288086,-0.61834717,-0.5906372,0.47717285,-0.40576172,-0.10430908,-0.8727417,-0.25073242,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.6702881,0.19927979,0.2913208,-0.652771,0.8977661,0.42156982,0.019470215,0.12585449
-0.91918945,0.15710449,0.069885254,0.35437012,-0.08441162,-0.002380371,0.05645752,-0.99487305,-0.5180054,0.65582275,-0.22375488,-0.5015259,0.14605713,-0.505188,-0.28656006,0.8008423,-0.39111328,0.57214355,-0.68237305,-0.23254395,0.17034912,-0.82073975,-0.21032715,0.5031738,-0.37524414,0.53271484,-0.71655273,-0.2489624,-0.20373535,-0.61846924,-0.59454346,0.47174072,-0.41271973,-0.0904541,-0.87231445,-0.24633789,-0.3163452,0.2529297,0.5,-0.33917236,-0.67071533,0.19482422,0.29510498,-0.6520386,0.89886475,0.41571045,0.018615723,0.13726807
-0.9191284,0.15942383,0.07043457,0.35333252,-0.083862305,0.00390625,0.058532715,-0.994751,-0.5132446,0.6598511,-0.22497559,-0.50061035,0.1295166,-0.50164795,-0.27435303,0.8101196,-0.40246582,0.55682373,-0.6923218,-0.22070312,0.16040039,-0.8178711,-0.21044922,0.5109253,-0.371521,0.53167725,-0.7184448,-0.2514038,-0.20562744,-0.6207886,-0.59661865,0.46520996,-0.41955566,-0.072753906,-0.8731079,-0.23773193,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.67230225,0.19110107,0.29833984,-0.6500244,0.89953613,0.41107178,0.018432617,0.14642334
-0.9182739,0.16052246,0.07922363,0.35327148,-0.08465576,-0.0036010742,0.059020996,-0.99468994,-0.50787354,0.66296387,-0.22839355,-0.50042725,0.10864258,-0.4977417,-0.26184082,0.81970215,-0.38537598,0.5592041,-0.7037964,-0.20874023,0.14898682,-0.81207275,-0.20977783,0.5238037,-0.37097168,0.52801514,-0.72076416,-0.25323486,-0.20776367,-0.625,-0.5960083,0.45947266,-0.4257202,-0.0513916,-0.8740845,-0.22857666,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.67315674,0.19067383,0.30151367,-0.6477661,0.9002075,0.40716553,0.019104004,0.15289307
-0.91674805,0.15808105,0.09020996,0.3555298,-0.08898926,-0.013244629,0.057922363,-0.9942627,-0.5038452,0.6643677,-0.23297119,-0.5004883,0.0881958,-0.4907837,-0.24865723,0.8303833,-0.36309814,0.56817627,-0.7105713,-0.20111084,0.13330078,-0.80474854,-0.21026611,0.5389404,-0.37524414,0.5223999,-0.7234497,-0.2508545,-0.20800781,-0.630188,-0.59246826,0.4567871,-0.4295044,-0.028503418,-0.87597656,-0.21777344,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-6.1035156E-5,-0.67407227,0.19085693,0.30236816,-0.64642334,0.90063477,0.40441895,0.0211792,0.1574707
