millis,A,B,C,D,E,F,G,H,I,J,K,L
5179,130.37857,126.170975,77.21503,20.112648,152.35103,118.4254,51.13075,100.80517,138.27275,142.61864,89.15448,
5202,130.53593,126.130104,77.5984,20.573574,152.28058,118.772316,50.58577,100.50359,138.27705,142.5083,88.76659,
5222,130.60849,126.12562,77.84709,20.735308,152.05135,119.04411,50.141514,100.36551,138.12584,142.44081,88.53191,
5244,130.47926,126.09172,78.127716,21.047106,151.78073,119.27258,49.77588,100.47195,138.17255,142.40822,88.47534,
5265,130.31102,126.036385,78.343666,21.414804,151.38628,119.50834,49.469658,100.178246,138.25613,142.40219,88.533516,
5287,130.06708,125.92443,78.26921,21.636566,150.9633,119.8551,49.02841,99.91874,138.15971,142.2922,88.54878,
5309,129.82376,125.81355,78.52157,21.598505,150.4277,120.32654,48.470524,99.503494,137.75533,142.08803,88.55266,
5350,129.44443,125.48787,78.86983,21.30295,138.24905,121.24268,47.39888,99.48433,136.56677,141.57378,88.62718,
5372,129.20862,125.20683,78.60143,21.165417,137.70638,121.54444,47.123344,99.8615,135.91496,141.40042,88.935745,
5393,128.94072,124.78177,78.362976,21.2481,137.36406,121.68355,47.057373,99.95186,135.7508,141.33086,89.39219,
5415,128.6441,124.29383,78.494736,21.395025,137.30838,121.84627,47.0231,99.743416,135.55022,141.26926,89.85206,
5436,128.36464,123.81652,79.07266,21.763695,137.33759,122.035904,47.097794,99.2203,135.50601,141.34804,90.44989,
5478,127.85862,115.65795,79.16701,23.032087,137.57173,122.42182,47.69406,98.80321,135.96524,141.78511,92.04725,
5498,127.49058,116.28023,79.041435,23.279997,137.77081,122.49098,48.11231,98.878296,135.99953,142.01614,92.8179,
5520,127.05048,116.72189,78.88913,23.789215,137.7902,122.41645,48.55933,99.085304,135.97586,142.2914,93.65606,
5561,126.16452,117.04292,78.88712,23.760626,137.59627,122.049934,49.526154,99.13428,136.85812,142.93408,95.573425,
5583,125.71674,117.05547,78.81184,23.393744,137.4455,122.06463,49.85065,99.10812,137.19995,143.0965,96.53375,
5604,125.22469,116.73868,78.62976,22.83262,137.06726,122.20791,50.01645,99.07652,137.31374,143.09424,97.3382,
5626,124.7617,116.903015,78.3736,22.284111,137.2425,122.25283,50.22727,99.12481,137.48222,143.14499,98.08162,
5647,124.43668,117.31161,78.14064,21.57127,137.63,122.117485,50.543407,99.33239,137.5466,143.23837,98.73354,
5669,124.17128,118.00814,77.82248,20.643063,138.40971,122.05477,50.849365,99.60883,137.36314,143.20503,99.17592,
5690,123.879875,119.04883,77.08241,19.493347,139.33835,121.981476,51.435143,100.1583,137.28073,143.37685,99.82566,
5713,123.589424,120.3974,77.08678,18.266878,140.57704,121.903404,52.393463,100.041695,137.49818,143.91055,100.71544,
5734,123.295525,122.30146,80.4364,17.070564,142.16591,121.79223,53.70857,100.50497,138.202,144.86113,101.88232,
5755,123.08302,125.025955,77.62984,16.191326,144.275,121.535324,55.21873,100.26205,139.216,146.00262,103.1467,
5777,122.90775,128.40073,76.9925,16.41842,147.0271,121.082306,56.857464,101.45699,140.4526,147.22534,104.37204,
5797,122.637405,131.9838,75.06479,17.724857,149.856,120.41268,58.63944,102.548195,141.95284,148.5726,105.71952,
5819,122.191605,135.62354,74.37137,19.871706,152.35358,119.58113,60.623383,102.35265,143.95718,150.09962,107.36731,
5841,121.59815,139.26724,74.16355,22.909622,154.41867,118.568886,62.82209,102.11873,146.46133,151.66594,109.205765,
5863,120.85974,142.97278,74.874596,26.449255,155.7359,117.432976,65.11474,101.36908,149.13895,153.07123,111.05703,
5883,120.0662,146.76901,75.22439,30.190832,156.54907,116.296715,67.31041,100.333145,151.54001,154.57309,112.7146,
5905,119.5533,150.594,74.73654,34.061966,157.1468,115.272,69.161674,99.18542,153.63287,155.67323,114.04851,
5927,119.18474,154.12262,73.3683,37.712982,157.5182,114.2983,70.75566,98.419914,155.40462,156.47871,115.04472,
5948,119.01267,157.13817,72.87611,40.346912,157.74709,113.30555,72.1065,98.07983,156.5644,156.97383,115.78218,
5970,118.84178,158.98051,73.45002,41.118,158.17154,112.384285,73.38159,97.70041,156.89775,157.00026,116.323105,
5991,118.60831,159.43785,74.20266,40.760838,159.27028,111.694145,74.61243,96.635574,157.09412,156.45845,116.75549,
6073,110.91795,143.35919,79.427444,24.533222,171.5806,117.61287,79.018135,91.4325,156.88364,148.25824,85.850876,
6095,108.32933,133.85118,81.42046,17.863651,163.51347,122.00031,79.70158,90.63708,156.0418,145.15016,87.57473,
6117,104.04985,122.82491,83.61901,15.207463,153.05981,126.77395,80.11647,90.55742,154.72539,141.77936,88.87216,
6137,98.843765,111.46305,85.17214,18.952597,141.85275,131.64989,80.04828,91.036545,152.54552,138.06223,89.312126,
6159,93.40558,100.8822,86.06808,25.631117,130.51361,136.41809,79.31644,91.552765,149.55305,134.04707,89.326256,
6180,87.56776,91.3159,86.357254,31.989344,119.82545,141.3401,78.01216,92.32954,145.64061,129.72064,88.93885,
6201,81.04991,81.81149,86.26359,38.336525,109.735756,146.13498,76.933105,93.26338,141.34253,125.41754,88.32852,
6223,74.3094,72.51152,86.00708,44.39214,100.69634,150.59975,76.04356,94.55299,136.69705,121.31989,87.59836,
6244,68.10314,63.836185,85.5779,48.892498,93.38772,154.05832,75.70223,96.0603,131.8695,117.66242,87.35017,
6265,62.61684,55.680187,83.90465,51.71038,88.281685,156.99388,75.41537,98.54542,126.73889,114.57475,86.84634,
6287,57.86244,47.94931,81.46301,53.661407,85.40273,159.8616,74.992805,101.35213,121.412155,112.04716,85.84354,
6309,53.715492,40.101852,79.35733,55.313778,84.284966,162.30997,74.82735,103.586105,116.121315,109.84422,85.25628,
6330,50.489292,32.6825,79.71908,57.02658,84.645424,164.06757,74.58149,103.817696,111.17655,108.019875,84.86979,
6352,49.387894,27.45798,82.908646,58.767067,86.99746,164.94566,73.9823,103.204025,106.758934,106.17449,84.375946,
6373,51.142143,25.694603,86.599434,60.21811,92.01388,165.41527,72.60778,103.86875,102.77112,103.37775,83.40225,
6395,54.825466,26.292603,89.11991,61.949894,99.384964,166.05783,70.29169,105.4344,99.353745,99.67548,82.5806,
6416,58.912075,27.720213,90.30155,63.906307,106.35463,167.20581,66.96388,106.27316,96.445206,96.025185,82.02689,
6437,62.989635,30.186275,91.82614,66.34864,113.61252,168.42432,62.464764,104.47943,94.20035,93.4218,81.011604,
6459,66.41731,34.5501,97.30608,70.17671,121.415565,169.8672,57.17373,101.87332,93.07523,92.34156,80.01475,
6480,67.748405,39.4722,102.079285,75.695694,127.99363,173.10118,51.189106,100.80147,92.59741,91.61657,79.065025,
6501,63.423107,43.465977,102.43936,82.7056,131.43861,175.66238,45.050186,101.22503,92.09642,90.68593,77.16849,
6524,61.33217,47.333073,101.028336,90.26476,133.9715,169.0095,39.618423,102.444016,91.558044,90.27946,76.21264,
6544,63.510517,50.217434,102.78862,98.03323,134.25653,166.37286,34.815918,101.807045,91.7438,90.68826,75.78746,
6566,67.68241,53.08335,107.71713,106.20673,133.56467,163.70158,30.08992,102.71595,92.58692,91.21949,75.97611,
6588,73.31191,55.70191,111.86269,115.724525,131.5947,161.2825,25.580763,105.23889,93.31844,91.199974,76.61802,
6609,77.0757,56.857826,110.634125,125.37585,128.31006,157.89374,22.099337,104.76112,93.729095,90.78534,77.10265,
6630,81.293846,58.145344,109.58636,133.61703,124.80867,155.04826,19.226175,105.293915,93.38598,89.46609,76.7017,
6652,86.24762,59.73344,108.407524,140.98701,121.39094,153.74655,17.29033,106.82821,93.217804,88.06963,75.49734,
6673,91.47948,63.019203,104.6613,146.8192,116.278076,153.19305,16.646246,102.94443,92.6896,86.05664,72.5938,
6695,96.77972,67.77975,104.00105,149.48643,108.48861,154.72589,18.085316,109.9851,92.746315,84.307625,69.763115,
6716,102.37419,73.611786,104.79873,149.71877,98.212204,158.71198,20.482319,108.376976,93.389626,82.746864,67.8692,
6739,106.04915,80.26226,105.01941,148.2378,91.104935,162.76715,23.218182,108.53297,93.9583,80.87125,66.58269,
6759,107.76102,85.502785,102.88877,145.21739,94.99005,167.01007,26.036581,102.300964,94.68055,78.90702,65.98659,
6780,105.81366,89.169044,99.448166,140.11263,106.95748,170.99261,28.77218,97.29774,95.823875,77.28054,65.94151,
6803,98.16584,92.9065,96.25954,133.84889,123.86518,175.01933,31.21601,93.68554,97.03332,76.16619,66.003334,
6824,97.56378,98.69156,93.488625,129.81451,137.6615,172.63611,32.370346,92.39274,98.34295,75.399956,66.28378,
6844,105.240234,103.44341,89.71485,127.938034,145.43166,169.15805,33.03111,89.987976,99.51497,74.778625,68.21656,
6866,110.23493,105.8896,87.75703,126.69577,153.55168,166.74808,33.734425,88.25354,100.68888,74.50119,71.814125,
6888,113.79501,106.62707,88.22923,126.66975,161.50285,164.4024,34.41302,88.10171,101.807,74.12526,75.83413,
6909,116.06358,108.09072,89.46101,126.728584,169.79556,162.4835,36.828842,89.10586,102.11299,73.01617,79.92212,
6930,117.69193,109.89834,90.41617,125.42786,174.99121,160.61562,39.21184,89.763084,102.303154,71.70708,82.67983,
6952,117.31095,112.210846,92.17311,124.79878,166.75433,159.30495,41.549366,91.039375,101.45428,71.56862,83.085365,
6974,116.482025,113.64231,94.295456,123.768005,159.14163,158.67458,44.60991,92.29236,100.58674,72.41586,82.66556,
6995,118.59474,114.64184,96.421875,123.39567,154.83076,158.20567,47.133602,90.483665,99.66629,74.050026,82.45596,
7016,121.902794,114.90391,101.72754,125.35266,155.5047,157.92093,48.64503,90.213196,98.02266,76.860245,82.40868,
7038,122.90968,114.83678,108.75517,128.47232,162.60558,158.22102,49.2571,94.74538,95.57864,79.600525,82.072075,
7059,121.48297,114.9036,109.63067,130.12563,172.36504,159.67094,49.724617,94.70438,93.65938,82.96865,81.619064,
7080,118.40895,115.26448,107.95437,131.13744,178.01338,161.24121,49.107502,91.98438,92.09621,84.922935,81.08507,
7102,117.008064,115.43827,106.10546,130.35953,176.11404,162.19582,48.601074,88.22397,91.43581,87.30941,80.55838,
7123,114.937836,115.057304,105.19622,128.04208,173.16696,162.55435,50.052505,86.84726,92.46535,89.20421,80.24832,
7145,114.43862,114.82674,109.20831,127.89134,170.5704,162.56032,51.561954,89.92261,94.66715,90.913315,81.02415,
7167,114.79288,113.95583,111.149734,130.77776,163.93425,162.31657,47.98569,88.261345,96.83964,92.471756,82.361145,
7188,115.16592,112.38127,109.18228,135.30267,152.49164,161.95451,41.38527,89.56992,99.512726,94.00967,83.45115,
7210,117.158,111.207825,107.59844,138.6622,139.00793,161.19785,34.87881,91.63651,102.46269,94.884544,84.55055,
7231,118.667755,109.375755,105.66591,141.73146,126.60883,160.98997,30.23725,91.8241,104.17921,95.42942,85.18638,
7252,119.67796,106.1362,105.82567,141.61029,129.42026,160.81192,26.919441,92.093506,105.449295,95.8802,85.239555,
