millis,真实角度,测量角度
5314,NaN,180
5315,NaN,180
5332,NaN,180
5334,NaN,180
5352,NaN,180
5353,NaN,180
5371,NaN,180
5373,NaN,180
5392,NaN,180
5394,NaN,180
5411,NaN,180
5413,NaN,180
5432,NaN,180
5433,NaN,180
5451,NaN,180
5455,NaN,180
5472,NaN,180
5473,NaN,180
5492,NaN,180
5493,NaN,180
5511,NaN,180
5514,NaN,180
5532,NaN,180
5534,NaN,180
5551,NaN,180
5553,NaN,180
5572,NaN,180
5573,NaN,180
5592,NaN,180
5594,NaN,180
5611,NaN,180
5614,NaN,180
5632,NaN,180
5633,NaN,180
5651,NaN,180
5653,NaN,180
5671,NaN,180
5673,NaN,180
5691,NaN,180
5693,NaN,180
5712,NaN,180
5714,NaN,180
5733,NaN,180
5734,NaN,180
5751,NaN,180
5754,NaN,180
5771,NaN,180
5773,NaN,180
5791,NaN,180
5793,179.95154,180
5812,179.95154,180
5814,179.95154,180
5831,179.95154,180
5833,179.82529,180
5851,179.82529,180
5853,179.82529,180
5872,179.82529,180
5874,NaN,180
5891,NaN,180
5893,179.63043,180
5911,NaN,180
5913,NaN,180
5932,NaN,180
5934,NaN,180
5951,NaN,180
5953,NaN,180
5973,NaN,180
5974,NaN,180
5992,NaN,180
5994,NaN,180
6012,179.44292,180
6014,179.44292,180
6032,NaN,180
6034,NaN,180
6051,NaN,180
6053,NaN,180
6072,NaN,180
6072,NaN,180
6091,NaN,180
6093,NaN,180
6111,NaN,180
6113,NaN,180
6132,NaN,180
6133,NaN,180
6151,NaN,180
6153,NaN,180
6172,NaN,180
6174,NaN,180
6192,NaN,180
6194,179.79633,180
6214,179.79633,180
6217,179.79633,180
6232,179.79633,180
6233,179.79633,180
6252,179.79633,180
6254,179.79633,180
6271,179.79633,180
6273,179.79633,180
6292,NaN,180
6293,NaN,180
6311,NaN,180
6313,NaN,180
6332,NaN,180
6334,179.65565,180
6351,179.55632,180
6353,179.55632,180
6372,NaN,179
6374,NaN,179
6391,NaN,179
6393,NaN,179
6412,NaN,179
6414,NaN,179
6431,NaN,179
6433,NaN,179
6452,NaN,179
6454,NaN,179
6473,NaN,179
6474,NaN,179
6491,NaN,179
