millis,真实角度,测量角度
6285,178.84581,180
6301,178.83434,180
6303,178.83434,180
6320,178.8228,180
6322,178.94075,180
6341,179.24515,180
6343,179.24515,180
6361,178.92809,180
6363,178.92262,180
6381,179.22015,180
6382,179.22015,180
6401,178.91177,180
6402,178.91177,180
6421,179.20525,180
6425,179.20525,180
6441,178.886,180
6444,178.886,180
6461,179.17032,180
6462,179.03734,180
6480,178.77252,180
6483,178.77252,180
6508,179.02301,180
6509,179.53691,180
6521,179.53691,180
6521,179.3271,180
6540,179.32944,180
6542,179.32944,180
6560,178.9849,180
6563,178.9849,180
6581,179.30846,180
6582,179.30846,180
6600,179.30846,180
6602,179.13928,180
6621,179.12308,180
6623,179.12308,180
6640,179.12308,180
6642,179.28838,180
6661,178.95789,180
6662,178.73499,180
6681,178.96184,180
6682,178.96184,180
6701,178.96184,180
6702,179.0913,180
6720,179.09193,180
6722,179.09193,180
6749,179.09193,180
6756,179.25035,180
6762,179.23178,180
6764,179.23178,180
6779,179.21242,180
6782,178.93468,180
6800,178.93468,180
6802,178.93468,180
6821,178.92352,180
6822,178.92352,180
6840,178.9217,180
6841,178.9217,180
6860,178.92262,180
6862,178.92262,180
6880,178.90872,180
6881,178.79439,180
6901,178.79439,180
6904,178.90872,180
6920,178.89589,180
6921,179.1607,180
6940,179.16257,180
6942,178.89731,180
6961,179.18507,180
6962,179.61386,180
6979,179.14613,180
6982,179.14613,180
7002,179.14384,180
7005,178.88303,180
7021,179.16748,180
7022,179.57803,180
7040,179.12935,180
7043,179.12935,180
7060,179.12935,180
7062,179.12935,180
7080,179.12935,180
7082,179.12935,180
7100,179.54544,180
7101,179.54544,180
7120,179.11308,180
7121,179.11308,180
7140,179.13025,180
7142,178.87239,180
7159,179.13385,180
7161,179.00613,180
7179,178.76015,180
7182,178.85979,180
7200,178.85979,180
7202,178.85979,180
7221,178.85979,180
7222,178.76015,180
7240,179.00673,180
7241,179.00673,180
7265,178.7482,180
7266,178.7482,180
7280,178.7482,180
7282,178.7482,180
7299,178.7482,180
