millis,真实角度,测量角度
10115,NaN,180
10118,NaN,180
10133,NaN,180
10137,NaN,180
10153,NaN,180
10158,NaN,180
10173,NaN,180
10177,NaN,180
10194,NaN,180
10197,NaN,180
10214,NaN,180
10218,NaN,180
10233,NaN,180
10237,NaN,180
10254,NaN,180
10257,179.46077,180
10274,NaN,180
10277,NaN,180
10296,179.51021,180
10299,NaN,180
10314,NaN,180
10318,NaN,180
10334,NaN,180
10337,NaN,180
10354,179.77707,180
10358,179.82529,180
10373,NaN,180
10378,NaN,180
10394,NaN,180
10398,NaN,180
10413,NaN,180
10418,NaN,180
10443,179.64723,180
10446,179.67676,180
10454,NaN,180
10458,NaN,180
10475,NaN,180
10478,179.70195,180
10494,NaN,180
10497,NaN,180
10513,NaN,180
10517,NaN,180
10533,NaN,180
10539,NaN,180
10556,NaN,180
10558,NaN,180
10574,NaN,180
10578,NaN,180
10593,NaN,180
10597,NaN,180
10613,NaN,180
10617,NaN,180
10634,179.38261,180
10637,179.87805,180
10653,NaN,180
10658,NaN,180
10673,NaN,180
10677,NaN,180
10693,NaN,180
10697,NaN,180
10713,NaN,180
10717,NaN,180
10733,NaN,180
10737,NaN,180
10753,179.60683,180
10757,NaN,180
10774,NaN,180
10777,NaN,180
10798,NaN,180
10801,NaN,180
10814,NaN,180
10817,179.44644,180
10833,179.44644,180
10837,NaN,180
10853,NaN,180
10857,NaN,180
10874,NaN,180
10878,NaN,180
10893,NaN,180
10897,NaN,180
10914,NaN,180
10917,NaN,180
10933,NaN,180
10936,179.35078,180
10954,179.64392,180
10957,179.71265,180
10973,179.71265,180
10977,NaN,180
10993,NaN,180
10998,NaN,180
11013,NaN,180
11016,NaN,180
11034,NaN,180
11036,NaN,180
11055,NaN,180
11056,NaN,180
11074,NaN,180
11077,NaN,180
11093,NaN,180
11097,NaN,180
11113,NaN,180
11116,NaN,180
11133,NaN,180
11136,NaN,180
11153,179.66428,180
11157,179.69417,180
11174,179.69417,180
11177,NaN,180
11193,NaN,180
11197,179.64009,180
11214,NaN,180
11216,NaN,180
11234,NaN,180
11237,NaN,180
11253,NaN,180
11256,NaN,180
11274,NaN,180
11277,NaN,180
11298,NaN,179
11301,NaN,179
11313,NaN,177
11316,NaN,177
11333,NaN,175
11336,NaN,175
11353,NaN,173
11356,NaN,173
11373,179.65057,172
11376,NaN,171
11394,178.32007,170
11396,178.22314,169
11413,176.6325,168
11417,176.69507,168
11434,175.04666,166
11436,175.01666,166
11453,173.7255,164
11456,173.71126,164
11473,172.33574,163
11476,172.34302,162
11493,170.87704,161
11497,170.89526,161
11513,169.16339,159
11516,169.21616,159
11533,167.34824,157
11537,167.36136,157
11556,165.67397,156
11557,165.63329,155
11573,164.28096,154
11576,164.2594,154
11593,162.74707,152
11596,162.74529,152
11614,161.10951,150
11617,161.1251,150
11633,159.44606,148
11636,159.45985,148
11653,158.10988,147
11656,158.11188,146
11673,156.4894,145
11676,156.5097,145
11693,154.82059,143
11697,154.79623,143
11714,152.89113,141
11716,152.85382,141
11734,150.83252,139
11736,150.86063,139
11753,149.00026,138
11757,148.9897,137
11773,147.13025,136
11777,147.14035,136
11794,145.37401,134
11796,145.36314,134
11816,143.77383,132
11817,143.69055,132
11833,142.37738,130
11837,142.05081,130
11853,140.975,129
11856,140.53442,128
11874,139.40454,127
11876,139.03923,127
11894,137.47147,125
11897,137.23615,125
11914,135.25713,123
11916,135.5127,123
11933,133.04187,121
11937,133.87582,121
11954,131.15305,120
11956,131.77904,119
11973,130.25887,118
11975,129.90288,118
11993,128.44177,116
11997,128.15749,116
12014,126.29189,114
12016,126.30005,114
12033,124.34837,112
12035,124.681305,112
12053,122.68782,111
12056,122.960266,110
12073,121.224754,109
12075,121.17865,109
12093,119.29208,107
12097,119.32738,107
12113,117.41582,105
12115,117.47943,105
12133,115.64104,103
12137,115.670944,103
12154,114.053444,102
12156,114.06117,101
12173,112.45958,100
12176,112.45777,100
12193,110.65891,98
12195,110.65567,98
12214,108.68592,96
12216,108.71224,96
12233,106.87984,94
12235,106.93896,94
12253,105.33771,93
12256,105.32098,92
12273,103.80303,91
12275,103.7025,91
12293,102.25014,89
12295,102.13911,89
12313,100.650635,91
12316,100.4551,91
12333,99.080605,93
12335,98.78763,93
12353,98.06126,94
12355,97.77926,95
12373,97.68109,96
12376,97.5457,96
12393,97.58101,98
12398,97.54529,98
12414,97.66786,100
12416,97.761665,100
12432,97.95592,102
12436,98.235306,102
12453,98.64119,103
12455,99.106155,104
12473,99.761284,105
12475,100.30256,105
12493,101.57945,107
12496,101.55955,107
12513,103.22066,109
12515,103.210655,109
12533,105.02985,111
12536,104.96918,111
12554,106.60647,112
12555,106.549095,113
12574,108.266975,114
12575,108.21079,114
12594,110.1502,116
12597,110.12699,116
12614,112.04319,118
12616,112.06406,118
12633,113.950645,120
12635,113.93363,120
12653,115.68348,121
12655,115.66946,122
12672,117.45984,123
12675,117.43974,123
12694,119.29151,125
12696,119.28607,125
12714,121.11609,127
12716,121.11785,127
12733,123.14566,129
12735,123.13984,129
12753,125.10274,130
12755,125.105225,131
12773,126.79303,132
12775,126.78185,132
12792,128.45784,134
12796,128.45886,134
12813,130.3063,136
12816,130.3135,136
12833,132.20074,138
12836,132.1951,138
12853,133.94553,139
12855,133.94519,140
12873,135.62134,141
12876,135.62312,141
12893,137.30988,143
12895,137.32391,143
12913,139.13599,145
12915,139.12947,145
12933,141.1004,147
12935,141.10019,147
12953,143.03165,148
12954,143.03165,149
12973,144.67023,150
12976,144.68419,150
12992,146.41484,152
