millis,Org_Angle,Teat_Angle
9894,105.117775,94
9902,105.167816,93
9913,103.45948,92
9923,103.502,91
9934,102.01359,90
9941,102.10244,89
9953,100.41772,90
9962,100.46805,91
9973,98.76721,92
9983,98.79138,92
9994,97.52381,93
10001,97.589645,94
10012,96.94837,95
10021,97.00331,96
10034,96.85289,97
10043,96.86664,98
10053,97.017815,99
10062,96.98648,100
10072,97.38796,101
10082,97.31723,101
10093,98.30819,102
10103,98.22606,103
10113,99.49225,104
10122,99.467476,105
10135,100.82209,106
10142,100.78993,107
10154,102.4744,108
10162,102.39598,109
10174,104.248116,110
10182,104.2219,110
10193,105.94978,111
10202,105.94638,112
10214,107.51476,113
10222,107.52083,114
10233,109.35123,115
10242,109.35957,116
10253,111.17139,117
10263,111.197586,118
10273,112.90086,119
10281,112.89587,119
10293,114.891945,120
10302,114.88976,121
10313,116.64142,122
10321,116.61398,123
10334,118.22464,124
10342,118.21546,125
10353,120.03519,126
10363,120.03363,127
10374,121.94978,128
10382,121.94502,128
10393,123.94884,129
10402,123.95332,130
10414,125.731384,131
10422,125.755646,132
10433,127.29006,133
10441,127.259,134
10453,128.82556,135
10461,128.85678,136
10474,130.75342,137
10481,130.74417,137
10493,132.74225,138
10502,132.7469,139
10513,134.61865,140
10522,134.60957,141
10533,136.1725,142
10542,136.18208,143
10553,137.72539,144
10561,137.71555,145
10573,139.41267,146
10582,139.42703,146
10593,141.46983,147
10601,141.44592,148
10612,143.6221,149
10622,143.6368,150
10633,145.51047,151
10643,145.51047,152
10653,147.26178,153
10661,147.2603,154
10672,149.09213,155
10682,149.08864,155
10693,150.67422,156
10702,150.67422,157
10713,152.24792,158
10722,152.25168,159
10732,153.972,160
10742,153.96759,161
10753,155.86299,162
10761,155.86201,163
10774,157.74005,164
10782,157.75294,164
10793,159.62437,165
10802,159.60745,166
10813,161.20729,167
10821,161.22537,168
10833,162.70155,169
10841,162.7113,170
10853,164.39046,171
10861,164.36081,172
10873,166.20679,173
10881,166.22017,173
10896,167.9078,174
10901,167.91571,175
10913,169.39984,176
10921,169.4101,177
10933,170.90424,178
10941,170.89929,179
10952,172.49677,180
10962,172.48294,181
10973,174.17049,180
10980,174.17711,180
10993,175.79942,179
11001,175.92293,178
11013,177.2433,177
11022,177.34982,176
11033,178.03209,175
11041,177.8407,174
11052,178.02989,173
11062,177.8968,172
11073,177.42944,171
11081,177.46109,171
11093,176.44746,170
11102,176.51518,169
11114,175.33075,168
11120,175.33075,167
11133,174.06657,166
11143,174.01758,165
11152,172.77843,164
11161,172.75319,163
11173,171.44992,162
11181,171.46439,162
11194,170.1091,161
11201,170.07825,160
11212,168.3693,159
11220,168.40823,158
11233,166.75798,157
11241,166.73839,156
11252,165.09357,155
11260,165.08168,154
11273,163.49214,153
11281,163.48906,153
11292,161.83093,152
11301,161.85071,151
11313,160.0353,150
11321,160.00656,149
11333,158.41534,148
11341,158.43289,147
11352,156.83868,146
11361,156.84872,145
11372,155.11566,144
11381,155.10588,144
11394,153.30673,143
11401,153.31694,142
11414,151.45595,141
