millis,真实角度,测量角度
6057,179.27855,180
6068,179.2791,180
6071,179.24567,180
6079,NaN,180
6092,179.51102,180
6098,179.51102,180
6112,NaN,180
6117,179.81337,180
6132,179.70859,180
6137,179.70859,180
6152,179.21242,180
6157,179.23561,180
6171,179.20352,180
6177,179.20352,180
6191,179.57664,180
6198,179.13521,180
6211,179.28645,180
6217,179.28645,180
6232,178.97798,180
6238,178.97798,180
6251,178.95338,180
6258,178.95338,180
6271,179.40785,180
6277,179.40785,180
6292,179.36635,180
6298,179.36635,180
6314,179.19498,180
6317,179.19547,180
6332,179.1649,180
6337,179.1649,180
6351,179.13452,180
6357,179.56976,180
6371,179.56976,180
6378,179.56976,180
6391,NaN,180
6398,NaN,180
6411,179.30507,180
6417,179.30507,180
6432,179.83449,180
6437,179.23102,180
6451,179.08421,180
6457,179.08421,180
6471,178.92754,180
6478,178.92754,180
6491,179.36266,180
6497,179.36266,180
6511,179.02904,180
6518,179.02904,180
6531,179.1607,180
6538,179.1607,180
6551,179.14226,179
6560,179.14293,179
6572,179.29556,177
6577,179.29556,177
6591,178.99869,176
6598,178.99869,175
6612,179.2467,174
6617,179.26993,173
6631,178.97511,172
6638,178.96486,171
6651,177.85088,170
6658,177.85088,170
6672,176.43745,168
6677,176.4267,168
6691,175.11392,167
6698,175.11392,166
6712,173.87062,165
6717,173.8602,164
6732,172.39728,163
6737,172.39728,162
6751,170.93338,161
6757,170.9231,161
6771,169.39221,159
6778,169.38202,159
6791,167.80536,158
6797,167.81555,157
6816,166.12117,156
6819,166.12117,155
6832,164.48347,154
6838,164.47316,153
6851,162.81825,152
6858,162.81906,152
6871,161.11684,150
6876,161.0974,150
6892,159.3696,149
6897,159.37831,148
6912,157.93358,147
6917,157.90637,146
6930,156.28023,145
6937,156.3016,144
6951,154.61241,143
6958,154.62431,143
6972,152.85918,141
6976,152.85918,141
6992,151.00557,140
6997,151.00557,139
7011,149.1379,138
7018,149.13762,137
7032,147.18463,136
7037,147.20511,136
7051,145.34181,134
7057,145.34181,134
7071,143.62085,133
7077,143.61914,132
7091,142.05286,131
7097,142.05386,130
7111,140.49817,129
7118,140.49718,128
7132,138.97679,127
7137,138.98709,127
7152,137.29486,125
7157,137.30516,125
7171,135.72954,124
7177,135.74979,123
7191,134.0163,122
7197,134.0467,121
7211,132.17221,120
7216,132.14633,120
7232,130.31633,118
7237,130.34184,118
7251,128.60966,117
7256,128.64456,116
7271,126.8328,115
7277,126.943085,114
7291,125.178345,113
7296,125.158844,112
7314,123.30667,111
7316,123.299515,111
7331,121.43822,109
7336,121.4402,109
7352,119.583954,107
7357,119.578575,107
7371,117.60694,106
7376,117.63953,105
7391,115.7347,104
7396,115.77616,103
7411,114.0885,102
7416,114.0885,102
7431,112.3969,100
7437,112.39797,100
7451,110.53958,99
7457,110.55238,98
7471,108.88093,97
7476,108.888504,96
7491,107.29183,95
7496,107.36823,94
7511,105.68018,93
7517,105.74654,93
7532,104.13845,91
7537,104.2862,91
7551,102.74571,89
7556,102.91064,89
7571,101.08177,90
7576,101.254,91
7590,99.49036,92
7597,99.61333,93
7611,98.37809,94
7616,98.48799,94
7631,98.11021,96
7636,98.10283,96
7651,98.06156,97
7656,98.03207,98
7672,97.991646,99
7676,98.001686,100
7691,98.28085,101
7697,98.21211,102
7711,99.07402,103
7716,98.941826,103
7731,100.24812,105
7736,100.160416,105
7751,101.59748,106
7756,101.47129,107
7771,103.25382,108
7776,103.1661,109
7792,105.034676,110
7796,104.98769,110
7812,106.659546,112
7817,106.59432,112
7831,108.20771,113
7836,108.18398,114
7851,110.07465,115
7856,110.05171,116
7871,111.89498,117
7876,111.86407,118
7891,113.706604,119
7896,113.706345,119
7912,115.34265,121
7916,115.35013,121
7930,116.920425,122
7936,116.9429,123
7951,118.57661,124
7956,118.53506,125
7971,120.49953,126
7976,120.48862,126
7990,122.50218,128
7996,122.483284,128
8011,124.32089,130
8016,124.310394,130
8031,125.869064,131
8036,125.87874,132
8050,127.50679,133
8056,127.51447,134
8073,129.18091,135
8075,129.18906,135
8092,131.15042,137
8095,131.16583,137
8111,133.25766,139
8116,133.22581,139
8131,135.11588,140
8136,135.10654,141
8151,136.78297,142
8156,136.79295,143
8170,138.48912,144
8177,138.4788,145
8191,140.20021,146
8196,140.21036,146
8211,142.11841,148
8216,142.1079,148
8230,144.03986,149
8235,144.03986,150
8251,145.86304,151
8256,145.86304,152
8271,147.71825,153
8275,147.71825,153
8290,149.50911,155
8295,149.50911,155
8311,151.0353,157
8318,151.0353,157
8332,152.71677,158
8336,152.71677,159
8351,154.5805,160
8356,154.5805,161
8371,156.55214,162
8375,156.54205,162
8391,158.4096,164
8396,158.41927,164
8411,160.03625,166
8415,160.03625,166
8431,161.52301,167
8436,161.53317,168
8451,163.04532,169
8455,163.03561,170
8470,164.90761,171
8476,164.92714,171
8491,166.93715,173
8496,166.93715,173
8511,168.53351,175
8516,168.53351,175
8531,169.92696,176
8535,169.93735,177
8551,171.57874,178
8555,171.60565,179
8572,173.3196,180
8575,173.30846,180
8590,175.08307,180
8597,175.06612,180
8610,176.86163,178
8615,176.799,178
8630,177.9051,177
8636,177.9051,176
8650,178.32777,175
8655,178.32777,174
8670,178.40665,173
8675,178.40665,173
8691,178.07898,171
8695,178.24231,171
8711,177.22745,169
8716,177.22745,169
8731,175.80894,168
8736,175.79802,167
8750,174.41591,166
8755,174.41399,165
8771,173.0405,164
8776,173.03943,164
8791,171.69672,162
8795,171.69672,162
8810,170.35623,160
8815,170.32204,160
8830,168.64471,159
8834,168.64471,158
8851,166.90045,157
8856,166.9101,156
8870,165.10791,155
8875,165.12091,155
8891,163.41956,153
8895,163.42017,153
8911,161.88908,151
8915,161.87862,151
8931,160.25374,150
8935,160.24422,149
8951,158.60115,148
8955,158.60071,147
8972,157.02023,146
8975,157.03036,146
8991,155.20795,144
8994,155.19748,144
9010,153.53674,142
9015,153.5371,142
9031,151.75783,141
9035,151.77167,140
9050,150.02724,139
9054,150.02368,138
9071,148.16951,137
9077,148.16902,137
9091,146.42061,135
9094,146.41049,135
9111,144.79631,133
9114,144.7962,133
9130,143.15439,132
9134,143.15398,131
9151,141.476,130
9156,141.47566,129
9170,139.96767,128
9174,139.96736,128
9191,138.2066,126
9195,138.2172,126
9211,136.35092,124
9216,136.35045,124
9230,134.59483,123
9234,134.59477,122
9250,132.68134,121
9255,132.69052,120
9271,130.75026,119
9275,130.75,119
9290,128.92252,117
9294,128.92255,117
9310,127.28612,115
9315,127.28612,115
9331,125.42256,114
9335,125.45242,113
9351,123.73003,112
9355,123.7406,111
9370,121.8393,110
9374,121.84956,110
9390,119.8668,108
9394,119.86932,108
9411,118.114655,106
9414,118.11362,106
9431,116.46788,105
9435,116.45227,104
9450,114.635994,103
9454,114.66615,102
9470,112.94993,101
9474,112.99602,101
9490,111.16076,99
9494,111.22342,99
9511,109.51945,97
9514,109.52425,97
9531,107.891815,96
9534,107.90179,95
9551,106.34909,94
9554,106.35718,93
9571,104.63332,92
9576,104.71103,92
9590,103.01951,90
9594,103.16813,90
9611,101.443245,90
9615,101.61245,90
9630,99.89249,91
9634,100.01397,92
9651,98.60715,93
9654,98.728165,94
9671,98.007706,95
9674,98.054634,95
9691,97.91719,97
9695,97.90333,97
9711,97.85956,99
9715,97.844315,99
9732,98.07059,100
9735,98.007416,101
9751,98.69416,102
9754,98.596214,103
9770,99.83282,104
9774,99.73875,104
9790,101.18639,106
9795,101.10067,106
9810,102.707634,108
9814,102.63798,108
9833,104.24983,109
9834,104.15359,110
9851,105.96816,111
9854,105.93089,112
9870,107.63348,113
9874,107.60225,113
9891,109.64893,115
9894,109.6272,115
9912,111.37822,117
9915,111.38092,117
9931,112.92789,118
9934,112.969574,119
9952,114.68514,120
9954,114.66442,121
9971,116.467316,122
9973,116.43028,122
9991,118.26335,124
9995,118.21248,124
10011,119.99512,126
10015,119.992355,126
10030,121.65539,127
10034,121.6471,128
10050,123.557396,129
10054,123.55682,129
10071,125.414474,131
10074,125.413895,131
10091,127.24458,133
10094,127.244286,133
10110,128.99805,134
10115,128.99702,135
10130,130.7879,136
10134,130.77841,137
10150,132.77254,138
10153,132.77177,138
10170,134.79701,140
10175,134.79672,140
10190,136.53616,142
10195,136.53616,142
10210,138.05466,143
10213,138.04393,144
10230,139.71948,145
10234,139.72993,145
10251,141.66663,147
10255,141.65549,147
10270,143.7175,149
10273,143.71883,149
10290,145.4401,150
10294,145.43797,151
10311,147.09984,152
10313,147.10252,152
10331,148.6737,154
10335,148.67331,154
10350,150.3832,156
10354,150.3695,156
10370,151.90237,158
10374,151.9061,158
10391,153.61201,159
10393,153.61201,160
10410,155.35315,161
10414,155.35315,161
10431,157.37268,163
10433,157.37299,163
10451,159.17233,165
10453,159.17233,165
10470,160.74387,166
10474,160.72469,167
10490,162.26155,168
10494,162.28166,168
10510,164.05696,170
10514,164.05634,170
10531,165.90056,172
10533,165.89029,172
10550,167.51126,174
10554,167.51126,174
10570,168.9992,175
10574,169.00868,176
10592,170.60179,177
10594,170.60199,177
10611,172.47809,179
10613,172.44849,179
10633,174.31517,181
10634,174.36073,181
10650,176.06114,179
10654,176.06165,179
10671,177.47322,178
10673,177.47322,177
10690,178.41997,176
10694,178.40652,176
10710,178.55315,174
10714,178.54182,174
10731,178.10101,172
10735,178.11789,172
10751,177.36508,170
10753,177.36508,170
10770,176.4734,169
10773,176.4734,168
10790,175.16869,167
10794,175.11409,167
10811,173.9133,165
10813,173.95444,165
10831,172.48553,163
10834,172.48553,163
10852,171.19043,161
10854,171.19043,161
10870,169.8107,160
10873,169.80933,159
10890,168.1988,158
10893,168.18974,158
10911,166.39659,156
10913,166.41142,156
10930,164.7025,154
10934,164.7025,154
10950,163.23546,153
10953,163.2349,152
10970,161.57976,151
10973,161.59792,151
10990,159.7509,149
10993,159.7395,149
11011,158.21315,147
11013,158.19348,147
11030,156.69171,145
11033,156.69116,145
11051,155.08006,144
11053,155.06429,143
11071,153.2592,142
11073,153.26407,142
11091,151.2755,140
11093,151.2755,140
11111,149.30637,138
11113,149.30621,138
11130,147.51765,137
11133,147.51765,136
11150,146.0347,135
11152,146.03455,135
11171,144.37865,133
11173,144.3783,133
11190,142.59578,131
11192,142.59592,131
11210,141.06763,129
11212,141.0673,129
11230,139.76039,128
11233,139.76039,127
11251,138.12526,126
11253,138.12526,125
11270,136.35123,124
11272,136.34082,124
11291,134.35243,122
11293,134.35191,122
11310,132.29489,120
11313,132.30487,120
11330,130.47287,118
11332,130.47287,118
11351,128.78084,117
11353,128.78053,116
11370,126.94068,115
11373,126.94066,115
11391,125.07199,113
11393,125.082245,113
11410,123.24525,111
11412,123.25698,111
11431,121.36945,110
11432,121.3777,109
11451,119.52377,108
11453,119.52449,108
11471,117.637085,106
11473,117.640656,106
11491,115.79842,104
11493,115.800095,104
11510,114.12987,102
11512,114.15662,102
11531,112.66841,101
11532,112.72393,100
11550,110.94273,99
11552,110.95806,99
11570,109.20985,97
11572,109.21207,97
11591,107.42675,95
11593,107.434204,95
11610,105.78037,93
11612,105.79335,93
11630,104.11907,92
11633,104.23939,91
11651,102.71377,90
11653,102.81117,90
11670,101.09736,90
11672,101.1621,90
11690,99.282425,92
11692,99.37495,92
11710,98.031906,94
11713,98.146935,94
11729,97.506424,95
11732,97.58529,96
11749,97.48198,97
11752,97.47251,97
