millis,真实角度,测量角度
6245,178.2519,180
6246,178.27989,180
6264,178.27989,180
6267,178.27989,180
6283,178.27376,180
6286,178.30211,180
6305,178.30211,180
6308,178.2928,180
6325,178.30638,180
6326,178.33528,180
6345,178.33528,180
6346,178.36458,180
6364,178.36458,180
6365,178.39465,180
6383,178.54358,180
6386,178.57701,180
6404,178.41823,180
6405,178.41823,180
6423,178.41823,180
6425,178.44934,180
6444,178.63829,180
6445,178.62685,180
6463,178.42406,180
6465,178.45515,180
6484,178.45515,180
6486,178.28423,180
6504,178.4525,180
6505,178.48419,180
6524,178.51562,180
6526,178.54869,180
6543,178.36374,180
6546,178.39392,180
6569,178.39392,180
6575,178.39392,180
6583,178.38759,180
6586,178.2519,180
6603,178.2519,180
6606,178.27979,180
6624,178.44757,180
6625,178.63757,180
6644,178.46341,180
6646,178.32147,180
6664,178.29395,180
6666,178.164,180
6683,178.3203,180
6686,178.34946,180
6704,178.21086,180
6705,178.21086,180
6724,178.21086,180
6725,178.2383,180
6744,178.2383,180
6745,178.43364,180
6763,178.62001,180
6765,178.62001,180
6784,178.62001,180
6785,178.46393,180
6803,178.28822,180
6806,178.31682,180
6824,178.45795,180
6825,178.45795,180
6844,178.28275,180
6846,178.31113,180
6863,178.33105,180
6865,178.36075,180
6884,178.36075,180
6885,178.36075,180
6903,178.51509,180
6905,178.54788,180
6924,178.36314,180
6925,178.39319,180
6944,178.39319,180
6945,178.42355,180
6963,178.63327,180
6964,178.63327,180
6982,178.63327,180
6985,178.47415,180
7004,178.29716,180
7005,178.14185,180
7023,178.14185,180
7025,178.16826,180
7044,178.32521,180
7044,178.4991,180
7072,178.4991,180
7074,178.5318,180
7082,178.34886,180
7084,178.25224,180
7103,178.25224,180
7105,178.25224,180
7123,178.41736,180
7125,178.44821,180
7143,178.24643,180
7146,178.27455,180
7162,178.30246,180
7164,178.30246,180
7183,178.30246,180
7185,178.33118,180
7203,178.33118,180
7204,178.1733,180
7223,178.33058,180
7225,178.36015,180
7243,178.36015,180
7244,178.36015,180
7263,178.1943,180
7264,178.38577,180
7282,178.38577,180
7284,178.38577,180
7303,178.56606,180
7305,178.41551,180
7326,178.41551,180
7327,178.48793,180
7343,178.48793,180
7344,178.48793,180
7364,178.30974,180
7364,178.33858,180
7383,178.33858,178
7384,178.33858,178
7402,178.33858,173
7405,178.36806,173
7423,178.38106,168
7425,178.24588,168
7443,178.0287,163
7445,178.0287,163
7463,176.16182,158
7464,176.15973,158
7483,173.08917,153
7484,173.07,153
7502,169.4446,148
7504,169.42834,148
7523,165.27951,143
7525,165.28804,143
7543,161.01562,138
7544,161.00752,138
7566,156.54143,133
7571,156.52548,133
7582,151.91608,128
7585,151.91608,128
7602,147.05585,123
7604,147.05609,123
7622,142.05843,118
7624,142.05988,118
7643,137.33128,113
7645,137.32106,113
7663,132.46727,108
7664,132.47884,108
7683,127.46232,103
7685,127.46189,103
7702,122.278275,98
7704,122.27141,98
7722,117.12233,93
7724,117.124825,93
7742,111.97212,89
7745,111.97345,89
7762,106.85288,89
7763,106.85288,89
7783,101.94016,89
7783,101.93923,89
7803,97.788895,89
7804,97.80061,89
7822,94.7892,89
7825,94.80177,89
7843,93.12404,89
7844,93.130455,89
7863,92.23504,89
7864,92.2395,89
7882,91.79361,89
7884,91.80419,89
7902,91.75383,89
7904,91.75383,89
7923,91.745964,89
7923,91.73628,89
7942,91.73517,89
7945,91.73517,89
7962,91.7273,89
7964,91.72621,89
7983,91.71928,89
7983,91.728966,89
8001,91.71323,89
8005,91.70713,89
8022,91.70713,89
8024,91.71212,89
8042,91.7052,89
8045,91.7052,89
8063,91.68946,89
8064,91.683365,89
8083,91.68319,89
8084,91.688194,89
8102,91.688194,89
8104,91.68799,89
8122,91.68012,89
8125,91.67512,89
8142,91.67512,89
8145,91.67402,89
8162,91.6671,89
8164,91.67177,89
8183,91.67183,89
8184,91.67183,89
8201,91.6649,89
8205,91.6647,89
8221,91.66565,89
8224,91.66565,89
8243,91.6647,89
8244,91.6636,89
8261,91.65651,89
8265,91.65651,89
8282,91.65651,89
8284,91.66129,89
8302,91.66129,89
8304,91.66598,89
8323,91.65889,89
8324,91.65389,89
8342,91.65389,89
8344,91.65279,89
8362,91.65279,89
8364,91.65258,89
8381,91.64565,89
8384,91.64565,89
8402,91.64661,89
8404,91.64661,89
8422,91.64565,89
8424,91.64455,89
8441,91.63841,89
8443,91.63841,89
8462,91.63841,89
8464,91.63821,89
8482,91.63725,89
8483,91.63725,89
8501,91.63111,89
8503,91.630005,89
8522,91.630005,89
8524,91.630005,89
8542,91.630005,89
8544,91.63091,89
8562,91.622856,89
8564,91.62176,89
8582,91.62271,89
8584,91.6224,89
8601,91.6224,89
8603,91.6272,89
8621,91.6272,89
8623,91.6272,89
8642,91.62011,89
8644,91.615105,89
8661,91.616066,89
8665,91.61995,89
8682,91.62018,89
8684,91.62018,89
8701,91.62018,89
8703,91.62018,89
8722,91.61326,89
8724,91.61215,89
8742,91.61198,89
8745,91.60699,89
8762,91.60699,89
8764,91.60789,89
8782,91.600975,89
8784,91.59986,89
8801,91.59986,89
8804,91.59986,89
8821,91.59969,89
8825,91.59858,89
8842,91.59858,89
8844,91.59949,89
8862,91.59949,89
8864,91.594505,89
8881,91.58757,89
8883,91.58646,89
8901,91.586296,89
8903,91.586296,89
8920,91.587265,89
8924,91.587265,89
8942,91.587265,89
8944,91.58616,89
8961,91.58502,89
8964,91.58592,89
8981,91.579,89
8985,91.58258,89
9001,91.58258,89
9004,91.57789,89
9021,91.57789,89
9023,91.58349,89
9042,91.58331,89
9044,91.58221,89
9060,91.57529,89
9064,91.576195,89
9081,91.57716,89
9084,91.57716,89
9102,91.576195,89
9104,91.579765,89
9121,91.580574,89
9124,91.57589,89
9142,91.57589,89
9144,91.57589,89
9161,91.57589,89
9163,91.57568,89
9181,91.56881,89
9184,91.56881,89
9201,91.56881,89
9204,91.56881,89
9220,91.56881,89
9224,91.573296,89
9241,91.573296,89
9244,91.56362,89
9261,91.56362,89
9264,91.563416,89
9281,91.56324,89
9284,91.56793,89
9301,91.56793,89
9303,91.56682,89
9322,91.5599,89
9325,91.5599,89
9341,91.5599,89
9343,91.56081,89
9361,91.56081,89
9365,91.5597,89
9380,91.5605,89
9384,91.5605,89
9402,91.5605,89
9405,91.55643,89
9421,91.54951,89
9424,91.54951,89
9440,91.54951,89
9444,91.5484,89
9461,91.54823,89
9464,91.54823,89
9481,91.54823,89
9483,91.54803,89
9500,91.54901,89
9504,91.54901,89
9521,91.54901,89
9523,91.54901,89
9540,91.548836,89
9544,91.54975,89
9561,91.54975,89
9564,91.548645,89
9580,91.548645,89
9584,91.548645,89
9601,91.548645,89
9604,91.55222,89
9621,91.545135,89
9624,91.54605,89
9642,91.54605,89
9644,91.54493,89
9661,91.54493,89
9664,91.54493,89
9681,91.54493,89
9683,91.545845,89
9700,91.54567,89
9704,91.53489,89
9721,91.52818,89
9723,91.52818,89
9740,91.52818,89
9744,91.53379,89
9760,91.53477,93
9764,91.52897,94
9780,91.53589,98
9783,91.54058,99
9800,91.711685,103
9804,91.70537,104
9820,93.30763,108
9824,93.30215,109
9841,96.264435,113
9844,96.26244,114
9861,99.94556,118
9864,99.944565,119
9881,104.162994,123
9884,104.162994,124
9902,108.63921,128
9904,108.63837,129
9921,113.32922,133
9925,113.32592,134
9940,118.11146,138
9945,118.11221,139
9961,123.1651,143
9963,123.17311,144
9981,128.20093,148
9984,128.19917,149
10001,133.21446,153
10004,133.20483,154
10019,138.21307,158
10024,138.20325,159
10041,143.29932,163
10044,143.29932,164
10061,148.41028,168
10064,148.41028,169
10081,153.38669,173
10084,153.3944,174
10100,158.42523,178
10104,158.43933,179
10120,163.2304,181
10123,163.2443,181
10139,168.17302,181
10144,168.18518,181
10160,172.37988,181
10163,172.37056,181
10180,175.52867,181
10184,175.52867,181
10200,177.06929,181
10204,177.01424,181
10221,177.80055,181
10223,177.80055,181
10240,177.94272,181
10244,177.97261,181
10260,178.00247,181
10264,178.00247,181
10280,178.00954,181
10283,178.03249,181
10301,178.08879,181
10304,178.08879,181
10321,178.10008,181
10323,178.15718,181
10340,178.00502,181
10344,178.00502,181
10361,178.19203,181
10364,178.04375,181
