A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3
0.6680908,0.1675415,0.12750244,3.286316,0.85821533,3.9073486,0.4650879,0.19622803,0.50115967,0.49194336,3.671814,0.63165283,0.9213867,0.026611328,3.6171265,3.9386597,3.126648,3.9663696,3.8223267,3.5476074,3.4039917,0.15454102,3.7167969,0.7352905,3.9611816,3.1401978,0.246521,3.5545044,3.560608,0.2942505,0.3493042,0.77349854,0.11853027,0.8421631,0.18981934,3.5095215,3.8928833,3.1694336,3.7109985,0.46392822
0.6680298,0.16809082,0.1281128,3.286499,0.85809326,3.9074707,0.465271,0.19622803,0.50115967,0.49194336,3.671814,0.63171387,0.9213867,0.026611328,3.6171265,3.9387207,3.1290894,0.078308105,0.064697266,3.519104,3.3883667,0.07324219,3.7609863,0.75061035,3.9611816,3.1401367,0.24645996,3.5545044,3.560608,0.29437256,0.3493042,0.7734375,0.11853027,0.8422241,0.18981934,3.5095825,3.8929443,3.1694336,3.7110596,0.46392822
0.6680298,0.16790771,0.12792969,3.286438,0.85858154,3.9075317,0.46435547,0.19622803,0.50115967,0.49194336,3.671814,0.63165283,0.9213867,0.026611328,3.6171265,3.9387207,3.1230469,0.057800293,3.979004,3.5232544,3.3826904,0.10418701,3.7227783,0.7288208,3.9613037,3.1401367,0.24645996,3.5545044,3.5603638,0.2942505,0.34918213,0.77337646,0.11853027,0.8422241,0.18981934,3.5095825,3.8929443,3.1694336,3.7110596,0.46392822
0.6680298,0.16784668,0.12786865,3.286438,0.85858154,3.9074707,0.4644165,0.19628906,0.50115967,0.49194336,3.671814,0.63171387,0.9213257,0.026611328,3.6171265,3.9387207,3.1235352,0.049072266,3.972412,3.5216675,3.383728,0.10675049,3.718689,0.7277832,3.9613037,3.1401367,0.24645996,3.5545044,3.5603638,0.2942505,0.34924316,0.77337646,0.11853027,0.8422241,0.18981934,3.5095825,3.8929443,3.1694336,3.7110596,0.46392822
0.6680298,0.16772461,0.12756348,3.286316,0.8586426,3.9075317,0.4642334,0.19628906,0.50115967,0.4920044,3.671814,0.63165283,0.9213867,0.026611328,3.6171265,3.9387817,3.1101685,0.02178955,3.9035034,3.5544434,3.37677,0.1361084,3.7301025,0.72125244,3.9613037,3.1401367,0.246521,3.5545044,3.5603027,0.29412842,0.3491211,0.7734375,0.1184082,0.8422241,0.18981934,3.5095825,3.8929443,3.1694336,3.7110596,0.46392822
0.6680298,0.16827393,0.12792969,3.286499,0.8585205,3.9075317,0.4645996,0.19622803,0.5012207,0.49194336,3.671875,0.63165283,0.9213867,0.026733398,3.6172485,3.9388428,3.1200562,0.10736084,0.028869629,3.538086,3.4419556,0.0881958,3.7202148,0.7761841,3.9611816,3.1401367,0.24645996,3.5545044,3.560608,0.2944336,0.34936523,0.77337646,0.1184082,0.84228516,0.18981934,3.5096436,3.8930664,3.1694336,3.7109985,0.46392822
0.66796875,0.16827393,0.12805176,3.286499,0.8586426,3.9077759,0.4644165,0.19616699,0.5012207,0.49194336,3.671875,0.63171387,0.9213867,0.026733398,3.6171875,3.9387817,3.1290283,0.1361084,0.097229004,3.5379028,3.4674683,0.058044434,3.7123413,0.7938843,3.9612427,3.1401367,0.24645996,3.5545044,3.5603638,0.2942505,0.3491211,0.7734375,0.11846924,0.8422241,0.18981934,3.5095825,3.8929443,3.1693726,3.7110596,0.4638672
0.6680908,0.16741943,0.12731934,3.286255,0.8588257,3.9075928,0.46392822,0.1963501,0.50115967,0.49194336,3.671814,0.63171387,0.9213867,0.026672363,3.6171875,3.9388428,3.1134033,0.006713867,3.8742065,3.5548706,3.378418,0.18164062,3.7099,0.70458984,3.9613647,3.1401367,0.24645996,3.5545044,3.5602417,0.29412842,0.3491211,0.7734375,0.1184082,0.8422241,0.18988037,3.5095215,3.8929443,3.1693726,3.7110596,0.4638672
0.6680298,0.16723633,0.1272583,3.2861938,0.85839844,3.9075928,0.46484375,0.19616699,0.50109863,0.4920044,3.671814,0.63171387,0.92144775,0.026672363,3.6173096,3.9389038,3.1125488,3.9857178,3.847229,3.5653076,3.3305664,0.18804932,3.7247925,0.6639404,3.9614258,3.1401978,0.246521,3.5545044,3.5603027,0.29431152,0.34918213,0.7733154,0.11834717,0.8422241,0.1899414,3.5095825,3.8931274,3.1693115,3.7109985,0.46368408
0.6680298,0.16687012,0.12683105,3.2860107,0.85821533,3.9077148,0.4650879,0.19622803,0.50115967,0.49194336,3.671875,0.63171387,0.92144775,0.026733398,3.6173096,3.9389038,3.1139526,3.9804688,3.8305054,3.5687866,3.3244019,0.18963623,3.729065,0.65893555,3.9611206,3.1401367,0.246521,3.5545044,3.5604858,0.29418945,0.34906006,0.7735596,0.11834717,0.8422241,0.1899414,3.5095825,3.8931274,3.1693115,3.7109985,0.46368408
