millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3142,82.636055,-24.61665,-3.6312773,-67.01498,-51.867054,5.8897977,-94.50437,-84.0328,4.58836,-61.967796,-45.307533,-3.9742453,-128.67122,5.5636263,0.33721015,57.639698,-0.9318293,-2.1654341,92.64164,8.286935,15.634549,31.34956,-19.015455,-0.95672804,-164.29,54.176308,9.228424,-107.19778,54.04759,3.9069889
3191,82.63595,-24.61153,-3.6269102,-67.01498,-51.867054,5.8897977,-94.50412,-84.032585,4.5917983,-61.967796,-45.307533,-3.9742453,-128.67122,5.5636263,0.33721015,57.639698,-0.9318293,-2.1654341,92.63116,8.281531,15.62836,31.34956,-19.015455,-0.95672804,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
3222,82.63595,-24.61153,-3.6269102,-67.026,-51.869457,5.891404,-94.50437,-84.0328,4.58836,-61.968536,-45.313396,-3.97116,-128.67122,5.5636263,0.33721015,57.639908,-0.93520236,-2.1593065,92.641396,8.281186,15.629397,31.355215,-19.016554,-0.9570815,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
3271,82.63595,-24.61153,-3.6269102,-67.01498,-51.867054,5.8897977,-94.51806,-84.02688,4.599066,-61.968536,-45.313396,-3.97116,-128.67102,5.566646,0.3309092,57.639698,-0.9318293,-2.1654341,92.6314,8.287282,15.63351,31.34956,-19.015455,-0.95672804,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
3302,82.63595,-24.61153,-3.6269102,-67.01498,-51.867054,5.8897977,-94.511406,-84.03198,4.5952907,-61.966923,-45.316082,-3.9768195,-128.66913,5.5663476,0.33074433,57.639698,-0.9318293,-2.1654341,92.63116,8.281531,15.62836,31.355215,-19.016554,-0.9570815,-164.29564,54.179356,9.219062,-107.19778,54.04759,3.9069889
3350,82.63595,-24.61153,-3.6269102,-67.02648,-51.874817,5.8939404,-94.511406,-84.03198,4.5952907,-61.967655,-45.32194,-3.9737327,-128.66913,5.5663476,0.33074433,57.639698,-0.9318293,-2.1654341,92.63139,8.282557,15.628665,31.355215,-19.016554,-0.9570815,-164.29564,54.179356,9.219062,-107.19778,54.04759,3.9069889
3382,82.63595,-24.61153,-3.6269102,-67.01498,-51.867054,5.8897977,-94.511406,-84.03198,4.5952907,-61.968536,-45.313396,-3.97116,-128.66913,5.5663476,0.33074433,57.639698,-0.9318293,-2.1654341,92.6314,8.287282,15.63351,31.349346,-19.008797,-0.95496005,-164.29564,54.179356,9.219062,-107.19778,54.04759,3.9069889
3403,82.63595,-24.61153,-3.6269102,-67.01498,-51.867054,5.8897977,-94.511406,-84.03198,4.5952907,-61.968536,-45.313396,-3.97116,-128.6778,5.566513,0.33044675,57.639698,-0.9318293,-2.1654341,92.63139,8.282557,15.628665,31.34956,-19.015455,-0.95672804,-164.29564,54.179356,9.219062,-107.19778,54.04759,3.9069889
3461,82.63595,-24.61153,-3.6269102,-67.02648,-51.874817,5.8939404,-94.50437,-84.0328,4.58836,-61.969265,-45.319263,-3.968073,-128.6778,5.566513,0.33044675,57.639698,-0.9318293,-2.1654341,92.63139,8.282557,15.628665,31.355215,-19.016554,-0.9570815,-164.28444,54.177902,9.222243,-107.20445,54.042397,3.9040644
3483,82.63595,-24.61153,-3.6269102,-67.02648,-51.874817,5.8939404,-94.50437,-84.0328,4.58836,-61.969265,-45.319263,-3.968073,-128.6778,5.566513,0.33044675,57.639698,-0.9318293,-2.1654341,92.6314,8.287282,15.63351,31.34956,-19.015455,-0.95672804,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
