millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
32920,-73.443756,25.900873,-9.730001,130.75337,51.087105,-12.368377,134.24138,5.097778,0.8214034,-89.04097,8.604944,-1.2915967,92.63589,1.5131758,-2.1116083,13.547094,-2.2217107,-3.2728007
32935,-72.82843,25.391148,-9.643281,131.62692,50.754948,-12.179712,134.23299,5.097704,0.8210973,-89.02228,8.590403,-1.2952054,92.63611,1.508323,-2.1168253,13.546626,-2.2503052,-3.2691422
32942,-72.38767,25.081247,-9.624163,132.23259,50.536118,-12.168594,134.2349,5.098009,0.8210226,-88.994225,8.566104,-1.2981913,92.63642,1.4984368,-2.11706,13.546626,-2.2503052,-3.2691422
32952,-72.14039,25.053055,-9.745081,132.53781,50.516888,-12.409516,134.22652,5.0979357,0.8207165,-88.97491,8.556457,-1.2968254,92.62623,1.508166,-2.1168032,13.540159,-2.228865,-3.2735097
32962,-72.04821,25.291475,-10.16194,132.58592,50.7046,-13.088069,134.21861,5.09142,0.823126,-88.95558,8.546804,-1.2954625,92.616234,1.522703,-2.1116447,13.54069,-2.177779,-3.288591
32974,-72.14153,25.975348,-11.161579,132.23381,51.312645,-14.320966,134.21022,5.0913463,0.8228202,-88.93686,8.527292,-1.2942207,92.60656,1.5273553,-2.1067216,13.525691,-2.120915,-3.2954845
32984,-72.48847,27.07317,-12.957281,131.58676,51.984585,-16.202961,134.21243,5.087919,0.83189946,-88.91753,8.522615,-1.2977378,92.60677,1.5321659,-2.10182,13.519421,-2.0925362,-3.2990427
32994,-73.029,27.969343,-15.496181,131.00142,52.200493,-18.648293,134.22813,5.0775843,0.84445345,-88.898285,8.512543,-1.2967021,92.59646,1.5565926,-2.0964355,13.51269,-2.0624905,-3.316488
33005,-73.77388,28.49834,-18.51029,130.6056,51.858055,-21.331291,134.23413,5.0837927,0.8421171,-88.87884,8.503312,-1.2950374,92.57679,1.5806231,-2.0813098,13.520891,-1.9687188,-3.3336995
33016,-74.64206,28.610826,-21.573086,130.39677,51.044342,-23.944077,134.24301,5.0774236,0.84513736,-88.85022,8.48846,-1.2982675,92.556786,1.6145457,-2.0659642,13.522195,-1.8821023,-3.3516262
33026,-75.58749,28.425138,-24.306274,130.31682,49.928112,-26.262804,134.24232,5.0865717,0.84886104,-88.841446,8.473817,-1.3026531,92.54677,1.6339263,-2.055767,13.523601,-1.8110325,-3.357307
