millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
2117,146.90868,-22.628649,-26.534147,49.9396,-29.890612,-4.3798018,10.681859,34.90955,53.41371,84.389824,40.844444,11.363345,132.29533,31.830376,46.165104,40.145267,37.987324,30.11294,-166.76578,37.838387,-2.7179303,39.614395,53.055798,32.944195,140.92339,33.77923,27.973396,-139.54286,75.74022,11.947581,-70.219696,44.05114,6.320383
2155,147.02702,-22.587029,-26.628338,50.334587,-29.946909,-4.3357344,11.959006,34.79787,53.4527,84.36966,40.751667,11.166104,132.42247,31.725359,46.42112,40.952858,37.73866,30.048016,-166.69278,37.85759,-2.3814983,39.549816,52.98591,33.12117,140.91457,33.681175,28.264578,-139.64545,75.61707,11.884414,-70.31616,44.040787,6.1023445
2180,147.07428,-22.817062,-26.865044,50.649372,-30.066465,-4.174372,13.09708,34.685883,53.479946,84.31744,40.58604,11.003307,132.62665,31.580442,46.694237,41.64575,37.46188,30.008991,-166.51897,37.884937,-2.0390258,39.683365,52.934895,33.301746,140.97511,33.566624,28.593584,-140.23009,75.41233,11.888174,-70.41595,44.002193,5.8892827
2194,147.02545,-22.979769,-26.936682,50.993828,-30.156307,-4.167339,13.979126,34.542126,53.54453,84.214424,40.448334,10.851966,132.83537,31.469828,46.965305,42.242916,37.17971,29.95782,-166.33708,37.97348,-1.6550301,39.6523,52.926186,33.472572,141.01581,33.47992,28.934942,-140.98402,75.23333,11.837371,-70.50103,44.056465,5.7069497
2206,146.9336,-23.085531,-26.81469,51.301678,-30.245176,-4.1888847,14.513547,34.485367,53.53184,84.106224,40.32534,10.7305155,133.1538,31.379036,47.378944,42.844482,36.93625,29.779415,-166.27159,38.096474,-1.1396273,39.334644,52.947598,33.640617,140.96619,33.42797,29.359003,-141.27263,75.12022,11.630563,-70.6453,44.116173,5.3991914
2240,146.79985,-24.344088,-27.408508,52.77967,-31.335997,-3.488591,18.39068,33.609035,53.96268,83.77353,39.251503,9.867031,134.53575,30.39457,49.088333,44.855408,35.440437,29.494604,-165.82289,38.163433,0.8341916,39.09177,52.601887,34.74419,141.42712,32.628044,31.245014,-143.31743,73.765015,11.739182,-71.226814,43.843697,3.9281025
2253,146.912,-24.742527,-27.984816,53.366203,-31.420937,-2.8824244,20.444809,33.203518,54.146343,83.585434,38.829727,9.356149,135.20862,30.00431,49.846317,45.46032,34.81453,29.33264,-165.60735,38.19599,1.5071651,39.34918,52.49438,35.121025,141.64545,32.314743,31.894323,-144.01747,73.23921,11.794713,-71.58894,43.70429,3.3081787
2264,147.69037,-24.552195,-29.357521,53.956875,-31.337347,-2.354281,23.44182,32.67168,54.272694,83.2707,38.341175,8.669319,135.87347,29.654568,50.577095,45.978825,34.08688,29.14824,-165.37772,38.176617,2.0713425,39.662872,52.430336,35.41339,141.74309,32.150066,32.377064,-144.50087,72.82821,11.787596,-71.87546,43.667812,2.8660235
2274,148.37843,-24.10909,-30.288195,54.454712,-31.204481,-2.230145,25.74603,32.35129,54.213585,82.99036,38.15491,8.121741,136.26999,29.519724,51.015,46.43892,33.615047,28.884628,-165.20166,38.28751,2.4433856,39.52494,52.51374,35.439285,141.72678,32.215004,32.753593,-145.08945,72.63333,11.59239,-72.075584,43.722946,2.6299615
2292,148.84128,-23.52109,-30.718311,54.75065,-31.061346,-2.3782403,26.776653,32.27489,54.00989,82.64615,38.053146,7.6607404,136.57867,29.477547,51.30872,46.815044,33.365135,28.565042,-164.95236,38.376343,2.642893,39.88567,52.63474,35.390007,141.7588,32.26644,32.9856,-145.97098,72.49114,11.373747,-72.253845,43.75174,2.4643877
