millis,A0,A1,A2,B0,B1,B2
2022,-164.22661,3.6666076,5.946163,17.583038,12.074455,-26.286089
2026,-164.22688,3.6656134,5.953079,17.509775,12.196773,-26.274744
2037,-164.22688,3.6656134,5.953079,17.31513,12.378669,-26.263283
2045,-164.2267,3.658704,5.952132,17.105234,12.657417,-26.2273
2055,-164.2267,3.658704,5.952132,16.844675,12.875342,-26.163086
2066,-164.2267,3.658704,5.952132,16.470762,12.998036,-26.073603
2075,-164.2267,3.658704,5.952132,16.047157,13.278253,-25.922815
2086,-164.2267,3.658704,5.952132,15.708904,13.874235,-25.63753
2096,-164.2267,3.658704,5.952132,15.307791,14.532306,-25.296501
2105,-164.2267,3.658704,5.952132,14.83092,15.161684,-25.018124
2126,-164.2267,3.658704,5.952132,14.285698,15.8660965,-24.920063
2127,-164.22646,3.6596975,5.9452157,13.779485,16.607471,-24.989279
2135,-164.2267,3.658704,5.952132,13.432238,17.25632,-25.087412
2145,-164.2267,3.658704,5.952132,13.142651,17.575329,-25.167751
2155,-164.2267,3.658704,5.952132,12.937635,17.604185,-25.177448
2166,-164.2267,3.658704,5.952132,12.846428,17.57408,-25.093325
2176,-164.2267,3.658704,5.952132,12.847245,17.462467,-24.987677
2186,-164.2267,3.658704,5.952132,12.85201,17.1975,-24.908945
2195,-164.22655,3.6517942,5.951184,12.816573,16.865763,-24.864864
2209,-164.22655,3.6517942,5.951184,12.766031,16.645733,-24.811945
2215,-164.22655,3.6517942,5.951184,12.665442,16.543179,-24.756979
2225,-164.22655,3.6517942,5.951184,12.496418,16.50041,-24.628338
2238,-164.22655,3.6517942,5.951184,12.261487,16.460487,-24.423475
2246,-164.22655,3.6517942,5.951184,12.008728,16.44256,-24.196648
2254,-164.22655,3.6517942,5.951184,11.776093,16.489536,-23.971502
2266,-164.22655,3.6517942,5.951184,11.58747,16.625423,-23.78079
2275,-164.22655,3.6517942,5.951184,11.421224,16.807322,-23.60762
2286,-164.22655,3.6517942,5.951184,11.246001,16.916193,-23.440222
2294,-164.22655,3.6517942,5.951184,11.080261,17.002518,-23.289017
2306,-164.22679,3.6508005,5.958101,10.950878,17.18874,-23.174812
2316,-164.22679,3.6508005,5.958101,10.813522,17.583576,-23.128708
2325,-164.22679,3.6508005,5.958101,10.6323595,18.014704,-23.145296
2334,-164.23401,3.6511922,5.957929,10.425964,18.38219,-23.144821
2345,-164.23401,3.6511922,5.957929,10.228074,18.764341,-23.136148
2355,-164.23401,3.6511922,5.957929,10.112359,19.302124,-23.064857
2365,-164.22655,3.6517942,5.951184,10.064271,20.078121,-22.944786
2374,-164.22655,3.6517942,5.951184,10.012252,20.907072,-22.796694
2385,-164.22679,3.6508005,5.958101,9.934943,21.726864,-22.606426
2395,-164.22696,3.6577103,5.9590473,9.918524,22.660992,-22.382195
