millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
5229,1.7954822,-1.1456888,-44.182713,159.16942,-5.4295692,-11.686768,135.95207,9.740934,7.7744026,-61.33738,17.38436,-25.311914,94.65061,1.9572165,2.3999581,-101.199356,2.1118283,-4.0217724,-49.931107,-23.79177,3.4529707
5240,1.8087676,-1.1406567,-44.176296,159.18195,-5.434676,-11.685739,135.95207,9.740934,7.7744026,-61.324066,17.386234,-25.309746,94.64112,1.9574301,2.3997974,-101.19849,2.1115735,-4.0216656,-49.897858,-23.798721,3.4491365
5253,1.8191096,-1.1418704,-44.17647,159.19652,-5.4333844,-11.686664,135.94469,9.748368,7.771207,-61.30816,17.384308,-25.31363,94.63124,1.9574568,2.3996103,-101.20826,2.1114652,-4.021921,-49.86884,-23.813917,3.4474776
5265,1.8294514,-1.1430842,-44.176643,159.21106,-5.432093,-11.687588,135.94469,9.748368,7.771207,-61.305332,17.380646,-25.3104,94.62175,1.9576707,2.3994496,-101.21718,2.1111019,-4.022069,-49.835827,-23.827091,3.4462957
5277,1.8397932,-1.1442975,-44.17681,159.22446,-5.4303513,-11.687874,135.94469,9.748368,7.771207,-61.288746,17.384415,-25.30793,94.62213,1.9578578,2.399476,-101.21718,2.1111019,-4.022069,-49.80678,-23.842289,3.4446185
5290,1.8501347,-1.145511,-44.17698,159.23817,-5.4359083,-11.687484,135.93645,9.748596,7.770475,-61.272835,17.382494,-25.311821,94.61265,1.9580717,2.3993154,-101.22609,2.1107385,-4.0222173,-49.773758,-23.855465,3.4434216
5304,1.8604761,-1.1467245,-44.17715,159.25272,-5.4346156,-11.688408,135.93645,9.748596,7.770475,-61.269558,17.38439,-25.311518,94.60277,1.9580986,2.3991282,-101.23499,2.110375,-4.0223656,-49.73619,-23.8632,3.4383109
5313,1.8734478,-1.141462,-44.177216,159.2663,-5.4316974,-11.68187,135.92717,9.7553005,7.767069,-61.256245,17.386263,-25.309343,94.59327,1.9583123,2.3989675,-101.244774,2.110267,-4.0226216,-49.707092,-23.87839,3.4366083
5326,1.883789,-1.1426753,-44.17739,159.28,-5.4372544,-11.681482,135.92879,9.758552,7.773697,-61.240322,17.38434,-25.313234,94.58378,1.9585258,2.3988066,-101.243904,2.1100116,-4.022514,-49.67404,-23.891562,3.4353883
5339,1.8941298,-1.1438886,-44.177555,159.29454,-5.4359627,-11.682405,135.92879,9.758552,7.773697,-61.23705,17.386234,-25.312933,94.57428,1.9587396,2.3986456,-101.25368,2.1099033,-4.022769,-49.644917,-23.906754,3.4336686
