millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
6796,95.63365,5.127862,10.005142,5.761897,15.918808,8.937615,151.66122,-27.834423,-60.49745,131.76726,-6.2291822,-49.951706,37.263485,4.105627,0.038168855,178.82423,-2.395525,-0.31125462
6806,95.5325,5.255185,10.024722,5.7059994,16.11081,8.861948,151.27252,-28.219578,-60.439663,131.44118,-6.8819532,-48.90321,37.296,3.5842195,-0.20944229,178.83711,-2.7451868,-0.3010084
6817,95.46169,5.393098,9.966757,5.707484,16.20572,8.739503,151.00362,-28.509048,-60.44214,131.10414,-7.5058193,-47.90138,37.296818,2.7999222,-0.554193,178.87006,-3.3606534,-0.28879267
6828,95.46084,5.597503,9.825361,5.7808433,16.183311,8.606128,150.81221,-28.74469,-60.421764,130.7304,-8.047875,-47.040882,37.25101,1.7813772,-0.9717838,178.86853,-4.2348566,-0.23124859
6837,95.52704,5.8037686,9.64332,5.9008436,16.137852,8.463909,150.51735,-29.07357,-60.248196,130.33356,-8.503039,-46.375416,37.147953,0.5785045,-1.4141017,178.81174,-5.3193884,-0.14809793
6849,95.64832,5.9868407,9.414164,6.0990796,15.918455,8.337075,150.22089,-29.39883,-60.052948,129.99706,-8.899767,-45.838036,37.091324,-0.5513341,-1.7859961,178.74219,-6.516156,-0.047957122
6859,95.85744,5.8817587,9.298365,6.345775,15.5628605,8.200809,150.23763,-29.427343,-60.11553,129.75423,-9.153784,-45.46512,37.1326,-1.540623,-2.0893068,178.71405,-7.559596,0.014126287
6875,95.97332,5.5628333,9.341533,6.619804,15.210075,8.017352,150.49265,-29.19813,-60.34041,129.63634,-9.21597,-45.4996,37.366302,-1.8475424,-2.241983,178.76219,-8.323877,0.033028707
6883,96.16249,5.517322,9.349452,6.9138575,14.863975,7.8357,150.72195,-28.95452,-60.435783,129.90991,-9.146135,-46.249813,37.517773,-1.808579,-2.3282955,178.96231,-8.569666,-0.028326286
6892,96.32533,5.541365,9.30454,7.1624265,14.311512,7.64023,150.64403,-28.961794,-60.01771,130.55656,-8.958034,-47.77329,37.71622,-1.7987585,-2.4995797,179.14789,-8.773433,-0.09673842
6901,96.433174,5.3012137,9.264832,7.359381,13.894825,7.4525013,150.0689,-29.324589,-58.70341,131.47847,-8.439923,-49.810757,37.84541,-1.7826432,-2.73387,179.28436,-8.984456,-0.2461474
6914,96.52738,4.938183,9.22315,7.538161,13.466244,7.338712,149.67584,-29.4339,-56.995716,132.89676,-7.8910155,-51.82488,37.912945,-1.7298831,-2.9690454,179.4009,-8.984819,-0.38849023
6923,96.68349,4.7438545,9.206551,7.679938,13.013745,7.2815337,150.03574,-28.838612,-55.712795,134.56601,-6.7861066,-54.028236,37.90085,-1.7152973,-3.119211,179.4413,-9.006014,-0.50378025
6933,96.76861,4.4493423,9.205929,7.7007456,12.757669,7.230719,151.0061,-27.721931,-55.053383,136.36946,-5.547414,-56.52103,37.876366,-1.6976888,-3.17179,179.42213,-9.020807,-0.5653898
