millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2
4050,-5.0934157,-25.785568,0.40426144,114.97084,-42.87508,12.570163,-57.921444,5.187516,0.5785408,-136.73369,9.465614,-2.7007143,120.990326,2.4455314,-1.3586715,-8.569502,1.040366,-3.5014715,163.15988,-42.70866,-14.884015,105.67794,17.850344,-17.059029
4063,-5.0934157,-25.785568,0.40426144,114.9883,-42.877686,12.56427,-57.924694,5.187394,0.5782467,-136.71999,9.459606,-2.7020333,120.98099,2.4514697,-1.3621998,-8.576396,1.0401483,-3.5015187,163.20006,-42.730232,-14.890135,105.68713,17.84738,-17.062922
4077,-5.100906,-25.778664,0.40555212,115.003746,-42.869194,12.56397,-57.933273,5.187689,0.5781244,-136.70349,9.4594965,-2.7008388,120.98099,2.4514697,-1.3621998,-8.58329,1.0399305,-3.5015664,163.24309,-42.742874,-14.896822,105.68713,17.84738,-17.062922
4093,-5.1083956,-25.77176,0.40684205,115.027336,-42.86646,12.55563,-57.936527,5.1875668,0.57783043,-136.68884,9.459985,-2.6995852,120.973724,2.451413,-1.3624351,-8.590184,1.0397124,-3.5016139,163.2981,-42.757343,-14.900431,105.6994,17.839088,-17.063086
4107,-5.1158857,-25.764856,0.40813112,115.046165,-42.865437,12.555704,-57.9396,5.190821,0.5836497,-136.6742,9.460473,-2.698331,120.964676,2.451267,-1.3625245,-8.597078,1.0394946,-3.5016608,163.3384,-42.77887,-14.906596,105.70978,17.836323,-17.06846
4119,-5.123418,-25.764765,0.40968835,115.06024,-42.860565,12.549439,-57.951412,5.1909933,0.5832331,-136.65921,9.463486,-2.7035515,120.957016,2.4607399,-1.3601137,-8.597078,1.0394946,-3.5016608,163.3815,-42.79149,-14.913317,105.71168,17.830801,-17.06325
4134,-5.123418,-25.764765,0.40968835,115.077705,-42.863163,12.543551,-57.954666,5.1908712,0.58293873,-136.64458,9.463974,-2.7022965,120.957016,2.4607399,-1.3601137,-8.603972,1.0392767,-3.501708,163.4283,-42.807117,-14.914252,105.72204,17.828033,-17.06862
4147,-5.132708,-25.771778,0.40470198,115.09516,-42.86575,12.537659,-57.963245,5.191166,0.5828165,-136.6226,9.457912,-2.703024,120.94975,2.4606833,-1.3603494,-8.612573,1.0396373,-3.4950025,163.47195,-42.822212,-14.92153,105.73081,17.829344,-17.066801
4162,-5.140283,-25.7785,0.40652943,115.1065,-42.873676,12.534215,-57.966488,5.1910443,0.58252215,-136.6061,9.457802,-2.7018297,120.9407,2.4605372,-1.3604393,-8.619467,1.0394198,-3.49505,163.5202,-42.840008,-14.929933,105.73125,17.825066,-17.072517
4176,-5.1478143,-25.778404,0.4080874,115.12395,-42.876266,12.528322,-57.97831,5.191216,0.5821056,-136.59146,9.45829,-2.700576,120.933426,2.4604805,-1.3606755,-8.626361,1.0392022,-3.4950972,163.5671,-42.85562,-14.930907,105.74307,17.821056,-17.066969
4190,-5.1571064,-25.785418,0.40310353,115.1414,-42.878857,12.522429,-57.981556,5.1910944,0.58181125,-136.57681,9.458777,-2.699322,120.92409,2.4664164,-1.3642075,-8.633256,1.0389849,-3.4951444,163.61082,-42.87069,-14.938223,105.75344,17.81829,-17.072342
4204,-5.1571064,-25.785418,0.40310353,115.15687,-42.870358,12.522136,-57.993206,5.194646,0.5875066,-136.56183,9.461796,-2.7045395,120.925865,2.4665062,-1.3643541,-8.640149,1.0387672,-3.4951916,163.65732,-42.88379,-14.93868,105.752266,17.818092,-17.070862
4218,-5.164594,-25.778513,0.40439072,115.17431,-42.87294,12.516246,-57.996452,5.1945243,0.58721197,-136.54716,9.462281,-2.703285,120.91682,2.4663596,-1.3644441,-8.647042,1.0385498,-3.4952388,163.69785,-42.905243,-14.9449625,105.7657,17.81,-17.072512
4233,-5.1721244,-25.778418,0.40594867,115.19175,-42.875523,12.510353,-58.005028,5.194819,0.5870897,-136.53253,9.462768,-2.70203,120.90775,2.466213,-1.3645341,-8.647042,1.0385498,-3.4952388,163.74168,-42.92028,-14.952318,105.76453,17.809803,-17.071032
4247,-5.179656,-25.778326,0.40750661,115.201096,-42.872356,12.512505,-58.008274,5.194697,0.58679515,-136.516,9.462655,-2.7008355,120.90049,2.4661558,-1.3647708,-8.653935,1.0383322,-3.495286,163.7966,-42.932156,-14.95553,105.77329,17.811111,-17.069206
4261,-5.179699,-25.785137,0.40777856,115.21855,-42.874935,12.506615,-58.019928,5.19825,0.5924895,-136.50136,9.463141,-2.6995802,120.89114,2.4720905,-1.3683043,-8.660829,1.0381147,-3.4953332,163.84048,-42.947174,-14.962909,105.78365,17.808346,-17.074585
4276,-5.1882844,-25.786602,0.4094248,115.23599,-42.87752,12.50072,-58.023167,5.198128,0.5921946,-136.4781,9.466107,-2.704198,120.89282,2.475631,-1.3623663,-8.667721,1.0378971,-3.4953802,163.88441,-42.96219,-14.9703,105.79242,17.809656,-17.072765
4289,-5.1957726,-25.779697,0.41071054,115.25344,-42.880093,12.494827,-58.026405,5.198006,0.59189963,-136.46346,9.466594,-2.7029424,120.88349,2.4815652,-1.365901,-8.674613,1.0376797,-3.4954271,163.93298,-42.979874,-14.978831,105.802345,17.811163,-17.07242
4302,-5.2022467,-25.778046,0.4121803,115.268906,-42.87159,12.494543,-58.038227,5.19818,0.5914826,-136.44879,9.46708,-2.7016866,120.876205,2.4815085,-1.366139,-8.681506,1.0374621,-3.4954743,163.98018,-42.995422,-14.979917,105.80161,17.806694,-17.076662
4316,-5.211449,-25.77144,0.40665212,115.286354,-42.874165,12.48865,-58.041462,5.198058,0.5911877,-136.43227,9.466966,-2.7004917,120.86716,2.481361,-1.3662297,-8.681506,1.0374621,-3.4954743,164.02419,-43.010406,-14.987346,105.814606,17.802874,-17.07259
4330,-5.211449,-25.77144,0.40665212,115.31129,-42.867783,12.486288,-58.05005,5.1983523,0.5910655,-136.4176,9.467452,-2.6992362,120.859886,2.4813044,-1.3664675,-8.688398,1.0372446,-3.4955213,164.07098,-43.023445,-14.987909,105.82074,17.80524,-17.080217
4348,-5.218979,-25.771345,0.40820962,115.319244,-42.868233,12.482475,-58.053288,5.1982303,0.5907706,-136.4026,9.470478,-2.704448,120.859886,2.4813044,-1.3664675,-8.695289,1.0370271,-3.4955688,164.11179,-43.044796,-14.994321,105.82381,17.799911,-17.07649
4358,-5.2265525,-25.778063,0.4100415,115.33669,-42.870804,12.476583,-58.06511,5.1984034,0.5903534,-136.38885,9.464475,-2.7057838,120.8526,2.4812474,-1.3667055,-8.70218,1.0368094,-3.4956155,164.16098,-43.064922,-15.003476,105.826126,17.790121,-17.07701
4372,-5.236907,-25.786638,0.40515035,115.354126,-42.873367,12.47069,-58.06816,5.2016654,0.5961681,-136.3742,9.464961,-2.704528,120.84355,2.4811,-1.3667961,-8.710655,1.0366386,-3.49588,164.20833,-43.08044,-15.004626,105.8365,17.787355,-17.08239
4386,-5.2369514,-25.793447,0.40542534,115.364075,-42.884884,12.461263,-58.079987,5.2018385,0.59575075,-136.35953,9.465445,-2.7032723,120.835976,2.487123,-1.3704809,-8.717548,1.036421,-3.4959266,164.25249,-43.095375,-15.012121,105.84525,17.788664,-17.080566
4400,-5.2462444,-25.800465,0.40044746,115.383064,-42.889133,12.457102,-58.083218,5.201717,0.5954556,-136.343,9.465332,-2.7020776,120.82691,2.4869754,-1.3705719,-8.717548,1.036421,-3.4959266,164.29948,-43.10838,-15.012742,105.85518,17.79017,-17.080223
4415,-5.254887,-25.808743,0.40237096,115.40049,-42.891693,12.451206,-58.09181,5.202012,0.59533334,-136.32835,9.465816,-2.7008219,120.81955,2.4903722,-1.3647273,-8.72444,1.0362034,-3.4959736,164.3437,-43.123295,-15.02026,105.86439,17.78721,-17.084124
4429,-5.261305,-25.800278,0.40356585,115.41794,-42.89426,12.44531,-58.09504,5.20189,0.5950382,-136.31367,9.466299,-2.6995654,120.81955,2.4903722,-1.3647273,-8.731331,1.035986,-3.4960203,164.39587,-43.13446,-15.029961,105.86744,17.781883,-17.0804
4442,-5.2687902,-25.793373,0.4048483,115.43185,-42.884056,12.443303,-58.10686,5.202063,0.5946209,-136.29959,9.462844,-2.7073722,120.8105,2.4902248,-1.3648187,-8.738223,1.0357683,-3.4960675,164.44016,-43.156334,-15.030145,105.87358,17.784252,-17.088022
4457,-5.2762303,-25.779652,0.40585282,115.45818,-42.87406,12.446921,-58.11,5.19583,0.5977169,-136.28491,9.463328,-2.7061164,120.80291,2.4962468,-1.3685057,-8.745113,1.0355507,-3.4961145,164.48445,-43.171215,-15.037703,105.88188,17.78983,-17.080477
4471,-5.2761855,-25.772844,0.40557566,115.46754,-42.870895,12.449082,-58.113323,5.201819,0.5940306,-136.26837,9.463214,-2.7049222,120.79388,2.4960988,-1.368597,-8.745113,1.0355507,-3.4961145,164.5353,-43.180305,-15.039958,105.89226,17.787066,-17.085855
4485,-5.2837152,-25.772749,0.4071333,115.49107,-42.868103,12.440757,-58.12174,5.2055006,0.60001636,-136.25337,9.466247,-2.7101307,120.78659,2.4960423,-1.3688362,-8.752005,1.0353332,-3.4961612,164.576,-43.19905,-15.045953,105.89457,17.777275,-17.086382
4499,-5.291245,-25.772655,0.40869087,115.49903,-42.868534,12.436946,-58.125137,5.2019925,0.59361315,-136.2387,9.466732,-2.708874,120.78659,2.4960423,-1.3688362,-8.758895,1.0351156,-3.496208,164.62366,-43.21452,-15.047216,105.89502,17.773008,-17.092104
4514,-5.300535,-25.779673,0.40371433,115.51646,-42.87109,12.431053,-58.13679,5.205552,0.59930325,-136.21574,9.467158,-2.70702,120.77899,2.5020633,-1.3725252,-8.765785,1.0348979,-3.4962547,164.67325,-43.234512,-15.0565405,105.90378,17.774313,-17.090282
4529,-5.3006253,-25.793295,0.40427122,115.527794,-42.87899,12.42759,-58.140015,5.2054305,0.59900784,-136.20198,9.461159,-2.7083666,120.76995,2.501915,-1.3726168,-8.77247,1.0416496,-3.4968348,164.71771,-43.24934,-15.064159,69.20869,0.30468133,-31.801016
4588,-5.483343,-25.780565,0.40557578,116.00542,-42.885525,12.317066,-58.336998,5.210713,0.61191285,-135.75095,9.465402,-2.7111676,120.58434,2.543141,-1.385402,-8.947685,1.0432673,-3.4989843,166.11464,-43.6544,-15.2128935,106.113914,17.72497,-17.109585
4603,-5.490821,-25.773663,0.4068451,116.02085,-42.87698,12.316831,-58.340023,5.213989,0.6177182,-135.73622,9.46588,-2.7099087,120.57528,2.5429907,-1.3854952,-8.954572,1.0430493,-3.499031,166.16005,-43.668938,-15.220867,106.12429,17.722218,-17.114971
