millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2
2268,-10.457812,20.045351,62.76916,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.68691,15.094983,-20.357296,132.01604,7.7805057,4.6642666
2277,-3.5617275,7.6816053,68.41254,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2288,9.309324,-11.697693,66.706505,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2299,0.12567535,4.5509634,75.007416,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2308,-13.525808,24.514774,59.776012,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2318,-2.9575634,2.1237638,79.9331,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2327,-176.83849,5.255103,84.646286,105.71555,-18.764315,6.0116954,-10.531645,2.1335034,11.853479,112.67691,15.093425,-20.35748,132.01682,7.774117,4.667129
2339,177.3084,17.375952,-69.11657,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.67849,15.093452,-20.359026,132.01682,7.774117,4.667129
2349,-170.62831,-32.84366,15.678616,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67849,15.093452,-20.359026,132.01604,7.7805057,4.6642666
2363,167.16148,0.6606755,35.034626,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67849,15.093452,-20.359026,132.01604,7.7805057,4.6642666
2371,-11.781987,-12.973939,42.427944,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67849,15.093452,-20.359026,132.01604,7.7805057,4.6642666
2378,-13.361686,6.5613503,36.340614,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67849,15.093452,-20.359026,132.01604,7.7805057,4.6642666
2389,-5.3054423,-10.229834,46.47288,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2399,179.25496,22.347372,65.632034,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2407,-175.46313,54.162735,19.450603,105.71821,-18.754656,6.0133324,-10.537736,2.1272826,11.853947,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2421,-156.49934,51.425438,21.604778,105.71821,-18.754656,6.0133324,-10.537736,2.1272826,11.853947,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2428,-59.270508,33.10651,39.406612,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
