millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
48471,-165.15414,-74.34797,-3.7051892,130.48714,-51.82299,4.231878,53.915726,-16.536951,10.895261,151.18037,-70.83328,1.60957,5.862794,23.914112,-7.960901,-150.21965,-9.519768,0.7992859,-101.87921,1.7937584,-2.4531815,-13.653426,6.731435,4.5069838,-64.8168,-7.358409,32.145695,126.30827,0.6329719,10.292579,84.1694,6.2930226,-0.27651766
48491,-165.17639,-74.3372,-3.7103674,130.52458,-51.79594,4.2270074,53.916348,-16.543182,10.891974,151.19179,-70.82766,1.6091269,5.88259,24.034973,-7.946586,-150.2308,-9.480294,0.78862274,-101.88906,1.7479151,-2.4635527,-13.655275,6.693441,4.48284,-64.81978,-7.3677588,32.143383,126.30827,0.6329719,10.292579,83.429306,4.9823136,-3.6105237
48512,-165.13992,-74.25931,-3.7445068,130.52286,-51.7932,4.225889,53.91697,-16.549414,10.888687,151.19179,-70.82766,1.6091269,5.8952756,24.141684,-7.9413977,-150.23535,-9.443053,0.7840238,-101.8891,1.7272192,-2.4713607,-13.65444,6.678794,4.4776025,-64.81327,-7.372395,32.135715,126.2994,0.6335131,10.292258,83.144264,3.4835505,-6.652504
48532,-165.15677,-74.17723,-3.7599814,130.53473,-51.77875,4.221307,53.91398,-16.555471,10.886611,151.20187,-70.81804,1.6082479,5.9025636,24.199184,-7.938787,-150.23535,-9.443053,0.7840238,-101.89797,1.706295,-2.4792936,-13.659634,6.6558795,4.4589214,-64.81327,-7.372395,32.135715,126.299675,0.6490878,10.292103,82.99623,1.9241273,-9.173843
48555,-165.18608,-74.14757,-3.7591102,130.54659,-51.76431,4.2167225,53.91398,-16.555471,10.886611,151.16714,-70.819084,1.600919,5.9073896,24.241571,-7.9366245,-150.23656,-9.434548,0.7790598,-101.924515,1.6282505,-2.5064595,-13.682123,6.581969,4.4171534,-64.81327,-7.372395,32.135715,126.2998,0.66149837,10.2857485,82.67644,0.51739025,-10.900519
48574,-165.20087,-74.11662,-3.7677526,130.54924,-51.76202,4.222763,53.91398,-16.555471,10.886611,151.1473,-70.8296,1.5961187,5.909859,24.256683,-7.936171,-150.23763,-9.411987,0.7777482,-101.94215,1.5656941,-2.530084,-13.695909,6.5151033,4.381702,-64.81396,-7.366936,32.13228,126.29105,0.67444855,10.279074,81.85787,-1.1978284,-12.07859
48594,-165.19241,-74.10853,-3.7618055,130.5519,-51.75973,4.228804,53.9146,-16.5617,10.883326,151.13751,-70.8305,1.590438,5.9129195,24.278618,-7.9352884,-150.24411,-9.420591,0.7832797,-101.9607,1.5447025,-2.5381608,-13.7013445,6.492954,4.3699617,-64.81749,-7.352953,32.142265,126.28446,0.70329463,10.272773,81.435265,-2.6054056,-13.14375
48616,-165.19376,-74.09645,-3.771211,130.54259,-51.758343,4.2316623,53.91398,-16.555471,10.886611,151.12236,-70.82974,1.5944715,5.914689,24.299076,-7.9340057,-150.24493,-9.427903,0.7814041,-101.95976,1.5292649,-2.5414858,-13.706988,6.471589,4.36515,-64.81084,-7.339712,32.150337,126.26853,0.7077331,10.263285,81.146935,-4.52137,-14.761727
48637,-165.20161,-74.09106,-3.7711575,130.55603,-51.75617,4.2210307,53.91398,-16.555471,10.886611,151.12236,-70.82974,1.5944715,5.9152794,24.305893,-7.933578,-150.24446,-9.429665,0.7881443,-101.95975,1.5238318,-2.5458925,-13.706784,6.470803,4.358223,-64.805565,-7.315555,32.15154,126.25998,0.73005015,10.259619,80.900185,-6.8874564,-16.711897
48657,-165.17407,-74.06959,-3.7788367,130.54938,-51.752502,4.229931,53.912624,-16.558403,10.892663,151.11092,-70.835365,1.5949167,5.9226813,24.306387,-7.9320745,-150.24422,-9.434648,0.7796282,-101.96947,1.5085021,-2.5494478,-13.712734,6.4563694,4.352567,-64.80243,-7.2950053,32.155582,126.25998,0.73005015,10.259619,80.96786,-8.136676,-18.015852
